lsoa,self_employed_share,part_time_employee_share,unemployed_share
E01000271,0.16850625459896984,0.0963944076526858,0.03679175864606328
E01000272,0.14358108108108109,0.09121621621621621,0.018581081081081082
E01000273,0.13574982231698648,0.09879175550817342,0.04051172707889126
E01000274,0.1393067364290386,0.12688031393067364,0.03793328973185088
E01000275,0.14018043025676613,0.0936849410131853,0.028452463566967384
E01000276,0.16303400174367916,0.10723626852659111,0.010462074978204011
E01000277,0.11522048364153627,0.09601706970128022,0.04267425320056899
E01000278,0.13333333333333333,0.0972972972972973,0.032432432432432434
E01000279,0.18760907504363003,0.09598603839441536,0.015706806282722512
E01000280,0.17652329749103943,0.08691756272401434,0.016129032258064516
E01000281,0.12813171080887617,0.07802433786685756,0.031496062992125984
E01000282,0.12173314993122421,0.11072902338376892,0.033012379642365884
E01000283,0.17587476979742173,0.1151012891344383,0.026703499079189688
E01000284,0.156,0.10066666666666667,0.042
E01000285,0.12239800166527894,0.10324729392173189,0.03746877601998335
E01000286,0.1074800290486565,0.1074800290486565,0.03776325344952796
E01000287,0.12528823981552653,0.11837048424289008,0.02843966179861645
E01000288,0.12350597609561753,0.11155378486055777,0.03346613545816733
E01000289,0.08481421647819062,0.13893376413570274,0.05735056542810985
E01000290,0.14528023598820058,0.09144542772861357,0.025811209439528023
E01000291,0.12148028962188254,0.11584875301689461,0.03700724054706356
E01000292,0.11511354737666406,0.10415035238841033,0.030540328895849646
E01000293,0.12525527569775358,0.10959836623553437,0.023825731790333562
E01000294,0.1224764468371467,0.08950201884253028,0.029609690444145357
E01000295,0.1610738255033557,0.10365398956002983,0.03206562266964952
E01000296,0.15143246930422918,0.10027285129604366,0.047748976807639835
E01000297,0.14728682170542637,0.10508182601205857,0.03617571059431524
E01000298,0.15905848787446505,0.11269614835948645,0.034236804564907276
E01000299,0.1653631284916201,0.1005586592178771,0.045251396648044694
E01000300,0.13993948562783662,0.10287443267776097,0.046898638426626324
E01000301,0.14334763948497853,0.0815450643776824,0.024892703862660945
E01000302,0.14905149051490515,0.09281842818428185,0.04607046070460705
E01000303,0.13705583756345177,0.09983079526226735,0.02961082910321489
E01000304,0.15605590062111802,0.1048136645962733,0.026397515527950312
E01000305,0.1539578794480755,0.09658678286129267,0.050835148874364564
E01000306,0.197736748064324,0.09469922572960095,0.029779630732578916
E01000307,0.14404223227752638,0.10935143288084465,0.032428355957767725
E01000308,0.11388101983002832,0.12521246458923513,0.038526912181303115
E01000309,0.1484848484848485,0.12606060606060607,0.04363636363636364
E01000310,0.15401540154015403,0.09075907590759076,0.06215621562156216
E01000311,0.19416666666666665,0.15583333333333332,0.024166666666666666
E01000312,0.15554026152787337,0.1094287680660702,0.05092911218169305
E01000313,0.17745035233824472,0.12171684817424727,0.048046124279308135
E01000314,0.16767123287671232,0.11123287671232877,0.040547945205479455
E01000315,0.1296561604584527,0.13825214899713467,0.0494269340974212
E01000316,0.12755383765875208,0.11264494754279404,0.04362230811706239
E01000317,0.13180741910023677,0.10102604577742699,0.036306235201262825
E01000318,0.14129736673089274,0.11175337186897881,0.028259473346178548
E01000319,0.16055045871559634,0.10733944954128441,0.03944954128440367
E01000320,0.1334574798261949,0.10304158907510863,0.027312228429546864
E01000321,0.16140776699029127,0.09283980582524272,0.050970873786407765
E01000322,0.1636986301369863,0.1136986301369863,0.03424657534246575
E01000323,0.14744232698094284,0.11083249749247744,0.0366098294884654
E01000324,0.15554026152787337,0.1293874741913283,0.029593943565037854
E01000325,0.07937685459940653,0.11869436201780416,0.02744807121661721
E01000326,0.08679245283018867,0.10943396226415095,0.0330188679245283
E01000327,0.11043412033511044,0.1210967250571211,0.021325209444021324
E01000328,0.0916030534351145,0.10152671755725191,0.022137404580152672
E01000329,0.09214501510574018,0.12613293051359517,0.02945619335347432
E01000330,0.06720233747260775,0.12052593133674215,0.029218407596785977
E01000331,0.1087962962962963,0.12268518518518519,0.032407407407407406
E01000332,0.08973384030418251,0.09733840304182509,0.029657794676806085
E01000333,0.09501661129568106,0.11162790697674418,0.03787375415282392
E01000334,0.10649546827794562,0.12764350453172205,0.02945619335347432
E01000335,0.11775788977861516,0.10409797456429581,0.04945831370701837
E01000336,0.1016150740242261,0.1278600269179004,0.0531628532974428
E01000337,0.09433962264150944,0.10716981132075472,0.036226415094339624
E01000338,0.09952283571915474,0.10361281526925699,0.0354464894342195
E01000339,0.09627329192546584,0.11956521739130435,0.023291925465838508
E01000340,0.11927330173775672,0.11769352290679305,0.022116903633491312
E01000341,0.10808709175738725,0.10653188180404355,0.020995334370139968
E01000342,0.10734463276836158,0.13075060532687652,0.026634382566585957
E01000343,0.10290456431535269,0.14024896265560166,0.024066390041493777
E01000344,0.09406322282189669,0.1079414032382421,0.02313030069390902
E01000345,0.11467889908256881,0.13027522935779817,0.015596330275229359
E01000346,0.11943793911007025,0.12568306010928962,0.02029664324746292
E01000347,0.12398042414355628,0.11827079934747145,0.01468189233278956
E01000348,0.1271393643031785,0.12306438467807661,0.02689486552567237
E01000349,0.1036231884057971,0.11231884057971014,0.02753623188405797
E01000350,0.10339123242349049,0.14309346567411083,0.02315963606286187
E01000351,0.10083396512509477,0.12357846853677028,0.018953752843062926
E01000352,0.10395655546935609,0.11636927851047324,0.031031807602792862
E01000353,0.09582132564841499,0.08717579250720461,0.021613832853025938
E01000354,0.09326845093268452,0.10462287104622871,0.0202757502027575
E01000355,0.08631921824104234,0.10586319218241043,0.02035830618892508
E01000356,0.07389937106918239,0.12342767295597484,0.02358490566037736
E01000357,0.09388839681133747,0.13197519929140833,0.02037201062887511
E01000358,0.10716925351071692,0.11382113821138211,0.03399852180339985
E01000359,0.09876543209876543,0.10161443494776828,0.02184235517568851
E01000360,0.10435339308578745,0.12227912932138284,0.030089628681177975
E01000361,0.13139260424862312,0.12981904012588513,0.024390243902439025
E01000362,0.10234113712374582,0.11705685618729098,0.02608695652173913
E01000363,0.12251392203659507,0.11137629276054097,0.020684168655529037
E01000364,0.12020648967551623,0.1261061946902655,0.03908554572271387
E01000365,0.09640287769784173,0.1223021582733813,0.033093525179856115
E01000366,0.10289634146341463,0.11280487804878049,0.03048780487804878
E01000367,0.08333333333333333,0.12321428571428572,0.04523809523809524
E01000368,0.08459696727853153,0.14365522745411013,0.03990422984836393
E01000369,0.09864188706218728,0.11293781272337383,0.027162258756254467
E01000370,0.08404009252120277,0.11488049344641481,0.016191210485736313
E01000371,0.09634809634809635,0.128982128982129,0.021756021756021756
E01000372,0.0736196319018405,0.1196319018404908,0.04294478527607362
E01000373,0.07982261640798226,0.11197339246119734,0.041019955654102
E01000374,0.08890770533446232,0.12870448772226925,0.04403048264182896
E01000375,0.09872029250457039,0.1267519804996953,0.031687995124923825
