NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2
526,E01001302,5,57658.06709399466,1750049.593079072
526,E01001305,5,35107.46963314781,1750049.593079072
526,E01001337,5,5635.957489903343,1750049.593079072
526,E01002563,5,391271.07777532825,1750049.593079072
526,E01002565,5,73727.87887212151,1750049.593079072
526,E01002678,7,602172.5680725436,1750049.593079072
527,E01001390,4,136918.00445693408,1837281.078025578
527,E01001391,3,42360.32023656393,1837281.078025578
527,E01001392,5,73082.04463956915,1837281.078025578
527,E01001393,4,199725.11755884762,1837281.078025578
527,E01001396,3,1025.6830442134924,1837281.078025578
527,E01001527,4,20405.906629502413,1837281.078025578
527,E01001535,5,17119.197217476787,1837281.078025578
527,E01001962,5,198207.85707596483,1837281.078025578
527,E01001963,5,29939.09965879175,1837281.078025578
527,E01001964,4,36719.51697415123,1837281.078025578
527,E01001965,4,40103.76396473368,1837281.078025578
527,E01001969,2,121347.99482457811,1837281.078025578
527,E01001970,4,215484.89222541626,1837281.078025578
527,E01001971,5,30506.965224995904,1837281.078025578
527,E01001972,1,69376.89823597431,1837281.078025578
527,E01001973,4,346951.58140600054,1837281.078025578
527,E01001974,4,171207.14136863835,1837281.078025578
527,E01001975,3,86799.09328322546,1837281.078025578
528,E01004222,2,10447.83841123971,577113.1952672271
528,E01004226,2,109337.37868926153,577113.1952672271
528,E01004228,2,19025.8094696528,577113.1952672271
528,E01004229,2,81292.84609777817,577113.1952672271
528,E01004231,2,70477.6456270805,577113.1952672271
528,E01004240,2,171.5811357864814,577113.1952672271
528,E01004241,2,3992.7186098241746,577113.1952672271
528,E01004267,1,163217.4761920072,577113.1952672271
528,E01004268,3,18749.46332476693,577113.1952672271
528,E01032765,2,19280.126953384417,577113.1952672271
528,E01032784,1,30461.91531946564,577113.1952672271
528,E01035659,3,8055.766051552337,577113.1952672271
528,E01035674,4,42602.62938542729,577113.1952672271
529,E01000135,5,1325.6252977860242,1793474.5471181353
529,E01000145,4,126223.43228899331,1793474.5471181353
529,E01000215,5,258383.67556064695,1793474.5471181353
529,E01000216,6,8947.77273707053,1793474.5471181353
529,E01000217,6,3098.104254886166,1793474.5471181353
529,E01000218,4,167078.69826783633,1793474.5471181353
529,E01000219,5,190127.83978441652,1793474.5471181353
529,E01000220,4,91240.9326720406,1793474.5471181353
529,E01000221,5,421906.687918322,1793474.5471181353
529,E01000222,4,120100.46136165883,1793474.5471181353
529,E01000225,5,1870.8874126296387,1793474.5471181353
529,E01000236,5,61849.604138602925,1793474.5471181353
529,E01000307,3,95021.7586636026,1793474.5471181353
529,E01000310,5,65217.31249034024,1793474.5471181353
529,E01000311,5,181081.7542693026,1793474.5471181353
530,E01003497,4,91407.64273555878,783554.2121903561
530,E01003500,4,110219.37424698431,783554.2121903561
530,E01004235,3,4521.4026722417,783554.2121903561
530,E01004236,3,93939.2525957424,783554.2121903561
530,E01004239,3,1094.3617360079122,783554.2121903561
530,E01004248,3,83153.3734408151,783554.2121903561
530,E01004249,2,26.027935177202824,783554.2121903561
530,E01033579,4,1883.8773529413363,783554.2121903561
530,E01033586,4,149401.84077831666,783554.2121903561
530,E01035665,3,143225.32515874386,783554.2121903561
530,E01035666,3,37133.777349508215,783554.2121903561
530,E01035667,3,67547.95618831868,783554.2121903561
532,E01000126,2,22131.19627184242,1853481.6077304245
532,E01000127,5,181505.82772909122,1853481.6077304245
532,E01000128,4,210004.21118256185,1853481.6077304245
532,E01000129,3,185264.51883139712,1853481.6077304245
532,E01000130,4,151767.59655884074,1853481.6077304245
532,E01000131,4,139090.252546901,1853481.6077304245
532,E01000132,5,79440.52087377387,1853481.6077304245
532,E01000133,4,435.3660483982401,1853481.6077304245
532,E01000134,5,133384.02241718685,1853481.6077304245
532,E01000226,5,15255.06697469452,1853481.6077304245
532,E01000587,5,34353.639781877384,1853481.6077304245
532,E01000592,4,151752.07121854863,1853481.6077304245
532,E01000593,5,2412.991503754247,1853481.6077304245
532,E01002119,4,982.8977967322912,1853481.6077304245
532,E01002122,4,85669.14451784453,1853481.6077304245
532,E01002123,4,127970.96243878946,1853481.6077304245
532,E01002125,5,65252.6995347992,1853481.6077304245
532,E01033913,4,149084.87593537266,1853481.6077304245
532,E01033914,2,112167.81497556879,1853481.6077304245
532,E01033929,4,5555.930592449526,1853481.6077304245
533,E01033581,5,290621.5884604053,736351.4942611562
533,E01034224,3,403841.54011507967,736351.4942611562
533,E01034225,4,41888.36568567123,736351.4942611562
534,E01000869,2,46012.31175673289,947829.0526123494
534,E01000926,3,2255.5768287550236,947829.0526123494
534,E01002708,2,61914.74965100295,947829.0526123494
534,E01002713,2,89389.59614062839,947829.0526123494
534,E01002762,2,85328.25696551008,947829.0526123494
534,E01002763,2,8693.686596353647,947829.0526123494
534,E01002764,2,125406.02580557085,947829.0526123494
534,E01002765,2,163858.35745545448,947829.0526123494
534,E01002766,2,156329.08059492885,947829.0526123494
534,E01002783,2,59685.726393234625,947829.0526123494
534,E01002787,2,44464.099623869864,947829.0526123494
