replicate,alpha,ari_all,ari_below450,ari_at_least450,ari_base_vs_a_all,ari_base_vs_a_below450,ari_base_vs_a_at_least450
10,50.0,0.5427431335863843,0.5302534101464826,0.48817348360123264,0.42506668403508185,0.5982029021928403,0.2840836082248043
10,100.0,0.5262964923647071,0.5110253804938097,0.4916781789036581,0.5865639354930148,0.5716470584710723,0.5582081287517733
10,200.0,0.49752620018100435,0.5074878925889976,0.447805610795432,0.5828911281551836,0.613268608370347,0.5270532716354699
11,0.0,0.6145294310485696,0.6214419680707977,0.5605641184181038,0.3142092591682216,0.6432312839018255,0.12441535009498393
11,5.0,0.5706261804493655,0.5769641030678334,0.5171265183381962,0.30889328588672815,0.6155398380953553,0.11623404778999666
11,20.0,0.5553777393046904,0.5609146161996675,0.511095659848438,0.3201509793670593,0.5730531374620167,0.1358930577407902
11,50.0,0.5273488614885008,0.5325838575186412,0.46751023243917733,0.41092104830971327,0.5541111242849357,0.2835979087271191
11,100.0,0.5195687773913197,0.5139259778336194,0.4817180956804891,0.5656678352304826,0.555995924699328,0.5349801838473626
11,200.0,0.51755294125534,0.5220709820629624,0.470527343889406,0.5831851980419119,0.5702808697123574,0.5471105331762721
12,0.0,0.6222308934215875,0.6520034433751355,0.5561486439736585,0.3259996970150905,0.701121309903562,0.12497471293909139
12,5.0,0.6047776766724406,0.6323558646938107,0.5448568885268971,0.32904713286220616,0.7034740576941669,0.12036968920979461
12,20.0,0.5671824441586265,0.5388537866117606,0.5389800375536156,0.3149826749753162,0.57991199183383,0.1281579206274012
12,50.0,0.5347339909424814,0.5285268339445139,0.4777314348514381,0.41514966648287843,0.564885572215182,0.28224178700617947
12,100.0,0.5243577921077051,0.5280656371595408,0.48151533511491057,0.5767412978366746,0.5763517816317957,0.5437532785327341
12,200.0,0.49540559313983945,0.4939102375137981,0.45180822337796056,0.5795964090404542,0.5259200230864614,0.5597546692707049
13,0.0,0.5927389129832095,0.5871041819185345,0.5362872519082706,0.32107372385219984,0.6846377737198008,0.12115437182916672
13,5.0,0.5814816257881469,0.5619067098209874,0.5334495889508594,0.3166297388542803,0.6575160578451728,0.11206360506128939
13,20.0,0.5515402660435014,0.5096168670019955,0.5234518699370699,0.32155388324335843,0.5514473514199064,0.13874704297832288
13,50.0,0.527373974830705,0.5090586700284064,0.4752537184442951,0.4125126688236263,0.5319082905468511,0.2863520806882014
13,100.0,0.5129651202929587,0.5137096323354202,0.47216151597392775,0.6036679180548952,0.5704228457318359,0.584960495965513
13,200.0,0.5159720612912951,0.553190646032334,0.45609175065505897,0.5957706995674552,0.5625707991846782,0.5655922040474421
14,0.0,0.6077970884375342,0.5946910441192064,0.5635301888250472,0.3030302209028362,0.6157127054911189,0.12175973244642732
14,5.0,0.5834895585887145,0.595482981059395,0.5306447483074288,0.306172777875218,0.615968698679899,0.11510864232684878
14,20.0,0.5497605540422149,0.5286482281056532,0.5220087620627106,0.3043310056189023,0.5362146223684379,0.12790395905365792
14,50.0,0.5315165648365104,0.5177892424967464,0.48061460145266116,0.408347483791044,0.53193300588621,0.2824543261341816
14,100.0,0.531645099117395,0.5159992673100395,0.4994627269471041,0.5902820482768505,0.5762166378157867,0.5632732747141959
14,200.0,0.5316076168143389,0.5190255505907532,0.494069652907192,0.5850499580833118,0.5607288413657966,0.5539932396495512
15,0.0,0.6177950805891043,0.6509736765002184,0.5589022264463314,0.3159606173408179,0.7165183785423005,0.11200643410270752
