NLC,total_activity,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,max_posterior,entropy,tot_entry,tot_exit
516,20368.88250687528,9.92181274125504,-0.27317060873874627,0.042548972281500244,0.08918144987513901,0.06635163254650699,0.703028114888279,medium,0,1.0,3.152924600723678e-46,7402.351236572083,12966.531270303212
517,16714.73389798,9.72410570444014,-0.20992530550570418,0.029872124673778734,0.0012841002358597387,0.047724965191230304,1.1123525396319067,medium,2,1.0,7.349750906141729e-44,6602.944139000001,10111.78975898
518,9977.840095776659,9.208222139683038,-0.5714611213211181,0.03693515386233905,0.017481466078415202,0.0531999838179498,0.6324132281232546,low,4,1.0,8.192734689079705e-21,2137.9462031406574,7839.893892635998
519,18055.468927927737,9.801259288913778,-0.14809847542293456,0.029442051583988653,0.03865739942641367,0.04340580106035293,0.7395206590769943,medium,0,1.0,1.6400028225319947e-41,7690.740753327739,10364.728174600008
520,46825.0878587948,10.754195759477975,-0.17464486353268488,0.04833446442429948,0.08928155381028613,0.08024432651095519,0.9377016492760234,high,2,1.0,1.0986705057961764e-30,19323.6633898948,27501.424468900004
521,35732.90519473677,10.483855242406724,0.15676771167645823,0.02061394382749495,0.0013067617286917196,0.028986563332508826,0.5376192094244548,high,3,1.0,7.817229215283331e-65,20667.335486833734,15065.569707903032
522,40114.499490027585,10.599518059563001,-0.4639636832803973,0.043395466112025875,0.066153868739834,0.06810773671161612,0.8140081796458517,high,0,1.0,3.481363776390886e-35,10751.414276842386,29363.085213185223
524,153039.81908328613,11.938459956186104,0.5008201656941461,0.021448964985088182,0.02179458344567879,0.030508887326179988,0.7375944902654422,high,3,1.0,4.734204349288397e-65,114842.62331718982,38197.19576609632
525,17850.620048316003,9.789849542098736,0.0013373205692231158,0.04016916027578681,0.003356876578052015,0.06451721617121824,0.8829796394422516,medium,2,1.0,5.592313458679589e-25,8937.246024840002,8913.374023476004
526,4978.911376323267,8.513167373941327,-0.49325943963845287,0.04371644193600812,0.07604906423057559,0.0684007006861509,0.8362006842500928,low,0,1.0,3.750309869964949e-48,1261.5081704142667,3717.403205908999
527,17610.58122332911,9.776311988676133,-0.5558697781876945,0.04832174240954921,0.07044611102905199,0.07538475561487695,0.7561632338523945,medium,0,1.0,1.4919356858247115e-41,3910.695672480389,13699.885550848723
528,18964.34887832968,9.850368849858341,-0.31562389461127677,0.047961938970614966,0.01351528483335554,0.08028601699328157,0.8216225232848932,medium,2,0.999999927468255,1.264898801940596e-06,6489.373613292136,12474.97526503754
529,6638.325948818513,8.80076572358546,-0.37554206545718977,0.036580477221383266,0.052109766589508937,0.054543897171735446,0.7344192556304447,low,0,1.0,1.2405358143176472e-32,2072.6776554105745,4565.648293407941
530,15768.351027545981,9.665823526766992,-0.3889495034262001,0.04492177571428076,0.012958955390614998,0.07192562760796535,0.8624137336975358,medium,0,1.0,8.325990864656844e-39,4817.629362765983,10950.721664779998
531,8174.62698055305,9.008912687693428,-0.5271691564356477,0.038631987228467675,0.04024741270168417,0.0563178473383104,0.7563627752523807,low,4,0.9999999837125416,3.083665774372946e-07,1932.6078855194053,6242.019095033643
532,11058.22539474477,9.311020235982124,-0.5730451182175321,0.04002155800755033,0.05306859015958623,0.05800501581547334,0.6955221696539434,low,4,0.9999999999820376,4.6019864244267724e-10,2360.681658068569,8697.543736676203
534,17019.27628350339,9.742160634868902,-0.25395585643501545,0.03924866959753093,0.06327320315934315,0.0625644888144811,0.7897634269784524,medium,0,1.0,2.972065968581708e-18,6348.565699511074,10670.71058399232
535,87858.83910769982,11.383498086293173,0.20198548990553747,0.03830461846679786,0.09441513910493925,0.061588437536490015,1.4045596788438535,high,1,0.9999953868181816,6.12934564604247e-05,52802.52488370019,35056.314223999645
536,13875.505811372,9.537952459671741,0.15312340933306237,0.022744785213399468,0.0008173009856948614,0.03122003453921088,0.34885641161473047,medium,3,1.0,8.024710009354142e-102,8000.085283715004,5875.420527657001
537,8631.880871684698,9.063333548960966,-0.5652272382414223,0.04341735314431229,0.06336087642881012,0.06397940857811088,0.7305764873183377,low,0,0.9999999999972716,7.569726802629095e-11,1876.4533428766963,6755.427528807998
539,5208.481265670571,8.558235564660068,-0.544869778794649,0.04806169900160566,0.016497452074903645,0.07543932476838508,0.6804428592251364,low,4,1.0,1.9062234274394893e-62,1185.2686152942863,4023.2126503762847
540,23350.67448908232,10.05842397312035,0.0008133521664738131,0.033451502562962206,0.03589826954068268,0.05609932625448557,0.8612796254755544,medium,1,1.0,2.4202412345527493e-111,11684.83340538332,11665.841083698991
541,23916.410611621603,10.082361950182387,0.5051454989371608,0.022100273320251915,0.07766039962076793,0.03008770479718167,0.3303282857380648,medium,3,1.0,2.7369938907680665e-160,17998.838891407606,5917.571720214
542,83073.7127647897,11.327495635675918,0.3535875766110247,0.028646658860378295,0.020259765611407517,0.047806941148371696,1.0347540303687888,high,1,1.0,2.298093907870957e-48,56223.77277068601,26849.939994103675
543,3624.9387398786735,8.195868496488867,-0.6913571884542268,0.056520067938778354,0.03980896195653003,0.08120329104139447,0.5999583441927969,low,4,1.0,1.4778399500793418e-91,559.4056421786731,3065.533097699998
544,944.065389648131,6.8512541204946995,-0.6582638054837555,0.019678932462287392,0.0,0.026889411895241726,0.4795101757530508,low,4,1.0,1.4657129711141414e-140,161.310656816424,782.7547328317072
545,7468.146926760601,8.91853607170738,-0.29016154473052785,0.038614149869738615,0.015262023416935843,0.05523034253714904,0.6198649762509517,low,0,1.0,1.0685979141123642e-14,2650.5889391086,4817.557987651997
546,3942.5008489348666,8.27982414811249,-0.4845871176978285,0.046932682375813675,0.01465233307768358,0.06620467078399267,0.6690312755917066,low,4,1.0,4.0264494911600335e-64,1016.0078630141388,2926.4929859207277
