run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
5,10047,7,3,0,0.4878048780487805,0.6666666666666666,0.6451612903225806
5,10047,7,4,4,0.35714285714285715,0.47619047619047616,0.5882352941176471
5,10047,7,5,3,0.0,0.0,0.0
5,10047,7,6,6,0.625,0.9090909090909091,0.6666666666666666
6,10048,5,0,0,0.9349593495934959,0.9426229508196722,0.9913793103448276
6,10048,5,1,3,0.8214285714285714,0.92,0.8846153846153846
6,10048,5,2,1,0.5882352941176471,0.8333333333333334,0.6666666666666666
6,10048,5,3,4,0.9580838323353293,0.9815950920245399,0.975609756097561
6,10048,5,4,2,0.8333333333333334,0.9146341463414634,0.9036144578313253
6,10048,7,0,0,0.696969696969697,0.7666666666666667,0.8846153846153846
6,10048,7,1,1,0.3795180722891566,0.41721854304635764,0.8076923076923077
6,10048,7,2,2,0.37142857142857144,0.3880597014925373,0.896551724137931
6,10048,7,3,6,0.47126436781609193,0.6833333333333333,0.6029411764705882
6,10048,7,4,5,0.5862068965517241,0.8095238095238095,0.68
6,10048,7,5,4,0.16666666666666666,0.5,0.2
6,10048,7,6,3,0.6111111111111112,1.0,0.6111111111111112
7,10049,5,0,3,0.8780487804878049,0.8852459016393442,0.9908256880733946
7,10049,5,1,0,0.9615384615384616,1.0,0.9615384615384616
7,10049,5,2,1,0.7857142857142857,0.9166666666666666,0.8461538461538461
7,10049,5,3,4,0.9096045197740112,0.9877300613496932,0.92
7,10049,5,4,2,0.963855421686747,0.975609756097561,0.9876543209876543
7,10049,7,0,5,0.9032258064516129,0.9333333333333333,0.9655172413793104
7,10049,7,1,6,0.8411764705882353,0.9470198675496688,0.8827160493827161
7,10049,7,2,0,0.8611111111111112,0.9253731343283582,0.9253731343283582
7,10049,7,3,3,0.8461538461538461,0.9166666666666666,0.9166666666666666
7,10049,7,4,1,0.6,0.8571428571428571,0.6666666666666666
7,10049,7,5,2,0.6417910447761194,0.671875,0.9347826086956522
7,10049,7,6,4,0.7142857142857143,0.9090909090909091,0.7692307692307693
8,10050,5,0,0,1.0,1.0,1.0
8,10050,5,1,3,1.0,1.0,1.0
8,10050,5,2,1,1.0,1.0,1.0
8,10050,5,3,2,1.0,1.0,1.0
8,10050,5,4,4,1.0,1.0,1.0
8,10050,7,0,6,0.9333333333333333,0.9333333333333333,1.0
8,10050,7,1,1,0.9096774193548387,0.9337748344370861,0.9724137931034482
8,10050,7,2,4,0.9305555555555556,1.0,0.9305555555555556
8,10050,7,3,2,0.9032258064516129,0.9333333333333333,0.9655172413793104
8,10050,7,4,0,0.6296296296296297,0.8095238095238095,0.7391304347826086
8,10050,7,5,3,0.9402985074626866,0.984375,0.9545454545454546
8,10050,7,6,5,0.9166666666666666,1.0,0.9166666666666666
9,10051,5,0,1,0.6015037593984962,0.6557377049180327,0.8791208791208791
9,10051,5,1,4,0.6486486486486487,0.96,0.6666666666666666
9,10051,5,2,2,1.0,1.0,1.0
9,10051,5,3,0,0.7170731707317073,0.901840490797546,0.7777777777777778
9,10051,5,4,3,0.8372093023255814,0.8780487804878049,0.9473684210526315
9,10051,7,0,5,0.675,0.9,0.7297297297297297
9,10051,7,1,0,0.59,0.7814569536423841,0.7065868263473054
