lsoa,hospitality_industry_share,shiftwork_industry_share
E01000240,0.05568445475638051,0.2865429234338747
E01000241,0.07390817469204927,0.20156774916013437
E01000242,0.02967359050445104,0.17359050445103857
E01000243,0.10507246376811594,0.23097826086956522
E01000244,0.08230958230958231,0.23955773955773957
E01000245,0.08488612836438923,0.24534161490683232
E01000246,0.027359781121751026,0.16963064295485636
E01000247,0.03425414364640884,0.17900552486187843
E01000248,0.02588235294117647,0.15058823529411763
E01000249,0.026683608640406607,0.12198221092757307
E01000250,0.05500381970970206,0.17417876241405655
E01000251,0.04554455445544554,0.19207920792079208
E01000252,0.032879818594104306,0.19387755102040816
E01000253,0.02653927813163482,0.1518046709129512
E01000254,0.0311284046692607,0.17639429312581062
E01000255,0.047244094488188976,0.25328083989501315
E01000256,0.04669703872437358,0.23917995444191345
E01000257,0.05172413793103448,0.24329501915708812
E01000258,0.04580152671755725,0.18102508178844057
E01000259,0.03864734299516908,0.18115942028985504
E01000260,0.055865921787709494,0.22998137802607077
E01000261,0.017287234042553192,0.14095744680851063
E01000263,0.017173051519154558,0.16116248348745046
E01000264,0.05225409836065574,0.23975409836065575
E01000265,0.04798255179934569,0.24427480916030536
E01000266,0.032210834553440704,0.19326500732064422
E01000267,0.03225806451612903,0.23058542413381122
E01000268,0.05654761904761905,0.19841269841269843
E01000269,0.02967359050445104,0.21216617210682492
E01000270,0.030343007915567283,0.17282321899736147
E01000271,0.033766233766233764,0.1844155844155844
E01000272,0.017241379310344827,0.1536050156739812
E01000273,0.033623910336239106,0.18430884184308843
E01000274,0.04371002132196162,0.22707889125799574
E01000275,0.04404761904761905,0.18333333333333335
E01000276,0.02097902097902098,0.13706293706293707
E01000277,0.0428921568627451,0.18382352941176472
E01000278,0.02748091603053435,0.15114503816793892
E01000279,0.038461538461538464,0.16220735785953178
E01000280,0.030303030303030304,0.14992025518341306
E01000281,0.03834510595358224,0.17658930373360243
E01000282,0.04293785310734463,0.15028248587570622
E01000283,0.021638330757341576,0.16228748068006182
E01000284,0.07561235356762513,0.21512247071352503
E01000285,0.03156384505021521,0.2152080344332855
E01000286,0.042690815006468305,0.22509702457956016
E01000287,0.04864864864864865,0.2391891891891892
E01000288,0.035386631716906945,0.2018348623853211
E01000289,0.0700152207001522,0.2770167427701674
E01000290,0.0371900826446281,0.2190082644628099
E01000291,0.03125,0.22282608695652173
E01000292,0.03806734992679356,0.16398243045387995
E01000293,0.03303964757709251,0.18392070484581496
E01000294,0.0441527446300716,0.175417661097852
E01000295,0.03995433789954338,0.17465753424657532
E01000296,0.05461767626613704,0.18867924528301888
E01000297,0.06275033377837116,0.1882510013351135
E01000298,0.06695464362850972,0.183585313174946
E01000299,0.0693359375,0.251953125
E01000300,0.03420752565564424,0.1847206385404789
E01000301,0.030656934306569343,0.181021897810219
E01000302,0.0611764705882353,0.19882352941176468
E01000303,0.04647887323943662,0.16056338028169015
E01000304,0.04883720930232558,0.20232558139534884
E01000305,0.06110458284371328,0.28907168037602826
E01000306,0.051594746716697934,0.3123827392120075
E01000307,0.09283819628647215,0.3090185676392573
E01000308,0.060016906170752324,0.23753169907016058
E01000309,0.107421875,0.23828125
E01000310,0.09491850431447747,0.25503355704697983
E01000311,0.045576407506702415,0.17024128686327078
E01000312,0.06916764361078546,0.2778429073856975
E01000313,0.08045977011494253,0.2894461859979101
E01000314,0.08020924149956409,0.23539668700959024
E01000315,0.037516170763260026,0.2639068564036222
E01000316,0.05698529411764706,0.22242647058823528
E01000317,0.04946524064171123,0.17914438502673796
E01000318,0.0627177700348432,0.2183507549361208
E01000319,0.03531073446327684,0.1709039548022599
E01000320,0.045317220543806644,0.18529707955689828
E01000321,0.04279069767441861,0.21209302325581397
E01000322,0.06777777777777778,0.22444444444444445
E01000323,0.06972928630024611,0.2559474979491386
E01000324,0.0525164113785558,0.23304157549234134
E01000325,0.024875621890547265,0.2027363184079602
E01000326,0.04275862068965517,0.24137931034482757
E01000327,0.027777777777777776,0.2275132275132275
E01000328,0.02929427430093209,0.24900133155792278
E01000329,0.05289052890528905,0.23247232472324722
E01000330,0.059508408796895215,0.2742561448900388
E01000331,0.04736842105263158,0.23815789473684212
E01000332,0.02912621359223301,0.289875173370319
E01000333,0.05057471264367816,0.2896551724137931
E01000334,0.040100250626566414,0.21428571428571427
E01000335,0.046250875963559916,0.3279607568325158
E01000336,0.04387990762124711,0.29330254041570436
E01000337,0.035842293906810034,0.23178016726403822
E01000338,0.043121149897330596,0.2885010266940452
E01000339,0.02663115845539281,0.21171770972037285
E01000340,0.04473684210526316,0.225
