lsoa,deprived_1plus_share,deprived_2plus_share
E01004449,0.696875,0.38125
E01004450,0.49503311258278143,0.14735099337748345
E01004451,0.546031746031746,0.19206349206349208
E01004452,0.5903141361256544,0.22774869109947643
E01004453,0.5770992366412214,0.19236641221374046
E01004454,0.573082489146165,0.18958031837916064
E01004455,0.5737976782752903,0.26533996683250416
E01004456,0.7099644128113879,0.3469750889679715
E01004457,0.47549668874172185,0.176158940397351
E01004458,0.5400788436268068,0.21156373193166886
E01004459,0.6998087954110899,0.3078393881453155
E01004460,0.561877667140825,0.1891891891891892
E01004462,0.4963942307692308,0.15745192307692307
E01004463,0.4232922732362822,0.13885778275475924
E01004464,0.6275659824046921,0.27712609970674484
E01004465,0.4788732394366197,0.176056338028169
E01004466,0.41940298507462687,0.1208955223880597
E01004467,0.6222466960352423,0.26762114537444937
E01004468,0.44461077844311375,0.1317365269461078
E01004469,0.6635658914728683,0.262015503875969
E01004470,0.5433333333333333,0.225
E01004471,0.5799086757990868,0.2207001522070015
E01004472,0.3002645502645503,0.07539682539682539
E01004473,0.38247011952191234,0.11420982735723771
E01004474,0.3896236012207528,0.1363173957273652
E01004475,0.3826771653543307,0.12125984251968504
E01004476,0.39322033898305087,0.12316384180790961
E01004477,0.3076923076923077,0.06382978723404255
E01004478,0.2653846153846154,0.06538461538461539
E01004479,0.30377668308702793,0.06568144499178982
E01004480,0.33432835820895523,0.07164179104477612
E01004481,0.39825581395348836,0.11046511627906977
E01004482,0.4457236842105263,0.14473684210526316
E01004483,0.34547346514047866,0.08012486992715921
E01004484,0.384,0.1056
E01004485,0.42112299465240643,0.12566844919786097
E01004486,0.3582089552238806,0.11533242876526459
E01004487,0.41797432239657634,0.15121255349500715
E01004488,0.41155234657039713,0.12274368231046931
E01004489,0.49,0.20666666666666667
E01004490,0.2833333333333333,0.058333333333333334
E01004491,0.3959074733096085,0.12455516014234876
E01004492,0.39541160593792174,0.14035087719298245
E01004493,0.3919239904988123,0.10807600950118765
E01004494,0.44527363184079605,0.16044776119402984
E01004495,0.5210727969348659,0.22413793103448276
E01004496,0.3533190578158458,0.10706638115631692
E01004497,0.39731285988483683,0.1343570057581574
E01004498,0.2791946308724832,0.09664429530201342
E01004499,0.37252124645892354,0.11189801699716714
E01004500,0.4482758620689655,0.13387423935091278
E01004501,0.4496240601503759,0.15789473684210525
E01004502,0.3284671532846715,0.10218978102189781
E01004503,0.43375174337517436,0.14504881450488144
E01004504,0.36101083032490977,0.0740072202166065
E01004505,0.3854033290653009,0.08962868117797695
E01004506,0.3384615384615385,0.08416289592760182
E01004507,0.3144704931285368,0.07113985448666128
E01004508,0.32277834525025534,0.11133810010214505
E01004510,0.36964078794901506,0.0984936268829664
E01004511,0.2907692307692308,0.06615384615384616
E01004512,0.3772652388797364,0.14827018121911037
E01004513,0.41294117647058826,0.14588235294117646
E01004514,0.31835205992509363,0.08614232209737828
E01004515,0.4216710182767624,0.1475195822454308
E01004516,0.4316831683168317,0.1188118811881188
E01004517,0.5090497737556561,0.15610859728506787
E01004518,0.4801223241590214,0.14984709480122324
E01004519,0.5219512195121951,0.19349593495934958
E01004520,0.4954128440366973,0.1834862385321101
E01004521,0.4338138925294889,0.14941022280471822
E01004522,0.5211267605633803,0.20187793427230047
E01004523,0.5338983050847458,0.19350282485875706
E01004524,0.6303549571603427,0.28886168910648713
E01004525,0.503448275862069,0.16275862068965516
