NLC,log_total_activity,log_entry_activity,log_exit_activity,zero_total,zero_entry,zero_exit
672,9.982382852057656,9.010993049267338,9.506746836188357,52,26,26
673,8.744234284821548,7.3749254812376694,8.451039337052281,57,29,28
674,12.060644544957716,11.701114660208072,10.863320890005166,1,1,0
675,9.058636033262164,7.544027010692077,8.810459556354637,56,28,28
676,9.797194648462176,8.38079251181739,9.519423790787844,52,26,26
677,9.10857563517321,7.58228357530273,8.863660101606532,52,26,26
678,9.813684138989258,8.809297480998683,9.357639403466512,54,28,26
679,9.380520062703972,7.75652762812093,9.161087336180131,2,2,0
680,9.923794977058549,8.72539729898999,9.564791303748256,59,31,28
681,10.238646126633974,9.310116523143707,9.735956439078711,4,2,2
682,9.131026691318294,8.25692870271395,8.59123567637635,53,27,26
683,9.45350681152373,7.9182268004325325,9.2110314037785,48,24,24
684,9.034496636666516,7.452347484130605,8.804562989149007,3,2,1
685,8.769928893038161,8.30899982596748,7.7742104686610025,64,32,32
686,10.884250957527348,9.757229842511618,10.49272097479709,54,28,26
687,8.709080651038853,7.303250818726813,8.428045177661865,54,28,26
688,6.393066277441222,4.2459767075216925,6.270728513164088,68,34,34
690,9.08405549902688,8.234213053973466,8.526542067990453,50,22,28
691,8.467748929048664,7.222647694833658,8.128490542894617,48,24,24
692,8.015420970110334,6.308463791166973,7.815643977133791,59,33,26
693,8.465300974228198,7.035393394408788,8.192020843750917,51,27,24
694,10.356107058934143,9.738777957450163,9.580987373860017,0,0,0
695,10.106314184054087,9.69661132613924,9.016245325529782,62,31,31
696,9.906849067315127,9.145559607854251,9.277589046052583,2,1,1
697,10.172543148143138,9.88037391786721,8.799741486641535,5,3,2
698,10.905622068636966,9.680333430469668,10.557971187768299,0,0,0
700,10.938170117096579,10.326527287548524,10.156320234628248,4,2,2
702,10.764788168489186,10.314509298381722,9.750252571289424,62,31,31
703,8.796438077089418,7.490706129623571,8.480599501026882,2,1,1
704,9.090116098869688,7.821242917121228,8.760172842099058,2,1,1
705,9.833102463433036,8.414528402581729,9.55602359623173,46,20,26
706,9.668345848491958,8.230771297023564,9.39727194985999,0,0,0
707,8.977479594570902,7.643038490811759,8.672069201177797,50,26,24
