lsoa,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,activity_band
E01001596,221.84932999999998,5.406495892881426,-0.28731423259200284,0.09941467932312441,0.0753289631300667,0.1428139986349997,0.85629579307993,below_450
E01001597,366.02085999999997,5.905418685676339,0.006576291853967016,0.07201157879362395,0.05656374338883309,0.1045285317363896,0.8474419646380698,below_450
E01001599,92.24568,4.535237730373044,-0.37842205727140826,0.08690629198028568,0.0636029784809435,0.12420465749842124,0.6946170946639492,below_450
E01001600,887.73368,6.789797618079652,-0.0068615848843315,0.062127979643624646,0.029647607827608842,0.08934862422759701,0.6487360138900039,at_least_450
E01001601,371.78828,5.9210106445490185,0.11960785853712223,0.1893488950216505,0.1632077536171931,0.3019729472300048,0.8988217771887341,below_450
E01001602,806.48613,6.693925878478706,-0.3387461480583677,0.08196388944717499,0.05496620258057011,0.127112543088116,0.6805537452932203,at_least_450
E01001603,705.67578,6.560571975141208,-0.3397537889142234,0.12268916186977537,0.07154475388116621,0.19332626380634407,0.7575666517162516,at_least_450
E01001604,2403.18697,7.784967067173245,0.08149670102447329,0.06682376860590251,0.025648549517560005,0.101223270446198,0.7861088689353982,at_least_450
E01001605,134.35205,4.907879161863602,-0.16488270927016,0.017062188481679286,0.0050586500168773,0.022679028927500393,0.6234209841970904,below_450
E01001606,106.96038,4.681764307965766,-0.11148427109178183,0.008095520977019714,0.0,0.009911508395593608,0.7167309004868727,below_450
E01001607,472.78107,6.160745337359614,-0.0825082738613033,0.08624761562471188,0.06394113876006076,0.13394268531100906,0.7096343713254413,at_least_450
E01001609,2651.07034,7.8830958743325965,-0.16833032049990793,0.06898180227085185,0.03686705649613205,0.10777634800696073,0.8139539796235976,at_least_450
E01001611,847.97945,6.744034981071406,-0.32713949612811954,0.07394818353204195,0.03981656630947837,0.11435261804896811,0.7319442786235025,at_least_450
E01001613,1306.7482,7.176062005839909,-0.15100721011132825,0.11231969556185345,0.08179105201751952,0.17391457047638517,0.7510234137144867,at_least_450
E01001614,1218.6578299999999,7.106325631175903,-0.2963508058697658,0.1663255714690645,0.1015176835978644,0.2924057904880808,0.7953496539361148,at_least_450
E01001615,9630.96157,9.172842177715061,0.10753990268491954,0.0749048799288273,0.04267940921707987,0.11242086962984994,0.78809024095312,at_least_450
E01001617,1937.4395299999999,7.569638562402097,0.1228629778189774,0.08682404658069509,0.05289405858256645,0.13158997876467646,0.6124133959859519,at_least_450
E01001618,656.15822,6.487924811409475,-0.09719369209456824,0.06333377946556852,0.03532346207596088,0.09468243831649316,0.7747849357997478,at_least_450
E01001619,168.78125,5.134510843751796,0.0342640548046658,0.031118622477319006,0.0,0.046303195550300484,1.0079518452483698,below_450
E01001620,429.65563,6.065308768411078,-0.12803209398187104,0.12960549359029694,0.08903265156795455,0.210833843830905,0.693635540352687,below_450
E01001621,746.93877,6.617321116335135,-0.3019237708065414,0.11813669813925978,0.0712707682853308,0.1886623442952531,0.7666919336177309,at_least_450
