alpha,cluster_aligned_to_alpha5,direction,day_type,hour_bin,mean_share
0.0,2,alightings,Sunday,1380,0.0190343936276268
0.0,2,alightings,Sunday,1440,0.013168838546141867
0.0,2,alightings,Sunday,1500,0.006211835141964506
0.0,2,alightings,Sunday,1560,0.00377929311326922
0.0,2,alightings,Sunday,1620,0.0038707796041457
0.0,2,alightings,Sunday,1680,0.005257396380871433
0.0,2,alightings,Sunday,1740,0.015555367759427488
5.0,0,boardings,Weekday,1080,0.10768287410877517
5.0,0,boardings,Weekday,1140,0.07675404164389128
5.0,0,boardings,Weekday,1200,0.051639367032388375
5.0,0,boardings,Weekday,1260,0.03686253511206133
5.0,0,boardings,Weekday,1320,0.028619711400446394
5.0,0,boardings,Weekday,1380,0.018840490236363496
5.0,0,boardings,Weekday,1440,0.008276091784979994
5.0,0,boardings,Weekday,1500,0.00331835095901025
5.0,0,boardings,Weekday,1560,0.0025228601491579473
5.0,0,boardings,Weekday,1620,0.0037297090500860103
5.0,0,boardings,Weekday,1680,0.008618228137881065
5.0,0,boardings,Weekday,1740,0.030623611097784043
5.0,0,boardings,Saturday,1080,0.09132219915592257
5.0,0,boardings,Saturday,1140,0.07529189992315959
5.0,0,boardings,Saturday,1200,0.05339435576069571
5.0,0,boardings,Saturday,1260,0.03934055833531985
5.0,0,boardings,Saturday,1320,0.033728646404574715
5.0,0,boardings,Saturday,1380,0.026549799023493238
5.0,0,boardings,Saturday,1440,0.0064517942317070046
5.0,0,boardings,Saturday,1500,0.002531622510620798
5.0,0,boardings,Saturday,1560,0.0021126892760128025
5.0,0,boardings,Saturday,1620,0.003795029208474919
5.0,0,boardings,Saturday,1680,0.007460550546251519
5.0,0,boardings,Saturday,1740,0.011260413002419147
5.0,0,boardings,Sunday,1080,0.059393220050540436
5.0,0,boardings,Sunday,1140,0.050842029875439926
5.0,0,boardings,Sunday,1200,0.03856688515416859
5.0,0,boardings,Sunday,1260,0.02806824253142793
5.0,0,boardings,Sunday,1320,0.021470106372419213
5.0,0,boardings,Sunday,1380,0.013843236745627433
5.0,0,boardings,Sunday,1440,0.008276091784979994
5.0,0,boardings,Sunday,1500,0.00331835095901025
5.0,0,boardings,Sunday,1560,0.0025228601491579473
5.0,0,boardings,Sunday,1620,0.0037297090500860103
5.0,0,boardings,Sunday,1680,0.008618228137881065
5.0,0,boardings,Sunday,1740,0.030623611097784043
5.0,0,alightings,Weekday,1080,0.11182405401987343
5.0,0,alightings,Weekday,1140,0.08254889957164345
5.0,0,alightings,Weekday,1200,0.056213972973550456
5.0,0,alightings,Weekday,1260,0.04188220280208196
5.0,0,alightings,Weekday,1320,0.03475519226789655
5.0,0,alightings,Weekday,1380,0.025622869492598486
5.0,0,alightings,Weekday,1440,0.012564124432215778
5.0,0,alightings,Weekday,1500,0.004684017653219469
5.0,0,alightings,Weekday,1560,0.002835020400870851
5.0,0,alightings,Weekday,1620,0.0024396386580650934
5.0,0,alightings,Weekday,1680,0.0032498209874898204
5.0,0,alightings,Weekday,1740,0.01225202424095766
5.0,0,alightings,Saturday,1080,0.08576612312829929
5.0,0,alightings,Saturday,1140,0.07243878162963696
5.0,0,alightings,Saturday,1200,0.055281198869684384
5.0,0,alightings,Saturday,1260,0.042226138146488235
5.0,0,alightings,Saturday,1320,0.03687583145701533
5.0,0,alightings,Saturday,1380,0.03151405421705478
5.0,0,alightings,Saturday,1440,0.009194254417190994
5.0,0,alightings,Saturday,1500,0.003462787850917895
5.0,0,alightings,Saturday,1560,0.0020034855618141878
5.0,0,alightings,Saturday,1620,0.001824297426749249
5.0,0,alightings,Saturday,1680,0.002949585122598819
5.0,0,alightings,Saturday,1740,0.005299330958099182
5.0,0,alightings,Sunday,1080,0.05870679105144556
5.0,0,alightings,Sunday,1140,0.05033751260735619
5.0,0,alightings,Sunday,1200,0.039710443827487237
5.0,0,alightings,Sunday,1260,0.03094748497779551
5.0,0,alightings,Sunday,1320,0.02479844658111202
5.0,0,alightings,Sunday,1380,0.017766968295972532
5.0,0,alightings,Sunday,1440,0.012564124432215778
5.0,0,alightings,Sunday,1500,0.004684017653219469
5.0,0,alightings,Sunday,1560,0.002835020400870851
5.0,0,alightings,Sunday,1620,0.0024396386580650934
5.0,0,alightings,Sunday,1680,0.0032498209874898204
5.0,0,alightings,Sunday,1740,0.01225202424095766
5.0,1,boardings,Weekday,1080,0.12659150746320108
5.0,1,boardings,Weekday,1140,0.08625868968971544
5.0,1,boardings,Weekday,1200,0.054652174730130974
5.0,1,boardings,Weekday,1260,0.0338625894659497
5.0,1,boardings,Weekday,1320,0.023466051638587514
5.0,1,boardings,Weekday,1380,0.013326040880290603
5.0,1,boardings,Weekday,1440,0.0045043807463126095
5.0,1,boardings,Weekday,1500,0.0008637568660612673
5.0,1,boardings,Weekday,1560,0.00043774756113082984
5.0,1,boardings,Weekday,1620,0.0005356188280977037
5.0,1,boardings,Weekday,1680,0.002695047461354747
5.0,1,boardings,Weekday,1740,0.038455029938536195
5.0,1,boardings,Saturday,1080,0.11015440177973723
5.0,1,boardings,Saturday,1140,0.0874013248458449
5.0,1,boardings,Saturday,1200,0.05788432025739247
5.0,1,boardings,Saturday,1260,0.03773464454818331
5.0,1,boardings,Saturday,1320,0.029709795549295332
5.0,1,boardings,Saturday,1380,0.02132824989254923
5.0,1,boardings,Saturday,1440,0.0029171675282134274
5.0,1,boardings,Saturday,1500,0.0005740907758207305
