alpha,cluster_aligned_to_alpha5,metric,mean,median,p10,p90
50.0,0,deep_night_share,0.0827521344591959,0.07823088384495412,0.045416745943758795,0.12594475380692102
50.0,0,post_midnight_persistence,0.23298327613960979,0.21559356396782486,0.1411464248096185,0.34223845032260297
50.0,0,weekend_ratio,0.8058555050300777,0.7982184759639995,0.7075556009262367,0.9038565870270739
50.0,1,total_activity,720.1045717470525,402.31557999999995,104.68481499999999,1627.28834
50.0,1,direction_balance,-0.1572662857134745,-0.1723442065265537,-0.42588891902560877,0.14568044442549893
50.0,1,post_midnight_share,0.07250540605560131,0.07087378971036451,0.029768624946140167,0.11544533375584426
50.0,1,deep_night_share,0.04336943019455033,0.03974924558671494,0.00911132591219026,0.08028186738457146
50.0,1,post_midnight_persistence,0.11201720689767805,0.10672672721520235,0.0414486384941179,0.18524688653554772
50.0,1,weekend_ratio,0.7632959162290025,0.7547494425431658,0.6174288464976276,0.9088519399607333
50.0,2,total_activity,2625.8809637579616,639.838355,179.586696,4512.600166999999
50.0,2,direction_balance,-0.02306246896679057,-0.020183389713973404,-0.32577818392571517,0.26160022780203457
50.0,2,post_midnight_share,0.1600702255338123,0.14543782754084972,0.07635741364364954,0.26283381022037156
50.0,2,deep_night_share,0.09958437169521578,0.0824501707262967,0.03828550917244343,0.17537068305902417
50.0,2,post_midnight_persistence,0.3046625969606727,0.25568258461012383,0.11629842558689936,0.5542300600684872
50.0,2,weekend_ratio,0.8653711537680491,0.8290725230747238,0.6546968477717701,1.0928362303967112
100.0,0,total_activity,2097.809539556213,1152.51204,280.07524200000006,4618.436908000001
100.0,0,direction_balance,-0.16106483505635338,-0.18026443072916068,-0.3685941835285438,0.055046766271962325
100.0,0,post_midnight_share,0.14743759064656398,0.1426395603713257,0.10362412428416318,0.19949000202172262
100.0,0,deep_night_share,0.09497541634543548,0.08886969618969469,0.05535024978939442,0.1372561585397245
100.0,0,post_midnight_persistence,0.2553540569290767,0.2416864471134841,0.16489536182389886,0.36584579464689415
100.0,0,weekend_ratio,0.7989230207038218,0.7943474456280766,0.7008041617908782,0.897995868921655
100.0,1,total_activity,1518.4473317767856,533.81671,111.667734,3378.1356960000003
100.0,1,direction_balance,-0.13365002440637558,-0.14664389301144432,-0.4059114930458412,0.1642641662303677
