lsoa,alpha,cluster_raw,cluster_aligned_to_alpha5,max_posterior,normalized_entropy,total_activity,activity_band,min_direction_reliability
E01000347,0.0,0,0,0.9999999843024626,2.77002790185846e-07,1053.50505,at_least_450,1.0
E01000349,0.0,2,1,0.9999992905493643,9.789078580777336e-06,209.06674999999998,below_450,1.0
E01000350,0.0,2,1,0.9999991568256663,1.1502899673260511e-05,327.55365,below_450,1.0
E01000352,0.0,0,0,0.9544622858948179,0.1685478552527182,698.20173,at_least_450,1.0
E01000353,0.0,2,1,1.0,3.849941735137044e-15,213.95934,below_450,1.0
E01000354,0.0,2,1,0.9999999999996589,9.668959441900226e-12,255.07878,below_450,1.0
E01000356,0.0,0,0,0.9999982601058052,2.258651606453474e-05,1606.69361,at_least_450,1.0
E01000358,0.0,2,1,0.9999999999999432,2.0532926554650033e-12,233.07433999999998,below_450,1.0
E01000359,0.0,2,1,1.0,1.567297488963346e-13,349.04991,below_450,1.0
E01000360,0.0,0,0,0.999999999999261,1.9375775275702625e-11,4688.98768,at_least_450,1.0
E01000362,0.0,0,0,1.0,3.371584180051047e-14,11846.1363,at_least_450,1.0
E01000363,0.0,2,1,1.0,8.901793194044005e-17,96.77814,below_450,1.0
E01000364,0.0,1,2,0.999999999997442,6.432960485546771e-11,94.31922,below_450,1.0
E01000365,0.0,1,2,0.9999997241293767,4.043680157702831e-06,2062.57804,at_least_450,1.0
E01000367,0.0,1,2,0.7136606029230008,0.5450889468069888,429.12918,below_450,1.0
E01000369,0.0,1,2,1.0,1.5866116219623194e-17,186.51172,below_450,1.0
E01000370,0.0,0,0,0.9999999999996589,9.077737451380757e-12,1266.21623,at_least_450,1.0
E01000374,0.0,2,1,0.9999999999999432,1.6748719182821266e-12,280.01104,below_450,1.0
E01000375,0.0,1,2,1.0,1.1355423064819456e-17,172.83764,below_450,1.0
E01000376,0.0,2,1,1.0,5.292039444095224e-23,59.96211,below_450,1.0
E01000380,0.0,1,2,0.9984596169470898,0.010480760064479261,77.33782,below_450,1.0
E01000381,0.0,2,1,1.0,4.7480468001427895e-63,61.16364,below_450,1.0
E01000383,0.0,2,1,1.0,3.562041067263575e-13,224.75336,below_450,1.0
E01000384,0.0,0,0,0.9999905476370208,0.00010814818820432297,402.07388999999995,below_450,1.0
E01000385,0.0,2,1,0.9999999999762395,5.633100514140048e-10,191.63707,below_450,1.0
E01000386,0.0,0,0,0.9999999999993747,1.7150515193773796e-11,1763.7427500000001,at_least_450,1.0
E01000389,0.0,0,0,0.999999999944464,1.244442709154862e-09,705.8817,at_least_450,1.0
E01000392,0.0,0,0,1.0,2.9106869033893577e-16,3536.4626399999997,at_least_450,1.0
E01000394,0.0,2,1,0.9992830317035077,0.005393880209000325,484.92408,at_least_450,1.0
E01000398,0.0,2,1,0.9999999999994316,1.4403476947140754e-11,229.28884,below_450,1.0
E01000399,0.0,0,0,0.9999999982418899,3.3860402114153124e-08,667.82449,at_least_450,1.0
E01000400,0.0,0,0,0.9999734374298652,0.0002789206539138691,942.92651,at_least_450,1.0
E01000402,0.0,1,2,0.8933207130104928,0.3090405659093891,207.02062,below_450,1.0
E01000403,0.0,0,0,1.0,1.166759620729367e-13,4163.57343,at_least_450,1.0
E01000404,0.0,0,0,0.9999994170893836,8.147865649036051e-06,1120.27159,at_least_450,1.0
E01000405,0.0,1,2,1.0,-0.0,302.38291000000004,below_450,1.0
E01000406,0.0,1,2,0.9999999999992042,2.1244175405624775e-11,856.22667,at_least_450,1.0
