K,replicate,base_cluster,matched_jaccard
7,13,2,0.5659574468085107
7,13,3,0.8571428571428571
7,13,4,0.014705882352941176
7,13,5,0.8690579083837511
7,13,6,0.7288135593220338
7,14,0,0.0
7,14,1,0.24324324324324326
7,14,2,0.7388888888888889
7,14,3,0.08695652173913043
7,14,4,0.4051724137931034
7,14,5,0.6790794979079497
7,14,6,0.3680555555555556
7,15,0,0.0
7,15,1,0.12280701754385964
7,15,2,0.7046413502109705
7,15,3,0.5470383275261324
7,15,4,0.7528089887640449
7,15,5,0.7870097005482919
7,15,6,0.2808219178082192
7,16,0,0.8923076923076924
7,16,1,0.5
7,16,2,0.6534090909090909
7,16,3,0.35376044568245124
7,16,4,0.016826923076923076
7,16,5,0.7367066895368782
7,16,6,0.7307692307692307
7,17,0,0.01834862385321101
7,17,1,0.4957627118644068
7,17,2,0.7783783783783784
7,17,3,0.3181818181818182
7,17,4,0.5210084033613446
7,17,5,0.7501064282673479
7,17,6,0.26811594202898553
7,18,0,0.0
7,18,1,0.489247311827957
7,18,2,0.7208121827411168
7,18,3,0.07971014492753623
7,18,4,0.8676470588235294
7,18,5,0.8143614851081191
7,18,6,0.6349206349206349
7,19,0,0.007263922518159807
7,19,1,0.168
7,19,2,0.4425287356321839
7,19,3,0.7647058823529411
7,19,4,0.4868421052631579
7,19,5,0.7582278481012659
7,19,6,0.41904761904761906
7,20,0,0.0
7,20,1,0.03867403314917127
7,20,2,0.3812316715542522
7,20,3,0.842391304347826
7,20,4,0.8873239436619719
7,20,5,0.8246128087065718
7,20,6,0.5652173913043478
8,1,0,0.7701149425287356
8,1,1,0.42066420664206644
8,1,2,0.9761904761904762
8,1,3,0.817923186344239
8,1,4,0.6632911392405063
8,1,5,0.5655430711610487
8,1,6,0.0
8,1,7,0.7209302325581395
8,2,0,0.8169014084507042
8,2,1,0.46153846153846156
8,2,2,0.5606060606060606
8,2,3,0.8161496350364964
8,2,4,0.7437325905292479
8,2,5,0.3888888888888889
8,2,6,0.0
8,2,7,0.7375
8,3,0,0.8648648648648649
8,3,1,0.5172413793103449
8,3,2,0.9069767441860465
8,3,3,0.8606896551724138
8,3,4,0.8223495702005731
8,3,5,0.3961352657004831
8,3,6,0.0
8,3,7,0.9166666666666666
8,4,0,0.34375
8,4,1,0.4105263157894737
8,4,2,0.7708333333333334
