K,replicate,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard,converged
6,10,0.5355561852559442,0.5517755429896152,0.034934497816593885,True
6,11,0.8018849978760971,0.745609358221968,0.6216216216216216,True
6,12,0.5776384684011604,0.565405752585375,0.30708661417322836,True
6,13,0.6407250022706032,0.7174703419931693,0.3680297397769517,True
6,14,0.5768428803475636,0.6425972848648466,0.3174061433447099,True
6,15,0.5610514560812181,0.5453321880038263,0.3448275862068966,True
6,16,0.5774455819295181,0.5617116873315595,0.07661290322580645,True
6,17,0.712242061778026,0.6890527931338921,0.007874015748031496,True
6,18,0.6467725792004045,0.6055879874416908,0.00546448087431694,True
6,19,0.44608686612913406,0.4449359204524374,0.16853932584269662,True
6,20,0.23631009985093793,0.3152776589833321,0.0,True
7,1,0.5034746892122055,0.4663076863012193,0.01818181818181818,True
7,2,0.526130325412234,0.5309989205655967,0.0,True
7,3,0.42075771747933394,0.6322742006921916,0.07320644216691069,True
7,4,0.778604204451645,0.7757702035790938,0.6086956521739131,True
7,5,0.5114147712573304,0.5844968349502253,0.008988764044943821,True
7,6,0.27826310549266253,0.36687402529634433,0.00510204081632653,True
7,7,0.5411390584816802,0.5412467116664956,0.015015015015015015,True
7,8,0.5244296238761845,0.5787758455395933,0.01015228426395939,True
7,9,0.5002231202529428,0.47628911381436506,0.002702702702702703,True
7,10,0.32449365661965707,0.5071129965488274,0.11812297734627832,True
7,11,0.49831888961774784,0.5073997138188219,0.02099737532808399,True
7,12,0.4292343241155319,0.465899134940284,0.0,True
7,13,0.6710526130400257,0.5512524340600333,0.014705882352941176,True
7,14,0.32252959321609426,0.3601994458754102,0.0,True
7,15,0.49120343630089647,0.45644675748593116,0.0,True
7,16,0.43046082917228556,0.5548257246117523,0.016826923076923076,True
7,17,0.4432257485867773,0.44998604370507034,0.01834862385321101,True
7,18,0.504826239138369,0.5152426883355562,0.0,True
7,19,0.44494250487656883,0.4352308732736182,0.007263922518159807,True
7,20,0.553872376479115,0.5056358789605915,0.0,True
8,1,0.6246711257796163,0.6168321568331515,0.0,True
8,2,0.6079620238059592,0.5656646306312325,0.0,True
8,3,0.6967350085088257,0.6606155182626741,0.0,True
8,4,0.49152425355452634,0.4170918846907137,0.0,True
8,5,0.6819569034159234,0.559070032045738,0.0,True
8,6,0.47412726060701055,0.4088954357621418,0.0,True
8,7,0.5867227062777108,0.4744798971846851,0.0,True
8,8,0.5573289263843334,0.5060186624956465,0.0,True
8,9,0.698141674807074,0.6197101310702053,0.0,True
8,10,0.6788147143016489,0.6143971240436003,0.16666666666666666,True
8,11,0.6881061500632005,0.5922845414622699,0.0,True
8,12,0.7269229823418338,0.5650210648824121,0.0,True
8,13,0.5340842854945123,0.4957519031898635,0.0,True
8,14,0.3870284647001502,0.28108573985847657,0.0,True
8,15,0.4557711796088007,0.4505075085552499,0.014141414141414142,True
8,16,0.540033619012558,0.44745288947029505,0.05555555555555555,True
8,17,0.35056649285284763,0.3275008268793131,0.01881720430107527,True
8,18,0.46406315286920713,0.34905612232911576,0.0,True
8,19,0.6579329943976491,0.5798810394286311,0.0,True
8,20,0.46455252808623587,0.36566954601868523,0.0,True
