K,cluster,metric,value
3,0,log_total_activity,7.241565067288405
3,0,log_total_activity,7.667763126161648
3,0,log_total_activity,8.884950888538246
3,0,log_total_activity,8.15135308395692
3,0,log_total_activity,5.558911565373238
3,0,log_total_activity,8.430547491558574
3,0,log_total_activity,8.478087808092216
3,0,log_total_activity,5.533729075330237
3,0,log_total_activity,8.127784177576482
3,0,log_total_activity,8.487634368154692
3,0,log_total_activity,7.41129036121715
3,0,log_total_activity,6.758903027658931
3,0,log_total_activity,7.150316457999497
3,0,log_total_activity,5.993036485964469
3,0,log_total_activity,6.177788043780983
3,0,log_total_activity,5.943291616160927
3,0,log_total_activity,6.07293010359035
3,0,log_total_activity,7.118742860970003
3,0,log_total_activity,6.782208563807044
3,0,log_total_activity,6.305070163267872
3,0,log_total_activity,8.641611459372672
3,0,log_total_activity,7.863487938001493
3,0,log_total_activity,5.691187894856205
3,0,log_total_activity,5.80524155962104
3,0,log_total_activity,5.655386522774894
3,0,log_total_activity,7.392570898328074
3,0,log_total_activity,6.14978044749063
3,0,log_total_activity,5.73889553216224
3,0,log_total_activity,6.970196339486256
3,0,log_total_activity,9.960912400296074
3,0,log_total_activity,7.27785875622448
3,0,log_total_activity,7.146395368310754
3,0,log_total_activity,6.976981137992055
3,0,log_total_activity,7.353868452885833
3,0,log_total_activity,8.791060785845232
3,0,log_total_activity,6.271120880553503
3,0,log_total_activity,6.6023808694047466
3,0,log_total_activity,7.437042495965802
3,0,log_total_activity,5.941059226775803
3,0,log_total_activity,7.583394811166043
3,0,log_total_activity,7.604473251668833
3,0,log_total_activity,5.905418685676339
3,0,log_total_activity,6.789797618079652
3,0,log_total_activity,6.693925878478706
3,0,log_total_activity,7.784967067173245
3,0,log_total_activity,6.160745337359614
3,0,log_total_activity,7.883095874332596
3,0,log_total_activity,6.744034981071406
3,0,log_total_activity,7.176062005839909
3,0,log_total_activity,9.17284217771506
3,0,log_total_activity,7.569638562402097
3,0,log_total_activity,6.487924811409475
3,0,log_total_activity,6.065308768411078
3,0,log_total_activity,6.617321116335135
3,0,log_total_activity,7.3441571715169855
3,0,log_total_activity,5.8833492126410425
3,0,log_total_activity,9.024987257852295
3,0,log_total_activity,6.422612655259698
3,0,log_total_activity,7.785665047094774
3,0,log_total_activity,6.363119547635188
3,0,log_total_activity,7.705301465097187
3,0,log_total_activity,6.936649646943873
3,0,log_total_activity,7.174748390710289
3,0,log_total_activity,6.101268971460675
3,0,log_total_activity,7.194742457551079
3,0,log_total_activity,5.676407680731297
3,0,log_total_activity,6.614932589503858
3,0,log_total_activity,7.687722568657845
3,0,log_total_activity,8.318028166085918
3,0,log_total_activity,6.823216119905573
3,0,log_total_activity,7.377608646939211
3,0,log_total_activity,8.028167864941047
3,0,log_total_activity,6.859917187447687
3,0,log_total_activity,10.338181680681949
3,0,log_total_activity,7.316547678843982
3,0,log_total_activity,8.409442550572416
3,0,log_total_activity,6.886060969983811
3,0,log_total_activity,7.358771285100552
3,0,log_total_activity,7.496068849489558
3,0,log_total_activity,6.709021519780553
3,0,log_total_activity,8.569178269266422
3,0,log_total_activity,6.213530998558342
3,0,log_total_activity,7.737188559474053
3,0,log_total_activity,8.908177181766726
3,0,log_total_activity,7.769498572744808
3,0,log_total_activity,6.355225865779003
3,0,log_total_activity,7.867294463305021
3,0,log_total_activity,7.409821521133299
3,0,log_total_activity,7.981734953926574
3,0,log_total_activity,6.879800962564512
3,0,log_total_activity,8.348154046733551
3,0,log_total_activity,5.766717554718937
3,0,log_total_activity,6.41322783209936
3,0,log_total_activity,7.259577682366791
3,0,log_total_activity,5.510986734622373
3,0,log_total_activity,7.071662647152687
3,0,log_total_activity,6.620429716306527
3,0,log_total_activity,6.4861440205108165
3,0,log_total_activity,7.356471531236179
3,0,log_total_activity,6.744321684246798
3,0,log_total_activity,7.656322686665939
3,0,log_total_activity,8.70326729193609
3,0,log_total_activity,8.402859544023956
3,0,log_total_activity,5.540967932841959
3,0,log_total_activity,9.224931766906154
3,0,log_total_activity,7.032524865091042
3,0,log_total_activity,6.95094788218792
3,0,log_total_activity,7.288558507527665
3,0,log_total_activity,5.71522370676488
3,0,log_total_activity,7.825277867808869
3,0,log_total_activity,8.124653833702009
3,0,log_total_activity,8.790540446049185
3,0,log_total_activity,7.787622943519953
3,0,log_total_activity,7.922764245728891
3,0,log_total_activity,7.348358070884217
3,0,log_total_activity,6.295918721950594
3,0,log_total_activity,6.265195370634731
3,0,log_total_activity,7.155711498118825
3,0,log_total_activity,5.679231552027333
3,0,log_total_activity,5.898659848462763
3,0,log_total_activity,7.353665997186825
3,0,log_total_activity,9.049951106075373
3,0,log_total_activity,6.878661695309651
3,0,log_total_activity,7.536990819207009
3,0,log_total_activity,9.589951784264311
3,0,log_total_activity,8.354870254475372
3,0,log_total_activity,6.994708142593226
3,0,log_total_activity,7.09219411775185
3,0,log_total_activity,6.899230415367625
3,0,log_total_activity,8.336821997826862
3,0,log_total_activity,8.677963107681698
3,0,log_total_activity,8.089581270093792
3,0,log_total_activity,7.4837031128811295
3,0,log_total_activity,7.304821918475802
3,0,log_total_activity,8.769430184669845
3,0,log_total_activity,5.87244711552333
3,0,log_total_activity,6.990906326143864
3,0,log_total_activity,6.355800773333003
3,0,log_total_activity,6.820936388920256
3,0,log_total_activity,7.881747663781833
3,0,log_total_activity,7.832850695608495
3,0,log_total_activity,6.7529400116988825
3,0,log_total_activity,7.338420799183964
3,0,log_total_activity,6.815550490455325
3,0,log_total_activity,8.108067908031563
3,0,log_total_activity,7.521859501119347
3,0,log_total_activity,6.813591687594013
3,0,log_total_activity,6.4540823116321135
3,0,log_total_activity,7.915230955383942
3,0,log_total_activity,6.411258554449404
3,0,log_total_activity,7.05240477950114
3,0,log_total_activity,6.200226497176513
3,0,log_total_activity,7.357362062168688
3,0,log_total_activity,7.847631106961996
3,0,log_total_activity,8.374495361939061
3,0,log_total_activity,10.351738985723395
3,0,log_total_activity,6.5003048013315015
3,0,log_total_activity,6.929551202656188
3,0,log_total_activity,7.546539827975814
3,0,log_total_activity,6.364666467585385
3,0,log_total_activity,7.134111823102391
3,0,log_total_activity,7.942885405702124
3,0,log_total_activity,8.146218074219423
3,0,log_total_activity,7.290984178235133
3,0,log_total_activity,8.584253922855526
3,0,log_total_activity,7.312268647663314
3,0,log_total_activity,6.261381850045204
3,0,log_total_activity,6.340370608778488
3,0,log_total_activity,7.024970402295718
3,0,log_total_activity,7.596811553183576
3,0,log_total_activity,6.707114358632259
3,0,log_total_activity,6.679028947912749
3,0,log_total_activity,6.979962845794698
3,0,log_total_activity,7.214676275761782
3,0,log_total_activity,7.698776595055527
3,0,log_total_activity,8.659346945909537
3,0,log_total_activity,7.578748768660557
3,0,log_total_activity,10.53172127527853
3,0,log_total_activity,6.070054908329107
3,0,log_total_activity,6.438839186154235
3,0,log_total_activity,5.799305995338106
3,0,log_total_activity,8.4879460243714
3,0,log_total_activity,6.731741621493849
3,0,log_total_activity,6.880904214108741
3,0,log_total_activity,6.705693169285348
3,0,log_total_activity,5.877309192203803
3,0,log_total_activity,7.100696142484973
3,0,log_total_activity,7.048103284371422
3,0,log_total_activity,8.274349326971576
3,0,log_total_activity,8.535230871913646
