unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000690,2,1.0,1.0
E01000691,0,0.8333333333333334,0.9
E01000692,0,0.6666666666666666,0.2
E01000693,2,0.8333333333333334,0.9
E01000694,2,1.0,1.0
E01000696,0,0.8333333333333334,0.8
E01000697,2,1.0,1.0
E01000698,2,1.0,1.0
E01000699,0,1.0,1.0
E01000700,2,1.0,1.0
E01000702,0,0.8333333333333334,0.7
E01000703,0,1.0,0.8
E01000704,2,0.8333333333333334,0.9
E01000705,2,1.0,1.0
E01000706,0,0.8333333333333334,0.5
E01000707,2,1.0,1.0
E01000708,2,0.8333333333333334,0.9
E01000709,1,1.0,1.0
E01000710,2,1.0,1.0
E01000711,2,1.0,1.0
E01000712,0,0.3333333333333333,0.2
E01000713,2,1.0,1.0
E01000714,0,0.8333333333333334,0.7
E01000715,2,0.8333333333333334,0.9
E01000716,2,1.0,1.0
E01000717,2,0.8333333333333334,0.9
E01000718,0,1.0,1.0
E01000719,2,1.0,0.9
E01000720,2,1.0,1.0
E01000721,2,1.0,1.0
E01000722,0,0.8333333333333334,0.9
E01000723,2,1.0,1.0
E01000724,2,1.0,1.0
E01000725,2,1.0,1.0
E01000726,2,1.0,1.0
E01000727,0,1.0,1.0
E01000728,0,1.0,0.7
E01000729,2,1.0,1.0
E01000730,0,1.0,0.7
E01000731,2,1.0,1.0
E01000732,2,1.0,0.9
E01000733,2,1.0,1.0
E01000734,2,1.0,1.0
E01000735,0,1.0,0.4
E01000736,2,0.8333333333333334,0.9
E01000737,2,1.0,1.0
E01000738,0,1.0,1.0
E01000739,2,1.0,1.0
E01000741,0,0.8333333333333334,0.8
E01000742,2,1.0,1.0
E01000743,0,0.8333333333333334,0.8
E01000744,0,1.0,1.0
E01000745,3,1.0,0.7
E01000747,2,1.0,1.0
E01000748,2,1.0,1.0
E01000749,2,1.0,1.0
E01000750,2,1.0,1.0
E01000751,2,1.0,1.0
E01000752,0,0.8333333333333334,0.3
E01000753,2,1.0,1.0
E01000754,2,1.0,0.9
E01000755,0,1.0,0.8
E01000756,2,1.0,1.0
E01000757,2,1.0,1.0
E01000758,2,1.0,0.9
E01000759,2,1.0,1.0
E01000760,0,1.0,0.8
E01000761,2,1.0,1.0
E01000762,2,0.8333333333333334,0.9
E01000763,0,1.0,1.0
E01000764,2,1.0,1.0
E01000765,2,0.8333333333333334,0.8
E01000766,2,1.0,1.0
E01000767,0,0.8333333333333334,0.3
E01000768,1,0.8333333333333334,0.6
E01000769,2,1.0,1.0
E01000770,0,1.0,0.8
E01000771,2,0.8333333333333334,0.9
E01000772,1,1.0,1.0
E01000773,2,1.0,1.0
E01000774,0,1.0,0.6
E01000775,0,0.8333333333333334,0.3
E01000777,0,1.0,0.8
E01000778,2,0.8333333333333334,0.9
E01000780,0,1.0,1.0
E01000781,0,0.8333333333333334,0.9
E01000782,0,1.0,1.0
E01000784,2,1.0,0.9
E01000785,2,1.0,0.9
E01000786,2,1.0,1.0
E01000787,2,0.8333333333333334,0.9
E01000788,0,1.0,0.7
E01000789,2,1.0,1.0
E01000790,0,0.8333333333333334,0.8
E01000791,2,1.0,1.0
E01000792,2,1.0,1.0
E01000794,2,1.0,0.9
E01000795,2,1.0,1.0
E01000797,0,0.8333333333333334,0.8
E01000798,3,0.8333333333333334,0.6
E01000799,3,1.0,0.8
E01000800,0,1.0,1.0
E01000801,0,0.8333333333333334,0.9
E01000802,0,1.0,0.4
E01000803,2,0.8333333333333334,0.9
E01000804,2,1.0,1.0
E01000805,0,1.0,0.9
E01000806,3,1.0,0.5
E01000807,2,0.8333333333333334,0.8
E01000808,2,1.0,1.0
E01000809,2,1.0,1.0
E01000810,2,1.0,1.0
E01000813,0,1.0,0.9
E01000815,2,1.0,1.0
E01000816,0,1.0,1.0
E01000818,2,1.0,1.0
E01000819,0,1.0,0.5
E01000820,2,1.0,0.9
E01000822,0,0.8333333333333334,0.8
E01000823,2,1.0,0.9
E01000824,0,1.0,1.0
E01000825,2,1.0,1.0
E01000826,1,1.0,0.9
E01000827,0,1.0,1.0
E01000828,2,0.8333333333333334,0.9
E01000829,1,1.0,1.0
E01000830,0,1.0,0.6
E01000831,2,1.0,1.0
E01000832,2,0.8333333333333334,0.9
E01000834,2,1.0,1.0
E01000835,0,0.8333333333333334,0.7
E01000837,0,0.5,0.3
E01000838,0,1.0,0.7
E01000840,0,1.0,0.9
E01000841,1,1.0,1.0
E01000843,2,1.0,1.0
E01000844,1,1.0,1.0
E01000845,2,1.0,1.0
E01000846,0,1.0,0.7
E01000847,1,0.3333333333333333,0.2
E01000848,2,0.8333333333333334,0.9
E01000849,0,0.8333333333333334,0.8
E01000850,1,1.0,1.0
E01000851,3,1.0,0.7
E01000855,3,1.0,0.8
E01000856,3,1.0,0.7
E01000858,3,1.0,0.7
E01000860,2,1.0,1.0
E01000861,3,1.0,0.8
E01000862,2,1.0,0.9
E01000863,3,1.0,0.6
E01000867,3,1.0,0.7
E01000868,1,1.0,1.0
E01000869,3,1.0,0.7
E01000871,0,0.8333333333333334,0.7
E01000872,3,1.0,0.8
E01000873,2,1.0,1.0
E01000874,0,1.0,0.6
E01000875,0,1.0,1.0
E01000876,3,1.0,0.8
E01000877,0,0.8333333333333334,0.7
E01000878,1,1.0,1.0
E01000879,2,1.0,1.0
E01000880,0,1.0,0.9
E01000881,0,1.0,1.0
E01000882,2,1.0,1.0
E01000883,0,0.8333333333333334,0.7
E01000884,1,1.0,1.0
E01000886,2,0.8333333333333334,0.9
E01000887,0,0.8333333333333334,0.7
E01000888,0,0.8333333333333334,0.3
E01000890,0,0.8333333333333334,0.9
E01000891,1,1.0,1.0
E01000895,0,0.5,0.5
E01000896,0,1.0,0.8
E01000897,2,1.0,1.0
E01000898,0,1.0,0.8
E01000899,0,1.0,0.8
E01000900,3,0.6666666666666666,0.2
E01000901,2,1.0,0.9
E01000902,1,1.0,1.0
E01000903,0,0.8333333333333334,0.9
E01000904,0,0.8333333333333334,0.8
E01000905,2,1.0,1.0
E01000906,3,1.0,0.7
E01000907,2,1.0,1.0
E01000908,2,1.0,1.0
E01000909,0,1.0,0.9
E01000911,2,1.0,0.9
E01000912,0,0.8333333333333334,0.7
E01000913,0,1.0,0.9
E01000914,3,0.8333333333333334,0.5
E01000916,3,1.0,0.8
E01000917,1,1.0,1.0
E01000918,1,1.0,1.0
E01000919,1,1.0,1.0
E01000920,3,1.0,0.7
E01000921,3,1.0,0.7
E01000922,3,1.0,0.8
E01000924,0,0.8333333333333334,0.9
E01000925,2,1.0,1.0
E01000926,3,1.0,0.7
E01000927,3,1.0,0.8
E01000928,3,1.0,0.8
E01000929,3,1.0,0.7
E01000930,1,1.0,0.8
E01000931,3,1.0,0.7
E01000932,3,1.0,0.7
E01000933,3,1.0,0.7
E01000934,3,1.0,0.7
E01000935,1,1.0,0.9
E01000938,3,0.8333333333333334,0.4
E01000942,3,0.8333333333333334,0.6
E01000946,3,1.0,0.8
E01000947,3,1.0,0.7
E01000948,0,1.0,0.9
E01000952,1,1.0,1.0
E01000954,1,1.0,0.9
E01000955,1,0.6666666666666666,0.8
E01000956,3,1.0,0.7
E01000957,2,1.0,1.0
E01000958,2,0.8333333333333334,0.9
E01000959,3,0.8333333333333334,0.6
E01000960,3,1.0,0.7
E01000963,3,1.0,0.7
E01000964,2,1.0,1.0
E01000965,2,1.0,1.0
E01000969,0,0.5,0.5
E01000970,2,1.0,1.0
E01000972,3,1.0,0.8
E01000973,3,1.0,0.7
E01000974,0,0.5,0.5
E01000975,3,1.0,0.8
E01000976,0,1.0,0.7
E01000977,0,1.0,0.8
E01000978,0,1.0,0.9
E01000979,0,1.0,1.0
E01000980,2,0.8333333333333334,0.9
E01000981,0,1.0,0.9
E01000982,1,1.0,1.0
E01000983,2,1.0,0.9
E01000984,0,1.0,0.9
E01000985,2,0.8333333333333334,0.9
E01000986,2,1.0,1.0
E01000989,2,1.0,1.0
E01000990,2,1.0,1.0
E01000991,2,1.0,1.0
E01000992,0,1.0,0.7
E01000993,0,1.0,0.5
E01000994,0,1.0,0.5
E01000995,1,1.0,1.0
E01000997,0,0.8333333333333334,0.9
E01000998,0,0.8333333333333334,0.9
E01001000,0,0.8333333333333334,0.9
E01001003,0,0.3333333333333333,0.1
E01001004,2,0.8333333333333334,0.9
E01001005,0,0.8333333333333334,0.9
E01001006,2,0.8333333333333334,0.9
E01001007,1,1.0,1.0
E01001008,1,1.0,0.9
E01001010,3,1.0,0.7
E01001011,3,1.0,0.7
E01001013,3,1.0,0.8
E01001015,1,1.0,1.0
E01001016,2,0.8333333333333334,0.9
E01001018,0,1.0,1.0
E01001019,0,0.8333333333333334,0.3
E01001020,0,1.0,0.7
E01001021,2,0.8333333333333334,0.9
E01001022,2,1.0,1.0
E01001023,0,0.8333333333333334,0.7
E01001024,2,1.0,1.0
E01001025,2,1.0,1.0
E01001026,2,1.0,1.0
E01001027,2,1.0,1.0
E01001028,2,1.0,1.0
E01001029,2,0.8333333333333334,0.9
E01001030,2,1.0,1.0
E01001031,2,1.0,1.0
E01001032,2,1.0,1.0
