logical_hub_code,logical_hub_source,logical_hub_name,n_stops,n_lsoa,has_unmatched_stop,hub_boardings,hub_alightings,cross_lsoa,both_directions_positive,hub_total_activity
490G000897,stop_area,Palace Gardens Terrace,1,1,False,352.40426,229.58619,False,True,581.99045
490G00003900,stop_area,Greenway,2,2,False,203.29888,378.28787,True,True,581.5867499999999
490G00002298,stop_area,Royal Crest Avenue,1,1,False,69.95896,511.35391,False,True,581.31287
490G00008157,stop_area,Limes Avenue,1,1,False,287.58807,293.7034,False,True,581.29147
490G00007792,stop_area,Harewood Terrace,2,1,False,247.69976000000003,333.08945,False,True,580.78921
490G00015381,stop_area,Pixton Way Selsdon,2,2,False,150.51656,430.26599999999996,True,True,580.78256
490G00005091,stop_area,Chequers Way,3,2,False,233.50417,346.72141999999997,True,True,580.22559
490G00014485,stop_area,West Kensington Estate,2,1,False,246.42248,333.52855,False,True,579.95103
490G00011082,stop_area,Pocock Street,2,1,False,205.68568,373.99376,False,True,579.67944
490G00019702,stop_area,Aldersgate Street / Goswell Rd,1,1,False,390.70288999999997,188.61327,False,True,579.31616
940GZZDLCLA,parent_stop_area,Crossharbour,2,1,False,286.0624,293.25131,False,True,579.31371
