MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000170,0.0,0.0,1051.7918,840.45978,840.45978,1051.7918
E02000171,923.593221982,929.8576938916001,714.0028599999999,502.48679000000004,1426.080011982,1643.8605538916
E02000172,1415.1688094183182,1055.3611251684779,865.03325,733.34131,2148.510119418318,1920.3943751684778
E02000173,831.7001917380614,814.6954525866747,1144.70213,1189.889,2021.5891917380613,1959.3975825866746
E02000174,0.0,0.0,753.51609,396.48960999999997,396.48960999999997,753.51609
E02000175,7375.92633455588,11146.129393915371,1507.90194,1575.47413,8951.40046455588,12654.03133391537
E02000176,1709.1395233340002,2582.446302694,394.03806,321.02133,2030.1608533340002,2976.484362694
E02000177,2971.318703978,3252.1929659008,1041.3274000000001,802.0972,3773.415903978,4293.5203659008
E02000178,0.0,0.0,2529.69009,2956.06067,2956.06067,2529.69009
E02000179,0.0,0.0,142.93583999999998,168.6814,168.6814,142.93583999999998
E02000180,0.0,0.0,1236.10813,764.67838,764.67838,1236.10813
E02000181,0.0,0.0,27.60271,15.523559999999998,15.523559999999998,27.60271
E02000182,2314.4144736811363,3183.917959257249,1490.7800399999999,1806.23266,4120.647133681136,4674.697999257249
E02000183,0.0,0.0,317.2462,407.43989999999997,407.43989999999997,317.2462
E02000184,2315.029217587301,1436.1136465140507,1685.58842,1877.40714,4192.436357587301,3121.702066514051
E02000185,250.5938395612,371.45466686406,2602.81799,1856.94003,2107.5338695612,2974.27265686406
E02000186,10075.824826152051,7058.933758407301,5285.46475,5504.8627400000005,15580.687566152052,12344.398508407301
E02000187,36328.01859835022,31536.144770401534,3046.5183,3847.46221,40175.48080835022,34582.66307040153
E02000188,20915.438993048712,18815.253040286025,2682.31623,2848.94099,23764.37998304871,21497.569270286025
E02000189,0.0,0.0,2294.13779,2990.9387,2990.9387,2294.13779
E02000191,20615.563674700374,8012.824837603057,3069.63153,3928.9778800000004,24544.541554700372,11082.456367603058
E02000192,0.0,0.0,439.41805999999997,464.55385,464.55385,439.41805999999997
E02000193,27299.85405545,9213.666822734001,8869.956040000001,12036.92393,39336.77798545,18083.622862734002
E02000194,0.0,0.0,1785.42345,1170.64881,1170.64881,1785.42345
E02000195,0.0,0.0,1360.29922,786.2390800000001,786.2390800000001,1360.29922
E02000196,0.0,0.0,594.16595,478.81534,478.81534,594.16595
E02000197,0.0,0.0,941.17214,867.93685,867.93685,941.17214
E02000198,0.0,0.0,971.18556,560.9608,560.9608,971.18556
E02000199,0.0,0.0,383.17871,157.08536,157.08536,383.17871
E02000200,0.0,0.0,1557.12665,1122.31551,1122.31551,1557.12665
E02000201,810.2745504251973,3832.2189397947222,781.04352,807.67727,1617.9518204251972,4613.262459794722
E02000202,0.0,0.0,648.6305600000001,276.26743,276.26743,648.6305600000001
E02000203,0.0,0.0,2361.63773,2098.07451,2098.07451,2361.63773
