MSOA11CD,od_origin_total,od_destination_total
E02000410,847,945
E02000411,2554,2248
E02000412,5410,3334
E02000413,581,665
E02000414,670,1129
E02000415,1704,1401
E02000416,677,923
E02000417,1214,1221
E02000418,402,425
E02000419,972,820
E02000420,2448,2059
E02000421,2850,1962
E02000422,515,606
E02000423,697,909
E02000424,603,688
E02000425,434,497
E02000426,711,620
E02000427,840,760
E02000428,636,812
E02000429,259,377
E02000430,1117,1221
E02000431,242,252
E02000432,312,336
E02000433,1394,1423
E02000434,1056,901
E02000435,282,443
E02000436,214,385
E02000437,943,1052
E02000438,837,948
E02000439,962,1304
E02000440,1406,2007
E02000441,552,731
E02000442,830,1151
E02000443,798,1089
E02000444,1189,1721
E02000445,2248,2196
E02000447,448,900
E02000448,1115,923
E02000449,968,1297
E02000451,827,838
E02000452,1648,1315
E02000453,807,1021
E02000454,298,555
E02000455,6525,4101
E02000456,292,223
E02000457,808,665
E02000459,1173,1253
E02000460,805,990
E02000461,1049,1302
E02000462,1827,1558
E02000463,880,1089
E02000464,479,649
E02000465,1005,1450
E02000466,350,578
E02000467,1201,1735
E02000468,987,1056
E02000469,736,936
E02000470,1892,1533
E02000471,204,524
E02000472,582,1004
E02000473,679,1070
E02000474,595,981
E02000475,1019,981
E02000476,9769,6454
E02000477,475,849
E02000478,108,79
E02000479,839,952
E02000480,2450,2683
E02000481,266,376
E02000482,724,646
E02000483,1622,1727
E02000484,701,857
E02000485,779,962
E02000486,812,647
E02000487,160,201
E02000488,248,457
E02000489,1000,961
E02000490,528,762
E02000491,1321,1590
E02000492,433,737
E02000493,1573,1405
E02000494,396,534
E02000495,1853,1658
E02000496,620,793
E02000497,608,901
E02000498,468,651
E02000499,726,688
E02000500,1508,1485
E02000501,470,382
E02000502,668,593
E02000503,437,700
E02000504,496,695
E02000506,523,647
E02000507,402,461
E02000508,3542,2555
E02000509,2233,1479
E02000510,1513,1435
E02000511,1076,1369
E02000512,507,1043
E02000513,1075,1553
E02000514,1800,2076
E02000515,1893,1722
E02000516,691,840
E02000517,446,858
E02000518,728,751
E02000519,2523,2319
E02000520,5127,4907
E02000521,1463,1921
E02000522,1089,1112
E02000523,2835,2723
E02000524,27128,26390
E02000525,3263,3559
E02000526,1379,1338
E02000528,2384,2739
E02000529,854,1833
E02000530,2348,3142
E02000531,2876,2754
E02000532,1267,1503
E02000533,414,485
E02000534,1209,1304
E02000535,1265,1642
E02000536,1119,1567
E02000537,1259,1259
E02000538,2602,2933
E02000539,2089,2352
E02000540,3786,3176
E02000541,2543,2792
E02000542,3900,3498
E02000543,6937,4965
E02000544,527,909
E02000545,1642,1712
E02000546,954,1192
E02000547,3192,3469
E02000548,1365,1576
E02000549,3926,4288
E02000550,3110,3182
E02000551,1606,1960
