stoparea_unit_code,lsoa,unit_easting,unit_northing,activity,dist_m,nearest_rail_nlc,nearest_rail_cluster,dist_centre_m
AREA::490G00002314,E01000223,523100.0,187100.0,35.20645,1137.642446381705,529,4,9655.325836034743
AREA::490G00002316,E01002578,521050.0,177340.0,87.54266,1455.171737665398,734,4,9484.721239973265
AREA::490G00002317,E01004170,528870.0,164100.0,546.03109,3859.068030302135,5411,0,16322.55669311643
AREA::490G00002319,E01035710,529230.0,182550.0,783.74413,243.61592847007452,575,2,2313.2178885699464
AREA::490G00002320,E01000281,526380.0,194070.0,1115.544,271.92664632018847,730,0,14168.289840344176
AREA::490G00002321,E01002956,520842.0,171830.0,16.63338,4121.026322134778,767,0,12554.380311269848
AREA::490G00002323,E01004076,530127.0,166882.0,68.69706,2185.811991572011,5411,0,13499.320353262234
AREA::490G00002324,E01002817,525182.0,179282.0,166.18184,449.6390386897104,605,2,4974.907536829202
AREA::490G00002325,E01002344,553675.0,180999.0,14.87909,4851.264154013191,571,0,23649.076197602306
AREA::490G00002330,E01000863,529025.0,183830.0,1578.69857,131.18098761830547,535,3,3593.561186344265
AREA::490G00002331,E01002112,518170.0,192780.0,207.6549,641.7144530560516,714,4,17160.702112675925
AREA::490G00002336,E01002593,510510.0,173300.0,436.79765,2251.040655747468,779,3,20768.41681496209
AREA::490G00002345,E01002560,509430.0,173890.0,100.15823,1452.2479619233727,781,1,21602.266015397552
AREA::490G00002364,E01000904,528560.0,184260.0,598.9843999999999,380.6510958960716,540,1,4149.616488303467
AREA::490G00002365,E01002136,514230.0,187270.0,626.26316,759.9640527226519,759,0,17240.206988316586
AREA::490G00002372,E01033081,518125.0,177605.0,165.65376999999998,1381.9056494269228,621,0,12228.264676559795
AREA::490G00002373,E01000162,527650.0,192080.0,154.01471,1755.640006494464,509,4,11939.432859227443
AREA::490G00002374,E01000730,547000.0,168380.0,508.51118,10685.44408165716,5131,4,20781.461859070452
AREA::490G00002375,E01001808,533630.0,187850.0,983.9051,264.45793616376875,6968,2,8289.58243821726
AREA::490G00002379,E01002698,531100.0,184520.0,90.04885,357.9413359756037,1439,2,4274.070308265881
AREA::490G00002403,E01003241,538181.0,171778.0,1255.07152,2822.377642264722,5437,0,11848.426815404651
AREA::490G00002406,E01034150,532435.0,165505.0,2034.44462,653.8069764846502,5411,0,15068.516084870467
AREA::490G00002407,E01001322,513620.0,184180.0,0.38742000000000004,532.5830891466776,657,4,16847.901857501427
AREA::490G00002408,E01004141,526390.0,164890.0,6.0774799999999995,3781.587913344715,647,4,15913.824713122864
AREA::490G00002409,E01000352,547330.0,174190.0,4.646379999999999,4869.713395627658,5131,4,18370.63137183913
AREA::490G00002410,E01004107,528060.0,163340.0,4.82468,4951.151993475862,5411,0,17154.951384367138
AREA::490G00002411,E01004085,529790.0,163150.0,0.9654299999999998,3791.4932496972747,5411,0,17232.72749741027
AREA::490G00002412,E01003801,522700.0,177820.0,38.17364,911.6067780894944,682,4,7768.286619326041
AREA::490G00002413,E01001226,517590.0,181710.0,7.458889999999999,874.0386931870123,560,4,12514.766358186636
AREA::490G00002414,E01003677,541680.0,189270.0,27.55499,924.9913913072477,684,4,14650.721381556608
AREA::490G00002415,E01003675,541830.0,188460.0,4.293959999999999,102.09810963427942,684,4,14297.407352383858
AREA::490G00002416,E01003676,542235.0,188575.0,20.59977,455.5217744423282,684,4,14697.143838174818
AREA::490G00002417,E01032574,533310.0,192150.0,21.60124,668.6232122802797,6972,0,12216.44535042825
AREA::490G00002418,E01003771,546250.0,187810.0,44.04696,512.5329257716035,6878,0,17836.723269703994
AREA::490G00002419,E01003771,546330.0,187880.0,146.79093,570.2017186926045,6878,0,17938.634758531654
AREA::490G00002420,E01000035,550230.0,185270.0,166.7649,248.11896541736397,555,0,20779.334373362395
AREA::490G00002421,E01003677,541745.0,189365.0,1.7618399999999994,1010.9677408269274,684,4,14760.073746428234
AREA::490G00002422,E01003798,521640.0,176700.0,22.597469999999998,2100.332312068459,713,4,9165.642203359239
AREA::490G00002423,E01002037,534580.0,191480.0,209.8009,903.359286220051,6956,0,11993.911663840117
AREA::490G00002425,E01002189,512100.0,189630.0,306.28727,217.20615923349123,675,0,20178.512259331706
AREA::490G00002428,E01004529,527960.0,170720.0,724.4683,894.450260162012,727,4,9881.11314579486
AREA::490G00002430,E01001518,533856.0,195984.0,90.89625,608.4622009623934,6913,0,16064.28625865463
AREA::490G00002436,E01003619,538980.0,184380.0,4845.95273,414.84274128879247,749,3,9799.128379606014
AREA::490G00002439,E01000278,524910.0,192360.0,28.811,840.0151950456298,771,0,13028.883950668991
AREA::490G00002440,E01000288,525230.0,195922.0,359.8485,326.6135319885354,602,4,16266.563773581684
AREA::490G00002441,E01000193,519550.0,191860.0,4058.65514,80.46883729772834,568,4,15546.11517389473
AREA::490G00002443,E01004730,528130.0,183670.0,165.24065,724.240602844152,540,1,3800.3601145154653
AREA::490G00002444,E01001225,517795.0,180986.0,5296.23505,201.57028001818193,560,4,12253.94409975825
AREA::490G00002445,E01004247,538030.0,181030.0,1825.3601800000001,51.478150704935004,850,3,8022.294995822579
AREA::490G00002446,E01032739,532700.0,180890.0,634.14734,89.09464582946985,536,1,2714.154932939533
AREA::490G00002447,E01033699,533520.0,184870.0,3631.60085,132.34141453075074,1443,3,5683.600707298147
AREA::490G00002448,E01001614,544390.0,174570.0,77.77503999999999,4332.78283682797,573,3,15487.493567391723
AREA::490G00002449,E01001614,544580.0,174510.0,383.61906,4425.040916320551,573,3,15686.132633635354
AREA::490G00002452,E01002433,510120.0,188080.0,12.69243,818.600972921467,693,0,21350.456599332952
AREA::490G00002466,E01001454,531970.0,195400.0,1.8604099999999995,1530.7093943658933,6959,0,15143.264410291462
AREA::490G00002473,E01003019,530082.0,174630.0,902.16512,913.654619452796,547,3,5751.200309500618
AREA::490G00002475,E01003798,521770.0,177070.0,31.24333,1721.1679078808213,713,4,8902.607314714043
AREA::490G00002485,E01000279,523270.0,194080.0,0.6737399999999998,2740.3432033368035,602,4,15277.902244745514
AREA::490G00002487,E01001620,541830.0,174900.0,113.3864,3863.973573638604,940,3,13007.189435077818
AREA::490G00002500,E01002082,533020.0,190540.0,1531.67158,870.5591593912501,6958,4,10588.74293766734
AREA::490G000028,E01002248,550572.0,187800.0,26.471809999999998,1054.8323326481798,6886,4,21836.918395231503
AREA::490G00003002,E01000186,519621.0,192836.0,239.21722,898.3036420810449,568,4,16234.456997386762
AREA::490G00003003,E01001741,532949.0,186400.0,1177.10518,875.4347491389635,6934,2,6687.71904314169
AREA::490G00003004,E01001760,534889.0,185193.0,127.89436,256.95451932199984,6977,2,6835.668877293575
AREA::490G00003023,E01000260,522260.0,190746.0,582.80623,1225.3920549507916,551,4,12956.40000154364
AREA::490G00003025,E01033579,538259.0,183479.0,1403.55266,357.91200035762984,859,1,8789.097166376077
AREA::490G00003026,E01001577,546748.0,179407.0,75.67217,696.1692003784777,5131,4,16742.35562876383
AREA::490G00003027,E01000935,525813.0,183885.0,145.62652,461.85928593024954,1415,2,5485.87796072789
AREA::490G00003028,E01001247,520105.0,182587.0,374.18714,959.3156174630269,653,4,10171.109919767852
AREA::490G00003029,E01033938,519443.0,183600.0,83.1189,641.8446244315326,717,4,11069.383090308149
AREA::490G00003030,E01004651,526486.0,183078.0,417.59423,400.0398871538546,696,4,4456.693056516233
AREA::490G00003031,E01033938,519749.0,183100.0,69.00614999999999,1055.9374399659146,671,4,10638.335678103036
AREA::490G00003032,E01000070,545207.0,185283.0,7.221639999999999,1210.8032371292154,738,0,15945.204075207066
AREA::490G00003033,E01034479,544339.0,183816.0,47.03412,566.5252915696192,514,4,14711.636550703664
AREA::490G00003034,E01004028,534071.0,179517.0,1014.60873,401.5881479412472,787,4,4128.421611221412
AREA::490G00003035,E01003976,533416.0,179488.0,912.94607,1010.9695301841381,525,2,3497.9098044403604
AREA::490G00003037,E01002349,553630.0,183478.0,87.53563,2488.543715030595,571,0,23798.374419274944
AREA::490G00003038,E01001576,546697.0,179757.0,33.872049999999994,956.2561837127921,5131,4,16674.67975704481
AREA::490G00003040,E01001576,546439.0,179300.0,36.462579999999996,943.4575889897212,5131,4,16440.5774229496
AREA::490G00003041,E01001064,536731.0,163356.0,425.25484,5324.82235032306,5411,0,18294.81986792983
AREA::490G00003042,E01002049,532426.0,188996.0,611.31122,1002.1801235306955,7401,2,8940.910971483834
AREA::490G00003043,E01000180,526887.0,189410.0,43.677,404.0466529823575,565,4,9561.717941876344
AREA::490G00003044,E01001730,535544.0,185034.0,134.51523,312.75069943966554,6979,4,7211.831182161713
AREA::490G00003045,E01035493,525415.0,174699.0,1909.66783,1047.3260506032914,567,4,7322.587315969678
AREA::490G00003046,E01000778,536374.0,167830.0,216.26209,2324.775281852267,5376,0,14061.408215395782
AREA::490G00003048,E01004118,524140.0,164725.0,618.09948,4168.243883862275,647,4,16728.70503057544
AREA::490G00003049,E01002361,553495.0,187215.0,320.83211,821.7274487322424,7473,0,24436.08145754961
AREA::490G00003050,E01002366,553064.0,186149.0,80.92872,678.1413944183325,571,0,23741.329448874592
AREA::490G00003051,E01002109,517359.0,191043.0,86.43287,853.8871182837137,537,4,16563.02716896884
AREA::490G00003052,E01000257,524265.0,191281.0,91.84575,277.1184240947917,643,0,12332.532627161381
AREA::490G00003053,E01002738,531966.0,185219.0,405.98445,467.07708143303284,1441,4,5209.497864477919
AREA::490G00003054,E01000512,521979.0,185263.0,120.32809999999999,242.10368052677148,558,4,9418.967512418758
AREA::490G00003057,E01003146,529674.0,170366.0,1265.555,2485.806586664466,727,4,10021.468205806972
AREA::490G00003058,E01001089,530333.0,169433.0,131.06671,3528.004677477942,727,4,10952.082222116487
AREA::490G00003059,E01004733,530201.0,179334.0,147.51221999999999,334.2688537413837,761,2,1060.2348796375263
AREA::490G00003060,E01002573,521585.0,179001.0,321.74308,346.805520888643,713,4,8560.957948734476
AREA::490G00003061,E01000627,521210.0,186240.0,508.47882,852.4279774721663,649,4,10592.018551720914
AREA::490G00003062,E01002512,505709.0,185058.0,4.9326799999999995,898.1080317961242,740,4,24770.54609813841
AREA::490G00003063,E01001199,520155.0,180803.0,227.43271,453.61272028019675,3000,4,9888.009152503855
AREA::490G00003064,E01003828,513266.0,170908.0,41.45433,5072.344889921289,611,4,19258.856482148673
