iteration,K,sample_unique_n,model_seed,adjusted_rand_index,converged,n_iter,convergence_warnings
117,6,248,433952220,0.42015046007344753,True,21,0
118,5,243,996676595,0.5049629551241078,True,16,0
118,6,243,996676596,0.3378653513886715,True,16,0
119,5,254,1737905082,0.2777623652432358,True,5,0
119,6,254,1737905083,0.6253262548114741,True,7,0
120,5,262,546393723,0.3793290108602343,True,34,0
120,6,262,546393724,0.6043263596404452,True,15,0
121,5,251,494545179,0.31324047012887873,True,12,0
121,6,251,494545180,0.474900143106171,True,14,0
122,5,262,1379643433,0.41682876105956007,True,10,0
122,6,262,1379643434,0.3715410135372797,True,27,0
123,5,261,1000915117,0.5919014117444891,True,13,0
123,6,261,1000915118,0.4534448764678113,True,11,0
124,5,263,762615134,0.408123825966646,True,22,0
124,6,263,762615135,0.3033137998133591,True,13,0
125,5,266,2071706430,0.38346586831631846,True,23,0
125,6,266,2071706431,0.2262448915546453,True,11,0
126,5,249,90010112,0.5858411274595969,True,20,0
126,6,249,90010113,0.2793552157294475,True,21,0
127,5,252,557370662,0.3223673639136932,True,11,0
127,6,252,557370663,0.33215979803175033,True,20,0
128,5,262,34580457,0.5663336106538622,True,18,0
128,6,262,34580458,0.6119392891153939,True,18,0
129,5,249,453157469,0.6994147061649935,True,24,0
129,6,249,453157470,0.5893686847806869,True,18,0
130,5,253,1110117948,0.3616335562179407,True,17,0
130,6,253,1110117949,0.3026919747500819,True,22,0
131,5,245,1079743390,0.30841235682649965,True,41,0
131,6,245,1079743391,0.29088731983500776,True,30,0
132,5,248,1402603246,0.48003197618032434,True,7,0
132,6,248,1402603247,0.616158055046791,True,28,0
133,5,261,1480761121,0.8069076899869334,True,17,0
133,6,261,1480761122,0.6233335975967651,True,19,0
134,5,244,1760202551,0.28523940930939956,True,19,0
134,6,244,1760202552,0.5844128526340936,True,9,0
135,5,258,169266453,0.4214189313158119,True,4,0
135,6,258,169266454,0.34726737282594483,True,23,0
136,5,263,70941898,0.7177061180385196,True,19,0
136,6,263,70941899,0.5570303771589699,True,9,0
137,5,237,1522522151,0.29796160574675645,True,35,0
137,6,237,1522522152,0.4763547424472214,True,20,0
138,5,260,1405686013,0.36885563200233046,True,17,0
138,6,260,1405686014,0.19606924333814899,True,28,0
139,5,250,192180198,0.6334478959493187,True,13,0
139,6,250,192180199,0.570992607188615,True,10,0
140,5,267,2140169116,0.38787955976163124,True,30,0
140,6,267,2140169117,0.3643880054518959,True,22,0
141,5,256,1661623334,0.2517108622612811,True,27,0
141,6,256,1661623335,0.6045757288668767,True,9,0
142,5,250,461723225,0.3612934338481698,True,19,0
142,6,250,461723226,0.5128266507755519,True,19,0
143,5,261,1431536395,0.6189220320532915,True,36,0
143,6,261,1431536396,0.6522927428143295,True,13,0
144,5,244,149406300,0.4219852894914523,True,7,0
144,6,244,149406301,0.4535029767702089,True,18,0
145,5,259,1078293585,0.45678866124863177,True,11,0
145,6,259,1078293586,0.48806676566574664,True,20,0
146,5,257,226698656,0.3534502509363194,True,21,0
146,6,257,226698657,0.5487021646388487,True,30,0
147,5,248,7263106,0.3391692466568357,True,22,0
147,6,248,7263107,0.28178080281104173,True,25,0
148,5,264,648654481,0.8324414254338113,True,18,0
148,6,264,648654482,0.5044179664311265,True,21,0
149,5,251,873587248,0.2774720017171493,True,10,0
149,6,251,873587249,0.6456181601115689,True,19,0
150,5,263,403208229,0.49238720981682005,True,24,0
150,6,263,403208230,0.2872104843873703,True,40,0
151,5,250,441996749,0.7250776457486695,True,16,0
151,6,250,441996750,0.35907271595941426,True,27,0
152,5,251,749429202,0.3413196266284939,True,7,0
152,6,251,749429203,0.4650372661602153,True,16,0
153,5,250,4679797,0.7084178135201479,True,14,0
153,6,250,4679798,0.5415470999119976,True,14,0
154,5,255,105741033,0.3082231611166554,True,15,0
154,6,255,105741034,0.26334012061065176,True,15,0
155,5,262,1929881497,0.5316925301454271,True,16,0
155,6,262,1929881498,0.567888568994882,True,12,0
156,5,262,569958109,0.31567050487264164,True,19,0
156,6,262,569958110,0.6411158756260026,True,12,0
157,5,250,469445725,0.3258964353860362,True,30,0
157,6,250,469445726,0.35674040376029537,True,25,0
158,5,254,615404593,0.3272648346373232,True,8,0
158,6,254,615404594,0.4947073885959039,True,16,0
159,5,253,2054238765,0.33192697871279414,True,10,0
159,6,253,2054238766,0.68051994791069,True,16,0
160,5,261,1000043463,0.4496656187752734,True,16,0
160,6,261,1000043464,0.5335422487195829,True,26,0
161,5,253,1860570242,0.420161146754736,True,38,0
161,6,253,1860570243,0.5115212724239951,True,30,0
162,5,257,1230040152,0.44919060563877294,True,22,0
162,6,257,1230040153,0.3522951332786494,True,11,0
163,5,263,1501975970,0.4965900569107822,True,21,0
163,6,263,1501975971,0.38715380280188916,True,23,0
164,5,269,720312089,0.32998656726835907,True,20,0
164,6,269,720312090,0.4154763640415636,True,22,0
165,5,261,1800199376,0.5520889307353433,True,18,0
165,6,261,1800199377,0.33422864127176544,True,30,0
166,5,255,1160092634,0.518771674326153,True,20,0
166,6,255,1160092635,0.3329211099045956,True,33,0
167,5,260,866028986,0.3113337427477298,True,27,0
167,6,260,866028987,0.4825787620811695,True,12,0
168,5,256,158440087,0.6697582766039402,True,27,0
168,6,256,158440088,0.45578990664479674,True,10,0
169,5,265,237610756,0.34756773369398,True,22,0
169,6,265,237610757,0.2730802285677359,True,18,0
170,5,246,277442604,0.8238928581755188,True,19,0
170,6,246,277442605,0.6748801433194066,True,11,0
171,5,265,1082551664,0.6121457472311124,True,11,0
171,6,265,1082551665,0.6423246226431529,True,20,0
172,5,241,1200753298,0.42043595871791123,True,29,0
172,6,241,1200753299,0.24408128901957957,True,13,0
173,5,268,1557741938,0.4588063919121009,True,19,0
173,6,268,1557741939,0.3876861701294074,True,16,0
174,5,258,1473975304,0.5997617340752371,True,12,0
174,6,258,1473975305,0.21766628708637878,True,19,0
175,5,255,628165243,0.577349538673692,True,23,0
175,6,255,628165244,0.33235530522927326,True,17,0
176,5,255,1803754562,0.33401144054802,True,8,0
176,6,255,1803754563,0.28850913938611733,True,28,0
177,5,251,1967954512,0.6886833175349554,True,12,0
177,6,251,1967954513,0.2994333704736046,True,11,0
178,5,254,2116351447,0.38782241068732587,True,5,0
178,6,254,2116351448,0.6122882592752164,True,21,0
179,5,256,1975635405,0.7149320613578167,True,21,0
179,6,256,1975635406,0.2986291677677323,True,17,0
180,5,251,780366248,0.6228483920073394,True,22,0
180,6,251,780366249,0.401668111256606,True,11,0
181,5,263,738396925,0.3443291493109158,True,30,0
181,6,263,738396926,0.27698922341629567,True,26,0
182,5,248,1421965828,0.5221510984647769,True,21,0
182,6,248,1421965829,0.40565124278334586,True,17,0
183,5,258,333701368,0.30236016491815515,True,14,0
183,6,258,333701369,0.26393172833758194,True,12,0
184,5,253,1764335135,0.3174461220826727,True,22,0
184,6,253,1764335136,0.39324941705746175,True,18,0
185,5,257,1257941819,0.3556118958450376,True,32,0
185,6,257,1257941820,0.27096808498198827,True,24,0
186,5,260,956812612,0.41828413630523614,True,25,0
186,6,260,956812613,0.886764527901278,True,31,0
187,5,262,593714173,0.38130982466696484,True,33,0
187,6,262,593714174,0.4088836222848048,True,16,0
188,5,257,2095727386,0.45368338625634486,True,23,0
188,6,257,2095727387,0.5648292870032519,True,15,0
189,5,255,461352250,0.3481108882009137,True,11,0
189,6,255,461352251,0.27455016860701675,True,26,0
190,5,243,999350903,0.42737053349800225,True,13,0
190,6,243,999350904,0.5293390759997346,True,28,0
191,5,256,7156585,0.4841438846297727,True,19,0
191,6,256,7156586,0.6140004344926623,True,24,0
192,5,256,480327556,0.3259407246715419,True,28,0
192,6,256,480327557,0.5595470593016882,True,12,0
193,5,250,1107067281,0.31274362367214187,True,27,0
193,6,250,1107067282,0.5327881356007378,True,22,0
194,5,250,741632001,0.3818374275575726,True,22,0
194,6,250,741632002,0.4399521496100057,True,30,0
195,5,250,955210115,0.38749091880477815,True,17,0
195,6,250,955210116,0.5430474850285414,True,6,0
196,5,250,282651844,0.44428926044700906,True,27,0
196,6,250,282651845,0.26385225283462516,True,29,0
197,5,258,1002899738,0.6185163450364156,True,16,0
197,6,258,1002899739,0.5253829710013493,True,7,0
198,5,263,1888829644,0.35075852875581903,True,26,0
198,6,263,1888829645,0.2866239577155685,True,44,0
199,5,260,977669803,0.5467710205911188,True,18,0
199,6,260,977669804,0.30125268024631013,True,28,0
200,5,259,1531809331,0.4170576531832731,True,17,0
200,6,259,1531809332,0.3240400359361753,True,18,0
