unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
6913,2,3,Bush Hill Park,LO,-0.06931,51.641495000000006,3,True
6914,2,3,Chingford,LO,0.0101,51.63349,3,True
6919,2,3,Highams Park,LO,-0.0005366666666666,51.6082,3,True
692,2,1,Ruislip Gardens,LU,-0.4107169346271762,51.56077549009729,3,False
6926,3,1,Clapton,LO,-0.05721,51.56145,1,True
693,3,1,Ruislip Manor,LU,-0.411812431756392,51.5734761421505,1,True
6934,0,6,Stoke Newington,LO,-0.07311,51.56532,2,False
694,0,2,Russell Square,LU,-0.1242697810208252,51.52305918332612,2,True
6941,2,6,Edmonton Green,LO,-0.06087,51.62492,3,False
6947,0,6,Southbury,LO,-0.05263,51.64887,2,False
6949,2,6,Theobalds Grove,LO,,,3,False
695,0,0,St. James's Park,LU,-0.1336270216533475,51.49956127784573,2,False
6952,2,6,Turkey Street,LO,-0.04707,51.6726,3,False
6954,3,1,Wood Street,LO,-0.00261,51.58645,1,True
6956,2,6,White Hart Lane,LO,-0.071,51.60533,3,False
6958,3,1,Bruce Grove,LO,-0.06995,51.59415,1,True
6959,2,6,Enfield Town,LO,-0.08008,51.652515,3,False
696,3,1,St. John's Wood,LU,-0.1741475741935914,51.53520496988703,1,True
6962,0,2,Cambridge Heath,LO,-0.05723,51.53238,2,True
6966,0,2,London Fields,LO,-0.057985,51.541025000000005,2,True
6967,3,1,Rectory Road,LO,-0.06857,51.55857,1,True
6968,0,6,Stamford Hill,LO,-0.07673,51.57444,2,False
697,5,0,St. Paul's,LU,-0.097517753107933,51.51495287569836,0,True
6970,3,1,Maryland,EZL,0.00566,51.54627,1,True
6972,2,6,Silver Street,LO,-0.06719,51.61474,3,False
6973,3,1,St James Street,LO,-0.03316,51.58106,1,True
6977,0,2,Hackney Central,LO,-0.0562175,51.547205,2,True
6978,5,2,Hackney Wick,LO,-0.025245,51.543365,0,False
6979,3,1,Homerton,LO,-0.04235,51.54697,1,True
698,3,1,Seven Sisters,"LO,LU",-0.0725100279127818,51.58339794718637,1,True
