lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster,LSOA21CD,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,MEU,HDU,OUT,n_lsoa11_sources,signature_dominant_code,signature_dominant_type,distance_centre_km,signature_dominant_collapsed
E01033704,True,3669.63719,retained,1,E01033704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,6.0339820595670925,LOU
E01033705,True,516.56507,retained,1,E01033705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8345728181106001,0.16542718188939978,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,8.118320241786622,DUN
E01033706,True,4262.89729,retained,1,E01033706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946952601946126,0.05304739805387395,0.0,0.0,1,REU,Regional urbanity,4.044066476660513,REU
E01033708,True,7212.26337,retained,1,E01033708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11787933763012293,0.37824487370053395,0.5038757886693431,0.0,0.0,1,MEU,Metropolitan urbanity,3.636983202602062,MEU
E01033709,True,552.70044,retained,2,E01033709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013008934393063097,0.0,0.9986991065606936,0.0,0.0,0.0,1,REU,Regional urbanity,3.7370670641053345,REU
E01033711,True,288.91046,retained,2,E01033711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9877641559787934,0.012235844021206558,0.0,0.0,1,REU,Regional urbanity,3.5709262855837056,REU
E01033712,True,249.69853,retained,3,E01033712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,5.649103728788963,LOU
E01033713,True,1569.0266,retained,1,E01033713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,6.9328228481659995,LOU
E01033727,True,368.99388,retained,1,E01033727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005190578235498328,0.9838706701141506,0.0,0.015610272062299544,0.0,0.0,0.0,1,LOU,Local urbanity,7.731099172029412,LOU
E01033729,True,89.364,retained,0,E01033729,0.0,0.04400200651953255,0.09458977089069022,0.0,0.8376260011363295,0.0,0.0,0.0,0.017150526314931972,0.006631695138515832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land,15.73769142119298,WAL
E01033732,True,1212.29934,retained,1,E01033732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9213858472904288,0.07861415270957116,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,9.829921263245877,DUN
E01033735,True,1246.95412,retained,1,E01033735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905274925742101,0.30947250742578986,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,13.362539998656297,DUN
E01033737,True,1661.40932,retained,1,E01033737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6572844018466479,0.3427155981533521,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,13.263162580692804,DUN
E01033738,True,1008.93807,retained,1,E01033738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985323559874279,0.014676440125721,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,10.3757088246277,DUN
