NLC,Station,mode_label,total_entry,total_exit,total_activity
683,Rayners Lane,LU,23634.730568418672,22905.902025800002,46540.632594218674
684,Redbridge,LU,14812.963609135051,13960.022626433083,28772.986235568133
685,Regent's Park,LU,14412.002167135877,16694.788323020002,31106.79049015588
686,Richmond,"LO,LU",110187.64662035707,108516.26461514184,218703.9112354989
6867,Hackney Downs,LO,18384.4014116081,19374.285451696007,37758.68686330411
687,Rickmansworth,LU,12700.52346328742,12256.141007205753,24956.664470493175
6872,Brentwood,EZL,25848.349545277,27494.75564387519,53343.10518915219
6874,Chadwell Heath,EZL,33521.42297105137,31119.87704613184,64641.30001718321
6876,Forest Gate,EZL,41828.174449766775,39468.978379561544,81297.15282932832
6877,Gidea Park,EZL,23237.438319715646,24123.677459602703,47361.11577931835
6878,Goodmayes,EZL,31603.290078334605,30170.29608294351,61773.586161278115
6879,Harold Wood,EZL,25976.879856691387,27181.1325659077,53158.01242259909
688,Roding Valley,LU,1090.7479704417442,1239.5903499980154,2330.3383204397596
6881,Ilford,EZL,77232.78914244422,76766.709764679,153999.49890712323
6883,Manor Park,EZL,30050.51301719279,27846.43212285109,57896.94514004388
6886,Romford,"EZL,LO",98460.1882464278,104474.13617450725,202934.32442093507
6888,Shenfield,EZL,26112.982723572833,40740.944467771005,66853.92719134384
6893,Seven Kings,EZL,29323.36132017557,26194.76028682207,55518.121606997636
690,Royal Oak,LU,16060.924441252142,15085.5057574586,31146.430198710743
691,Ruislip,LU,10142.406409052785,10320.805758276001,20463.212167328784
6913,Bush Hill Park,LO,15346.872745777815,14426.392309120149,29773.265054897965
6914,Chingford,LO,16712.564473000002,17644.36041465,34356.924887650006
6919,Highams Park,LO,18713.404467364857,17826.7458970564,36540.15036442126
692,Ruislip Gardens,LU,6011.857248376991,5517.91228237255,11529.769530749541
6926,Clapton,LO,15974.696397283245,14962.7773721766,30937.473769459844
693,Ruislip Manor,LU,9591.519266214897,9545.861438284901,19137.380704499796
6934,Stoke Newington,LO,15002.875981496985,13978.678486641129,28981.554468138114
694,Russell Square,LU,60234.19537634881,63724.595802179756,123958.79117852857
