NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit
559,9824.232505355316,9.192709101124667,-0.18950723873192402,0.1823491004700108,0.07393150356809512,0.012673360968841089,0.008085617346032477,0.12264632118237141,0.8703522738327626,medium,3,West Silvertown,DLR,3981.234665302508,5842.997840052801
560,68851.42765281697,11.139720763561572,-0.38075545262842864,0.13857965935157476,0.03311943349900782,0.06515649999223132,0.03267514725570393,0.04922100201931225,0.8774221917368156,high,4,Ealing Broadway,"EZL,LU",21317.93557637756,47533.49207643941
561,7314.526526185191,8.897754289836548,-0.36777028204506096,0.13867776731602335,0.04576381964246468,0.02031329258454131,0.012482917074325656,0.07004372621461734,0.7290628677429541,low,4,Ealing Common,LU,2312.2305213119907,5002.296004873201
562,70999.69496298899,11.170444944186661,-0.2213915787620436,0.14423110403540643,0.03757169481392508,0.03849664079502818,0.01910730572149593,0.06118392008856955,0.9655753231799572,high,4,Earl's Court,LU,27640.480201754675,43359.2147612343
563,13792.352531971352,9.531942054508514,-0.34787365755811844,0.14937129437314986,0.04299969097946342,0.06429876175700344,0.030505759887629772,0.06537105632787743,0.7685827330679543,medium,4,East Acton,LU,4497.178205171753,9295.174326799606
564,7595.216539242861,8.935405578535189,-0.5465546614462896,0.12360264681151907,0.04155149415144806,0.01573917802601891,0.008537958198984369,0.06008491408286936,0.6356936924107709,low,0,Eastcote,LU,1722.00776751286,5873.208771730005
565,21695.417960667295,9.984902454965853,-0.5042248225305302,0.13978437065353586,0.037855902385984005,0.04351808662084258,0.02054324048613939,0.056895092546951166,0.6929426474529822,high,4,East Finchley,LU,5378.024844862076,16317.393115805224
566,44681.423740800004,10.707335498372538,-0.4581168584990462,0.14091493797299637,0.052405189109091165,0.019847090670138373,0.012990760735002653,0.08151289918103767,0.8003262284197267,high,4,East Ham,LU,12106.05513170001,32575.3686091
567,24259.95488002399,10.096623541988244,-0.43249274496805806,0.12231297904296196,0.03599487992968876,0.008549151028904411,0.0045330075685678295,0.05317528418073921,0.714233645577542,high,4,East Putney,LU,6883.850200580589,17376.1046794434
568,14952.37921875894,9.612692587976433,-0.5227425460906827,0.1474238894619141,0.041580229693593394,0.06738059999500652,0.03144104282461873,0.06180511968885183,0.8250841582347538,medium,4,Edgware,LU,3568.067217915739,11384.312000843192
569,22092.72298075362,10.003048819142048,0.04858624213184466,0.11630062749993365,0.032822080063765774,0.006481566157347634,0.003999813303932067,0.049816707919563157,0.8277353829939386,high,2,Edgware Road (DIS),LU,11583.062684424143,10509.660296329484
570,64606.22233348395,11.076081484349372,-0.13155843552216928,0.13390401575490898,0.03835276413754502,0.0030975625574837847,0.0019340270591517406,0.06222434413804185,0.9931446578696926,high,4,Elephant & Castle LU,LU,28053.36439914668,36552.85793433728
571,8844.349167079594,9.087647082024963,-0.6317355461540118,0.12647961735778723,0.04163678069401736,0.029562678065946483,0.02165764111436157,0.05931134795804089,0.63038618736029,medium,0,Elm Park,LU,1628.5297078188937,7215.819459260701
572,11854.9473443423,9.380584906259331,-0.6302460766899523,0.15331043009361683,0.05663684935356729,0.03180757010099506,0.017972308994664742,0.08333819123613925,0.9391900071243686,medium,0,Epping,LU,2191.7066456022994,9663.240698740006
573,28539.50551276572,10.259079603304437,-0.35210933706197606,0.22574248186381246,0.1177254931201994,0.03136401951716158,0.021755597228540948,0.19111022975153946,0.7908215013225653,high,3,Woolwich Arsenal,DLR,9245.239573294588,19294.265939471134
574,183434.26864818644,12.119617124832097,0.07036342567584798,0.08392537373345405,0.018474983233804716,0.012514060451316618,0.005926472612271771,0.026763521242381103,0.9856185278950369,high,2,Euston LU,"LO,LU",98170.66608830822,85263.60255987811
575,37237.47099775648,10.525097672485705,0.2622955198361637,0.08770293724492322,0.024304471418338483,0.0029042798058477952,0.001789546798470683,0.03475141202813226,0.6562920564647743,high,2,Euston Square,LU,23502.34640524852,13735.124592507938
576,3517.633965584507,8.165828115311458,-0.6201800857325918,0.14021839016336118,0.04197275861236997,0.06386290528953685,0.030388010874648423,0.06008958206057011,0.5745858607614912,low,0,Fairlop,LU,668.0337156162159,2849.600249968291
577,128582.01011248941,11.764329967846992,0.3176304424818936,0.09318585454689174,0.023104992401904872,0.001801536535265554,0.0012085523691229487,0.03346445012183271,0.49402329804696765,high,2,Farringdon,"EZL,LU",84711.78543986542,43870.22467262405
578,20716.957511849112,9.93875611583156,-0.4582883990672759,0.13954210137937476,0.03776074498714158,0.04960365862582184,0.02431819404881864,0.056907668733629825,0.7201578231756958,high,4,Finchley Central,LU,5611.3081100995,15105.64940174961
579,29612.932551995455,10.296000223894499,-0.06355186204869828,0.12763116797010196,0.03275113864929374,0.043635088376007276,0.02025003676266155,0.049210279922849674,0.756020867030536,high,4,Finchley Road,LU,13865.48777379681,15747.444778198636
580,96987.9198523131,11.482352022634299,-0.2655456696631437,0.15767406528778632,0.040771008160653516,0.06344936118415706,0.03277222697110592,0.06396120653686166,0.8949720311845001,high,4,Finsbury Park LU,LU,35616.598862947634,61371.32098936546
581,24260.60167008916,10.096650201344683,-0.05323771568882431,0.10591706312210822,0.03107754060051022,0.005516402596023904,0.003421398057548572,0.044574266602359795,0.6883546442576913,high,4,Fulham Broadway,LU,11484.511327968568,12776.090342120591
