NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2,area_share
505,E01000632,4,201907.5515179343,1805377.1462870128,0.11183677157605701
505,E01001308,5,8973.38957153555,1805377.1462870128,0.004970368429660509
505,E01001341,3,39781.071744479515,1805377.1462870128,0.02203477086563012
505,E01001342,4,101970.31622353767,1805377.1462870128,0.05648144845150641
505,E01001345,5,102331.49182549778,1805377.1462870128,0.05668150393725515
507,E01002694,2,36874.21329048786,1744083.0416587521,0.021142464211691293
507,E01002695,1,116357.10253750382,1744083.0416587521,0.06671534540398924
507,E01002696,1,160201.16066859348,1744083.0416587521,0.0918540899957552
507,E01002697,2,40719.282864603665,1744083.0416587521,0.023347100964800742
507,E01002700,4,13167.531370554047,1744083.0416587521,0.007549830516115075
507,E01002702,1,49202.53788884917,1744083.0416587521,0.02821112109550352
507,E01002703,1,40271.224723111445,1744083.0416587521,0.02309019912538713
507,E01002707,2,121934.75755351016,1744083.0416587521,0.06991338981057987
507,E01002723,1,82919.35214718946,1744083.0416587521,0.047543236283248885
507,E01002725,1,23398.316366479256,1744083.0416587521,0.013415827003412477
507,E01002726,1,85393.6694106965,1744083.0416587521,0.048961928630118896
507,E01002727,1,142004.86772720038,1744083.0416587521,0.08142093256760483
507,E01002728,2,62474.8849839344,1744083.0416587521,0.035821049509498215
507,E01002729,2,80798.69933828454,1744083.0416587521,0.046327323532392696
507,E01002793,1,473.8950865934878,1744083.0416587521,0.0002717158961323186
507,E01002794,2,143416.1291029368,1744083.0416587521,0.08223010354285507
507,E01002799,2,13399.67919189516,1744083.0416587521,0.0076829364610707255
507,E01002800,2,60647.59825168367,1744083.0416587521,0.03477334324287868
507,E01002801,2,106494.05261349656,1744083.0416587521,0.061060196143076326
507,E01002802,1,110745.90906993637,1744083.0416587521,0.06349807114953014
507,E01033489,1,617.1084900439099,1744083.0416587521,0.0003538297634366045
507,E01035646,1,11177.478365220613,1744083.0416587521,0.006408799408192172
507,E01035647,1,36227.48226533944,1744083.0416587521,0.02077164985841753
507,E01035649,1,27275.24323780988,1744083.0416587521,0.015638729685639913
507,E01035655,1,132826.33356359927,1744083.0416587521,0.07615826218760294
507,E01035656,1,45064.531549198764,1744083.0416587521,0.025838524011069484
508,E01000907,2,63111.48600432528,1065454.8432195575,0.059234313313192136
508,E01000908,2,125730.04059287807,1065454.8432195575,0.11800597781596359
508,E01000911,3,730.4329336228052,1065454.8432195575,0.0006855597290407974
508,E01000913,5,78831.182606349,1065454.8432195575,0.07398829064227579
508,E01002006,2,10209.803466576835,1065454.8432195575,0.00958257736735719
508,E01002009,2,33726.49467040499,1065454.8432195575,0.031654550997667195
508,E01002753,4,3.245408116418736,1065454.8432195575,3.046030657303002e-06
508,E01002754,2,134827.6138270084,1065454.8432195575,0.12654465337976278
508,E01002757,2,12093.041312268891,1065454.8432195575,0.011350120926501703
508,E01002759,1,58514.90713072293,1065454.8432195575,0.05492011933035514
508,E01002760,2,1241.6175943826634,1065454.8432195575,0.0011653404199006528
508,E01002769,2,40528.73590130065,1065454.8432195575,0.03803890531750009
508,E01002770,2,287283.50955918967,1065454.8432195575,0.2696346179168753
508,E01002771,3,91865.81315800735,1065454.8432195575,0.08622215548845802
508,E01002772,2,30130.5473387277,1065454.8432195575,0.028279516049389924
508,E01002773,3,38913.83526921328,1065454.8432195575,0.036523214021557865
508,E01002774,2,57712.53644646263,1065454.8432195575,0.054167041253544566
509,E01000122,5,12580.800699778985,1866175.687405239,0.006741487837767051
509,E01000123,6,101553.75103300829,1866175.687405239,0.054418108497710775
509,E01000124,5,119426.30594018138,1866175.687405239,0.06399521049716045
509,E01000160,4,38581.12711009824,1866175.687405239,0.02067389869586291
509,E01001390,4,11402.468470127495,1866175.687405239,0.006110072351216659
509,E01001392,5,104076.38207685323,1866175.687405239,0.0557698735329484
509,E01001527,4,4890.372404214288,1866175.687405239,0.0026205316236939838
509,E01001528,5,204930.58521221176,1866175.687405239,0.10981312563189084
509,E01001529,5,186510.5541748264,1866175.687405239,0.09994265568541068
509,E01001530,5,184794.78214108833,1866175.687405239,0.09902325026966244
509,E01001533,6,216889.59050369082,1866175.687405239,0.11622142114886172
509,E01001534,5,369981.53470742813,1866175.687405239,0.19825653994124018
509,E01001535,5,262129.51930466125,1866175.687405239,0.14046347354847946
509,E01001973,4,48427.91362707054,1866175.687405239,0.025950350738094492
510,E01001720,3,8558.402595582333,1076994.451276804,0.007946561456687293
510,E01002730,3,113047.77560374272,1076994.451276804,0.10496597774456658
510,E01002732,2,124694.97269114193,1076994.451276804,0.11578051543655855
510,E01002733,2,2040.1309491015447,1076994.451276804,0.0018942817641102218
510,E01002737,3,3020.4061840833033,1076994.451276804,0.0028044770151810306
510,E01002741,2,8055.691764218337,1076994.451276804,0.007479789477715611
510,E01002742,2,62383.33581826605,1076994.451276804,0.057923544308245076
510,E01002743,2,12378.587942055237,1076994.451276804,0.011493641334344953
510,E01002744,1,13360.585702565391,1076994.451276804,0.012405435967405478
510,E01002745,2,63153.49169766115,1076994.451276804,0.05863864165947289
510,E01002747,3,64186.91328225612,1076994.451276804,0.05959818382180235
510,E01002748,2,71755.47046738325,1076994.451276804,0.06662566402483813
510,E01002749,2,76891.4698185126,1076994.451276804,0.07139449021984823
510,E01002751,2,47270.94256060509,1076994.451276804,0.04389153769971999
510,E01002752,3,89577.63093708189,1076994.451276804,0.0831737162906321
510,E01033493,2,30382.828119207006,1076994.451276804,0.02821075640936441
510,E01033494,2,134948.81300831394,1076994.451276804,0.12530130758643065
510,E01035651,3,65193.46474279669,1076994.451276804,0.060532776808188936
510,E01035652,2,9045.159728679397,1076994.451276804,0.008398520269028435
510,E01035653,2,77048.37766355014,1076994.451276804,0.07154018070585912
511,E01004657,1,5259.788501370012,826930.1649370403,0.006360619946389881
511,E01004659,1,4784.6043564715865,826930.1649370403,0.005785983580410167
511,E01004660,1,34327.254555843654,826930.1649370403,0.04151167294575258
511,E01004662,1,47471.5716294591,826930.1649370403,0.057406989903522776
511,E01004712,1,120057.87728243505,826930.1649370403,0.14518502574105016
511,E01004714,1,24628.513455015913,826930.1649370403,0.02978306330969441
511,E01004716,1,5869.0652103761295,826930.1649370403,0.007097413372050565
