NLC,Station,Fare Zone,easting,northing,lon,lat
641,Marylebone LU,1,527458.7894,181957.287599999,-0.16424026631880048,51.52215890700219
642,Mile End,2,536500.7831,182534.4935,-0.033768063294587126,51.52523491887216
643,Mill Hill East,4,524045.7492,191450.480699999,-0.21006141993144073,51.608233232687525
645,Moorgate,1,532667.8252,181668.244999999,-0.08931153515551986,51.51836305552553
646,Moor Park,6/7,508606.4789,193502.849199999,-0.43228696397287464,51.62986629669337
647,Morden,4,525669.7872,168602.371300001,-0.19475485350439264,51.40253820130652
648,Mornington Crescent,2,529191.6489,183397.127499999,-0.13874979864115178,51.534704942339104
649,Neasden,3,521342.3348,185397.9068,-0.2511708953836603,51.554426400499004
650,Newbury Park,4,544920.2921,188384.718599999,0.08992082990646201,51.57570573751538
653,North Acton,2/3,520828.4021,181956.9398,-0.2597600781194744,51.523611766196794
654,North Ealing,3,518828.0459,181227.755999999,-0.2888251159580139,51.517482284384876
655,Northfields,3,517196.8059,179206.2903,-0.31299492833767906,51.49965470504596
656,North Harrow,5,513541.1687,188613.229499999,-0.3626047009909967,51.58494710527484
657,Northolt,5,513213.3316,184523.897600001,-0.36865042407239057,51.548259260589994
659,North Wembley,4,517667.5472,186197.873500001,-0.3038826458342014,51.562393713680144
660,Northwick Park,4,516643.3006,187963.523499999,-0.31806633884631424,51.57847500401296
661,Northwood,6,509229.7103,191418.7435,-0.4239354593141582,51.611014101617926
662,Northwood Hills,6,510307.602,190238.042400001,-0.4087463545441836,51.60019223372048
663,Notting Hill Gate,1/2,525284.9146,180456.3574,-0.19608997336265582,51.509156012573975
664,Oakwood,5,529390.306,195935.214400001,-0.13126893872170828,51.64733362819432
665,Old Street,1,532764.4507,182418.811100001,-0.08763720259182553,51.52508527631206
667,Osterley,4,514520.2731,177096.8334,-0.3522207467968353,51.4812434687809
668,Oval,2,531170.2991,177564.9022,-0.1124062491167189,51.48183745351276
669,Oxford Circus,1,529046.6139,181236.3369,-0.14163045969608393,51.515319726422334
670,Paddington TfL,1,526659.2098,181314.446900001,-0.17598969226411743,51.51656148278404
671,Park Royal,3,519141.6075,182236.241800001,-0.28396753015599946,51.526479964901434
672,Parsons Green,2,524984.5495,176646.7489,-0.20176352486363486,51.47498535708651
673,Perivale,4,516378.3501,183314.9891,-0.32342516922982106,51.5367509216631
674,Piccadilly Circus,1,529612.6446,180665.529899999,-0.1336873864316472,51.51006061519836
675,Pinner,5,512236.1384,189460.7521,-0.38116191894249885,51.592825567877355
676,Plaistow,3,540003.2462,183297.1438,0.01698872064506072,51.53123134107084
677,Preston Road,4,518249.3308,187281.8291,-0.295129262413792,51.572014075601594
678,Putney Bridge,2,524519.2741,175886.505999999,-0.2087270375114135,51.46825546825846
679,Queensbury,4,518808.7824,189763.2019,-0.2862217775472735,51.59419745209295
680,Queen's Park,2,524547.4749,183200.2402,-0.2057416029735368,51.533978210095334
681,Queensway,1,525903.0798,180593.604,-0.18713829824007047,51.51025217607452
682,Ravenscourt Park,2,522571.1867,178722.460000001,-0.23577535697187463,51.494167735828476
683,Rayners Lane,5,512952.7879,187515.078199999,-0.3714462140203309,51.575195361923186
684,Redbridge,4,541834.4862,188358.000499999,0.04541027413893245,51.576249813818855
685,Regent's Park,1,528699.2958,182113.1305,-0.14631312455288237,51.52327838474291
686,Richmond,4,518077.1529,175161.4717,-0.3016691259076597,51.463118722979786
687,Rickmansworth,7,505715.6061,194601.2017,-0.47370581066277867,51.64028836634988
688,Roding Valley,4,541589.7031,192894.9639,0.04370965024464847,51.61707861416649
690,Royal Oak,2,525833.8943,181570.6391,-0.18778627332991857,51.519048130119494
691,Ruislip,6,509473.5706,187004.4778,-0.4217906669062553,51.57129177940531
692,Ruislip Gardens,5,510266.398,185851.599300001,-0.4107169346271762,51.56077549009729
693,Ruislip Manor,6,510159.7912,187262.366699999,-0.411812431756392,51.573476142150504
694,Russell Square,1,530229.0927,182127.7234,-0.1242697810208252,51.52305918332612
695,St. James's Park,1,529646.6061,179498.074100001,-0.1336270216533475,51.49956127784573
696,St. John's Wood,2,526735.2854,183390.8717,-0.17414757419359148,51.535204969887026
697,St. Paul's,1,532108.3512,181274.1885,-0.09751775310793301,51.514952875698356
698,Seven Sisters,3,533642.8986,188930.9134,-0.0725100279127818,51.58339794718637
700,Shepherd's Bush LU,2,523719.5706,179883.5582,-0.2188348749838903,51.50435277171325
702,Sloane Square,1,528090.7172,178654.7576,-0.1563353394945677,51.49233693461083
703,Snaresbrook,4,540156.7713,188804.041300001,0.021393426338283436,51.58067707711797
704,South Ealing,3,517574.6349,179353.532600001,-0.30750525770727977,51.50089966685759
705,Southfields,3,524726.397,173312.818499999,-0.2066534771013345,51.44507985784133
706,Southgate,4,529675.8503,194264.9911,-0.1277625393853033,51.63225854371172
707,South Harrow,5,514320.5446,186361.227299999,-0.3520927569079474,51.564549549948175
708,South Kensington,1,526917.564,178820.259,-0.17316504691138462,51.49408858708188
709,South Kenton,4,517336.1598,187060.2129,-0.3083734923397721,51.570212909100526
710,South Ruislip,5,511097.3834,185434.104699999,-0.39886613068870685,51.55686021118094
711,South Wimbledon,3/4,525736.3947,169989.4476,-0.19330652029319118,51.41498929257676
712,South Woodford,4,540535.7362,190062.669600001,0.027362518469825348,51.591892453017074
713,Stamford Brook,2,521859.3453,178788.8474,-0.24600122518353934,51.4949181050598
714,Stanmore,5,517562.6021,192572.9608,-0.3032624771028668,51.61971092780402
715,Stepney Green,2,535621.3116,182135.557,-0.04659090323887023,51.52186169216427
716,Stockwell,2,530460.3355,176432.887399999,-0.12304218836550214,51.47182845729258
717,Stonebridge Park,3,519615.5138,184218.2261,-0.27646679490996795,51.54419264973252
718,Charing Cross LU,1,530057.6992,180378.381899999,-0.1273836832203838,51.50737795073341
719,Stratford,2/3,538530.0487,184394.6448,-0.0038044932283004124,51.541456474970374
720,Sudbury Hill,4,515411.8716,185542.0623,-0.3366239412564384,51.55696518658866
721,Sudbury Town,4,516874.9001,184890.216,-0.3157464873310852,51.550805806993615
723,Swiss Cottage,2,526663.6914,184334.9639,-0.17483983477545229,51.54370542648981
724,Temple,1,530958.661,180802.829600001,-0.1142517165435635,51.51098440371512
725,Theydon Bois,6,545541.5127,199100.828500001,0.10332766399974981,51.671832474283256
