lsoa,boardings_Weekday,boardings_Saturday,boardings_Sunday,alightings_Weekday,alightings_Saturday,alightings_Sunday
E01004348,306.01946,291.03603999999996,256.53812999999997,390.4416099999999,400.08949,291.41398
E01004349,33.25181,27.129069999999995,19.01723,53.45924,42.610119999999995,19.90577
E01004350,102.84625,96.40834,72.19273,141.95221000000004,130.1902,58.73186
E01004352,373.8577,414.49060000000003,197.10942,257.81363999999996,324.26903000000004,157.22125000000003
E01004353,20.088079999999998,12.405499999999998,16.51887,36.34719,31.10501,16.84092
E01004354,494.20607,445.08176000000003,302.28068,597.28,547.68033,356.5355799999999
E01004356,72.23732000000001,65.67042999999998,59.11419000000001,157.99155,115.13885,80.49241
E01004357,30.99054,24.567359999999994,22.488220000000002,17.31153,13.64823,5.458849999999998
E01004358,64.42012,67.45349999999999,55.92357999999999,132.55057,135.12318999999997,87.45309999999998
E01004359,53.50505999999999,51.489070000000005,34.73106,93.15872999999999,89.50249000000001,50.81860999999999
E01004361,42.34657,34.94986,35.77985,120.97599999999998,73.73277,62.59645
E01004362,132.13608,125.76307000000001,119.55301,256.4934800000001,221.25362,164.48565000000002
E01004363,712.01873,437.24143000000004,409.2053599999999,601.48292,457.1840000000001,411.74734
E01004364,867.6918599999999,756.4410499999999,641.1393500000001,872.66829,744.1648299999999,555.6669499999999
E01004365,840.5623100000001,828.2198099999999,606.93672,1480.2070600000004,1301.4907499999997,942.7488999999999
E01004366,84.16830999999999,57.734309999999994,46.67276999999999,66.94861,49.071479999999994,28.11623
E01004369,161.94947,177.22180000000003,156.51928,251.89628999999996,222.55642,155.77348
E01004370,81.31615,68.97328,55.06326,78.81409,68.71970000000002,42.95155999999999
E01004371,52.09168,60.41295,36.93913,72.41069999999999,57.10329,38.180139999999994
E01004374,76.59833,69.28358999999999,47.213629999999995,100.72600999999999,86.86783,63.57429
E01004376,185.99724000000003,159.35188000000005,137.52585999999997,243.23907000000005,230.55792999999997,180.51821000000004
E01004377,67.82189,64.08042,51.12060999999999,105.65128999999997,95.7155,62.72156999999999
E01004378,85.52213999999998,71.67711999999999,69.04558,171.93377999999998,158.00566999999998,106.42992
E01004379,133.32963999999998,84.19635000000001,48.43958999999999,41.26268999999999,29.86752,20.099359999999994
E01004381,425.75559,357.59348,189.43462,365.79127,377.36024999999995,190.39159999999998
E01004383,22.59486,20.161230000000003,22.75766,26.873440000000002,30.03808,16.957250000000002
E01004384,64.21456,53.2578,52.082800000000006,121.24387000000002,98.17805,60.74324
E01004385,26.389490000000002,25.982170000000004,17.511589999999998,44.87205000000001,40.9802,27.507899999999996
E01004386,18.21528,16.868560000000002,10.69501,35.67840999999999,35.475370000000005,19.16476
E01004389,34.26298,27.66028,28.771969999999996,61.99907,49.915749999999996,21.965949999999996
E01004390,75.01696000000001,54.15847,62.675529999999995,103.84619,83.95128,53.242279999999994
E01004391,2079.41408,1724.9805200000003,1424.19987,1099.7902199999999,1202.9359000000002,868.6764699999999
E01004392,91.10246000000001,83.01203,39.63435,65.02962000000001,53.30033999999999,40.8559
E01004393,106.68719999999999,118.48470999999999,90.86819,82.94692,86.77260000000001,61.872520000000016
E01004394,164.64423,176.47904999999997,118.32583,162.86127,149.79932,105.51249999999999
E01004396,79.07916,82.56664999999998,64.88603,78.80000999999999,89.23448,58.22500000000001
E01004397,4387.81006,4170.22134,3256.42575,4133.61677,4167.54858,3348.95543
E01004398,228.98989999999998,208.61607999999995,180.02929999999998,429.6255400000001,339.77380999999997,254.43453999999997
E01004399,12.16089,23.34039,10.50577,73.57641000000001,57.01173,43.974540000000005
E01004400,83.93244999999999,75.06106000000001,71.88584,208.4328,178.74201,134.10000999999997
E01004401,178.64692,227.69604,161.18119,224.12562999999997,247.91169000000002,157.89326
E01004403,389.21183,360.37312000000003,288.45659,943.0276500000001,791.08439,516.63207
E01004404,80.59302,83.24114,65.04103,151.35833999999997,131.64526999999998,81.5992
E01004405,151.53989,129.98145,123.85674,204.45664,182.85869999999997,155.57513999999998
