threshold,stage,k,cluster,n_units,pct_of_core
150.0,scan,6,0,86,3.5434693036670786
150.0,scan,6,1,129,5.315203955500618
150.0,scan,6,2,188,7.746188710341986
150.0,scan,6,3,804,33.127317676143385
150.0,scan,6,4,732,30.160692212608158
150.0,scan,6,5,488,20.107128141738773
150.0,scan,7,0,268,11.042439225381129
150.0,scan,7,1,851,35.06386485372888
150.0,scan,7,2,163,6.716110424392254
150.0,scan,7,3,201,8.281829419035846
150.0,scan,7,4,158,6.5100947672023075
150.0,scan,7,5,686,28.26534816646065
150.0,scan,7,6,100,4.120313143798929
150.0,scan,8,0,759,31.27317676143387
150.0,scan,8,1,366,15.080346106304079
150.0,scan,8,2,397,16.357643180881748
150.0,scan,8,3,183,7.5401730531520395
150.0,scan,8,4,118,4.861969509682736
150.0,scan,8,5,392,16.1516275236918
150.0,scan,8,6,115,4.738360115368768
150.0,scan,8,7,97,3.996703749484961
150.0,scan,9,0,217,8.941079522043676
150.0,scan,9,1,190,7.828594973217965
150.0,scan,9,2,460,18.953440461475072
150.0,scan,9,3,293,12.072517511330862
150.0,scan,9,4,783,32.26205191594561
150.0,scan,9,5,81,3.3374536464771323
150.0,scan,9,6,152,6.262875978574372
150.0,scan,9,7,101,4.161516275236918
150.0,scan,9,8,150,6.180469715698393
150.0,scan,10,0,229,9.435517099299547
150.0,scan,10,1,124,5.109188298310672
150.0,scan,10,2,87,3.584672435105068
150.0,scan,10,3,177,7.292954264524104
150.0,scan,10,4,198,8.15822002472188
150.0,scan,10,5,105,4.326328800988875
150.0,scan,10,6,149,6.139266584260404
150.0,scan,10,7,756,31.1495673671199
150.0,scan,10,8,316,13.020189534404615
150.0,scan,10,9,286,11.784095591264936
