threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
110.0,scan,7,2697,75.06262176454217,896,24.937378235457835,5,42,True,48,3.522007499999745,309.23490558737274,-1518663.642753367,-1630207.0637326469,95,873,3.522432332220986,0.4934389061190019,1391.0838260032451,2.064670055432491e-297,0.5149010505588272,0.15137137275263154,0.14282692521178258,0.4577460938486275,0.37135419262823555,0.45567754859036524,0.4282592783557428,1.1521966506213468,False
110.0,scan,8,2697,75.06262176454217,896,24.937378235457835,5,42,True,58,3.9275572999995347,309.7977238821654,-1500359.4403978537,-1627838.4786449338,95,827,3.522432332220986,0.5058225767144564,1422.8978270826992,4.285212971256719e-303,0.5265518137161396,0.17019254887022484,0.18434861673937059,0.44675155023832697,0.3702491908658177,0.44464945924896343,0.42055006678436935,1.2027642287209748,False
110.0,scan,9,2697,75.06262176454217,896,24.937378235457835,5,42,True,76,6.075517500001297,310.80397586210336,-1484456.1529131276,-1627870.808428008,44,763,1.6314423433444567,0.5092252873900467,1390.4445391789177,6.5902181830355095e-295,0.5143022839207283,0.17146974397730497,0.1969870995529296,0.4583504578113181,0.41291303439699517,0.47197416364273986,0.4477458852836844,1.1373086925576321,False
110.0,scan,10,2697,75.06262176454217,896,24.937378235457835,5,42,True,52,5.581322899999577,311.0129911216604,-1464237.4618677853,-1623587.7346504664,41,756,1.5202076381164256,0.4917078852407789,1352.9417677105575,1.1347627966958102e-285,0.5001644092707694,0.1837083739990424,0.25107525298989974,0.491342724736167,0.45480922015430947,0.4963168605956859,0.48082293516205415,1.022638167364159,False
125.0,scan,2,2582,71.86195379905372,1011,28.138046200946285,5,42,True,48,1.4597837000001164,303.44080352900755,-1524535.7530479424,-1556165.7350531095,443,2139,17.15724244771495,0.023124654577629165,87.19080884649247,9.854066811311353e-21,0.03340729025057848,0.024815398134119197,0.027394133911120503,0.06609846625748608,0.048848954527969106,0.07703763224557215,0.06399501767700912,0.3613508585049886,True
125.0,scan,3,2582,71.86195379905372,1011,28.138046200946285,5,42,True,58,1.4683891999993648,306.50880369967706,-1519161.6859946714,-1566609.5871622076,258,1175,9.992254066615027,0.4638598631601013,1358.7771833896313,8.81624313991673e-296,0.5260865387319238,0.07410433742219064,0.08000043611013279,0.13663167488035144,0.0657407527924253,0.15115146564163046,0.11784129777146907,3.9363098670185206,False
125.0,scan,4,2582,71.86195379905372,1011,28.138046200946285,5,42,True,32,2.4250028999995266,307.9221483790511,-1505239.3174520293,-1568505.1377819348,153,1098,5.925639039504261,0.4646887196227009,1350.4383657329727,1.6731446533279524e-292,0.5226681015255906,0.052003384329660216,0.09875140511177437,0.4190749647547057,0.3096228268926085,0.4022198332338058,0.37697254162703997,1.2326858545640267,False
125.0,scan,5,2582,71.86195379905372,1011,28.138046200946285,5,42,True,26,2.0829539000005752,308.8233582814629,-1488669.5576130345,-1567753.297105309,167,846,6.467854376452363,0.4888907513050881,1334.4067115576363,1.1539126390611148e-287,0.516261820550111,0.12450070769513334,0.11215876544115161,0.40538019588125124,0.340444485604157,0.37376132222390585,0.3731953345697714,1.3100130307595972,False
125.0,scan,6,2582,71.86195379905372,1011,28.138046200946285,5,42,True,36,3.280663800000184,309.64446412767774,-1471699.4895128878,-1566601.1481675315,129,847,4.996127033307514,0.49075689752244633,1296.4547340162317,3.74447472795691e-278,0.5013411234535061,0.16632320474118076,0.12190429064598315,0.3860555832398242,0.31935496147057996,0.36192278063226097,0.3557777751142217,1.3793916648247346,False
125.0,scan,7,2582,71.86195379905372,1011,28.138046200946285,5,42,True,29,4.591796200000317,310.2680088071161,-1453691.6173767792,-1564411.1951937922,126,841,4.8799380325329205,0.4804804445999989,1274.318217289605,3.9277518042864736e-272,0.4925507639959631,0.16427410806055678,0.18643533126349868,0.43004950743243936,0.35303147054653605,0.43188600964661483,0.4049889958751967,1.1864037035417772,False
125.0,scan,8,2582,71.86195379905372,1011,28.138046200946285,5,42,True,73,6.370292400000835,310.9763170727213,-1436133.1671936067,-1562670.6641729889,106,724,4.105344694035631,0.4872167512442861,1290.9884004159085,1.4800216651327796e-274,0.49882999239157283,0.18120128537038002,0.17157941106755578,0.41650664785535385,0.34856742341914193,0.41452136300636927,0.3931984780936217,1.239111487934799,False
