NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason,imd_score,imd_covered_area_m2,total_catchment_area_m2,imd_coverage_ratio,total_activity_metric,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,distance_to_centre_km
529,0,1.0,1.2405358143176472e-32,2072.6776554105745,4565.648293407941,6638.325948818516,Brent Cross,3,523873.7006,187934.037,-0.2137847584215133,51.57666898367216,2934695.314564091,True,0.0,0.0,0.0507570168783714,0.336161373400542,0.5468332616718606,0.0662483480492259,0.0,2934695.314564064,0.9999999999999908,True,5.0,0.5281119197185968,,29.301992125461826,2934695.3183859843,2934695.314564091,1.0000000013023134,6638.325948818513,8.80076572358546,-0.3755420654571897,0.0365804772213832,0.0521097665895089,0.0545438971717354,0.7344192556304447,low,9.811724244443978
530,0,1.0,8.325990864656843e-39,4817.629362765983,10950.721664779998,15768.35102754598,Bromley-by-Bow,2/3,538049.5634,182523.513599999,-0.0114614594625467,51.52476012571751,2202013.056827492,True,0.0,0.2638056731275088,0.3714625481834872,0.3647317786890041,0.0,0.0,0.0,2202013.056827527,1.000000000000016,True,3.0,0.5587412476844288,,33.48124163020071,2202013.0596376387,2202013.0568274916,1.0000000012761718,15768.35102754598,9.665823526766992,-0.3889495034262001,0.0449217757142807,0.0129589553906149,0.0719256276079653,0.8624137336975358,medium,8.200919614287164
532,4,0.9999999999820376,4.6019864244267724e-10,2360.681658068569,8697.543736676203,11058.225394744772,Burnt Oak,4,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,2722252.5424372465,True,0.0,0.0493414893063219,0.0763612185445532,0.5390966941127061,0.2747710261413371,0.0604295718950816,0.0,2722252.5424372526,1.0000000000000022,True,4.0,0.6179694340587313,,27.28192963652546,2722252.5460016727,2722252.5424372465,1.0000000013093664,11058.22539474477,9.311020235982124,-0.5730451182175321,0.0400215580075503,0.0530685901595862,0.0580050158154733,0.6955221696539434,low,14.281803423265792
534,0,1.0,2.972065968581708e-18,6348.565699511074,10670.71058399232,17019.276283503394,Caledonian Road,2,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,1770681.3972588624,True,0.0170860127932696,0.9452104133776906,0.0241653560178202,0.0135382178112194,0.0,0.0,0.0,1770681.397258837,0.9999999999999856,True,2.0,0.1392665417187981,,27.195115292891344,1770681.399544974,1770681.3972588624,1.0000000012910915,17019.27628350339,9.742160634868902,-0.2539558564350154,0.0392486695975309,0.0632732031593431,0.0625644888144811,0.7897634269784524,medium,4.610350369363863
535,1,0.9999953868181816,6.12934564604247e-05,52802.52488370019,35056.314223999645,87858.83910769984,Camden Town,2,528910.2525,183893.5725,-0.1426229702612466,51.53923059833878,1217028.0458383276,True,0.3338767026090866,0.4074977995799609,0.1656191800850457,0.0001207877130894,0.0,0.0928855300128172,0.0,1217028.045838327,0.9999999999999994,True,2.0,0.6432422727444886,,26.063521100788154,1217028.047407883,1217028.0458383276,1.0000000012896624,87858.83910769982,11.383498086293171,0.2019854899055374,0.0383046184667978,0.0944151391049392,0.06158843753649,1.4045596788438537,high,3.7215289601872916
536,3,1.0,8.024710009354142e-102,8000.085283715004,5875.420527657001,13875.505811372004,Cannon Street LU,1,532611.4757,180900.064999999,-0.0904119205678546,51.511473069259,244434.7825794189,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201900.4864329226,0.8259891833001444,True,1.0,-0.0,,9.682,201900.30392446328,244434.78257941894,0.8259884366451168,13875.505811372,9.53795245967174,0.1531234093330623,0.0227447852133994,0.0008173009856948,0.0312200345392108,0.3488564116147304,medium,2.531678213816721
537,0,0.9999999999972716,7.569726802629095e-11,1876.4533428766963,6755.427528807998,8631.880871684694,Canons Park,5,518186.8967,191252.07,-0.2946941062058866,51.60770907048488,2877649.4810494906,True,0.0,0.0,0.0,0.2112637616944146,0.665293902102141,0.1234413161844552,1.0200189891877844e-06,2877649.481049476,0.9999999999999948,True,5.0,0.4408310269409983,,16.47901360654173,2877649.4848286393,2877649.4810494906,1.0000000013132762,8631.880871684698,9.063333548960966,-0.5652272382414223,0.0434173531443122,0.0633608764288101,0.0639794085781108,0.7305764873183377,low,16.154161336503094
540,1,1.0,2.4202412345527493e-111,11684.83340538332,11665.841083698991,23350.67448908231,Chalk Farm,2,528202.4569,184390.607000001,-0.1526421476691667,51.54385835909765,1447241.8119543237,True,0.141972950833802,0.5024790853994708,0.0196722602361321,0.1194331580275957,0.1276076083728659,0.0888349371301333,0.0,1447241.811954355,1.0000000000000218,True,2.0,0.7358091895059213,,23.287866666585263,1447241.813825275,1447241.8119543237,1.0000000012927703,23350.67448908232,10.05842397312035,0.0008133521664738,0.0334515025629622,0.0358982695406826,0.0560993262544855,0.8612796254755544,medium,4.452398170605897
541,3,1.0,2.7369938907680665e-160,17998.838891407606,5917.571720214,23916.410611621606,Chancery Lane,1,531123.9465,181615.465500001,-0.1115693026029435,51.51824890350831,546686.6347354882,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,546686.6347355053,1.0000000000000313,True,1.0,-0.0,,21.57959878207417,546686.6354400158,546686.6347354882,1.000000001288723,23916.410611621603,10.082361950182388,0.5051454989371608,0.0221002733202519,0.0776603996207679,0.0300877047971816,0.3303282857380648,medium,1.583932134137988
542,1,1.0,2.298093907870957e-48,56223.77277068601,26849.939994103675,83073.71276478969,Embankment,1,530419.3254,180395.871400001,-0.1221695343079573,51.50745185655674,341453.8019552259,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211408.6888607576,0.6191428756985379,True,1.0,-0.0,,19.11044393726047,211408.1402777727,341453.8019552259,0.6191412690888538,83073.7127647897,11.327495635675918,0.3535875766110247,0.0286466588603782,0.0202597656114075,0.0478069411483716,1.0347540303687888,high,0.28582377092036587
