MSOA11CD,hour,od_origin,od_destination
E02000052,0,85.0,85.0
E02000052,1,30.0,30.0
E02000052,5,12.0,43.0
E02000052,18,1038.0,959.0
E02000052,19,620.0,644.0
E02000052,20,519.0,514.0
E02000052,21,352.0,406.0
E02000052,22,218.0,178.0
E02000052,23,188.0,139.0
E02000053,0,72.0,79.0
E02000053,1,37.0,21.0
E02000053,5,27.0,104.0
E02000053,18,937.0,971.0
E02000053,19,648.0,695.0
E02000053,20,565.0,556.0
E02000053,21,521.0,383.0
E02000053,22,270.0,219.0
E02000053,23,159.0,152.0
E02000054,1,0.0,10.0
E02000054,4,66.0,0.0
E02000054,5,103.0,78.0
E02000054,18,216.0,242.0
E02000054,19,164.0,298.0
E02000054,20,168.0,226.0
E02000054,21,83.0,74.0
E02000054,22,85.0,44.0
E02000054,23,0.0,23.0
E02000055,0,249.0,63.0
E02000055,1,21.0,11.0
E02000055,4,126.0,29.0
E02000055,5,127.0,141.0
E02000055,18,815.0,919.0
E02000055,19,648.0,733.0
E02000055,20,540.0,538.0
E02000055,21,351.0,333.0
E02000055,22,195.0,262.0
E02000055,23,137.0,166.0
E02000056,5,22.0,0.0
E02000056,18,146.0,182.0
E02000056,19,198.0,175.0
E02000056,20,147.0,111.0
E02000056,21,40.0,76.0
E02000056,22,40.0,57.0
E02000056,23,12.0,38.0
E02000057,0,0.0,47.0
E02000057,5,46.0,0.0
E02000057,18,240.0,205.0
E02000057,19,178.0,163.0
E02000057,20,101.0,76.0
E02000057,21,112.0,74.0
E02000057,22,33.0,25.0
E02000057,23,36.0,32.0
E02000058,0,0.0,24.0
E02000058,1,0.0,32.0
E02000058,4,26.0,0.0
E02000058,5,11.0,0.0
E02000058,18,246.0,390.0
E02000058,19,260.0,276.0
E02000058,20,199.0,202.0
E02000058,21,87.0,143.0
E02000058,22,22.0,96.0
E02000058,23,0.0,62.0
E02000059,0,33.0,17.0
E02000059,2,12.0,12.0
E02000059,3,0.0,28.0
E02000059,4,56.0,12.0
E02000059,5,189.0,88.0
E02000059,18,734.0,697.0
E02000059,19,411.0,467.0
E02000059,20,290.0,583.0
E02000059,21,172.0,298.0
E02000059,22,140.0,116.0
E02000059,23,179.0,74.0
E02000060,0,17.0,28.0
E02000060,2,11.0,11.0
E02000060,3,10.0,10.0
E02000060,4,11.0,11.0
E02000060,5,152.0,0.0
E02000060,18,302.0,278.0
E02000060,19,257.0,290.0
E02000060,20,200.0,190.0
E02000060,21,147.0,166.0
E02000060,22,86.0,109.0
E02000060,23,49.0,38.0
E02000061,0,74.0,36.0
E02000061,2,0.0,28.0
E02000061,3,0.0,29.0
E02000061,4,50.0,135.0
E02000061,5,137.0,154.0
E02000061,18,1009.0,867.0
E02000061,19,719.0,561.0
E02000061,20,547.0,309.0
E02000061,21,356.0,177.0
E02000061,22,318.0,220.0
E02000061,23,295.0,78.0
E02000062,0,55.0,47.0
E02000062,1,11.0,11.0
