MSOA11CD,od_destination_total,bus_alighting_total,std_residual
E02000411,2248,2011.25005,0.4358882994143503
E02000412,3334,5711.85232,1.3974453397079514
E02000413,665,258.26943,-0.841140682689752
E02000414,1129,344.90841,-1.1544308580983074
E02000415,1401,859.0791300000001,-0.13823772078247543
E02000416,923,522.29356,-0.2798526868651123
E02000417,1221,3591.82192,2.1131344735459106
E02000418,425,892.0384200000001,1.5587561329489
E02000419,820,2038.70738,1.8451389035777215
E02000420,2059,1656.0965,0.2768852522263996
E02000421,1962,5665.04947,2.1164821133821916
E02000422,606,626.05169,0.5604808525478987
E02000423,909,1778.46133,1.5063492726264354
E02000424,688,1178.55174,1.2970087340030338
E02000425,497,718.12287,1.0310233217114553
E02000426,620,1274.48011,1.5530705577566473
E02000427,760,342.87329,-0.6177435203012436
E02000428,812,792.69412,0.49739897093949514
E02000429,377,575.09587,1.091418141494297
E02000430,1221,1792.27577,1.1109556262737186
E02000431,252,603.8876,1.7154519590866297
E02000432,336,243.70699,0.014916741079614023
E02000433,1423,1325.40028,0.4650524572228731
E02000434,901,795.25905,0.35879054503429647
E02000435,443,368.11013,0.22744632067188209
E02000436,385,145.31585,-0.9140136625735007
E02000437,1052,1439.10713,0.999909340302644
E02000438,948,667.53023,0.03658291065757057
E02000439,1304,803.95664,-0.1348893134831707
E02000440,2007,614.64391,-1.1158599683174086
E02000441,731,340.23511,-0.5752702518757418
E02000442,1151,543.9677,-0.5254643883828012
E02000443,1089,1073.9206,0.530481773195795
E02000444,1721,942.52696,-0.2882053912128399
E02000445,2196,1642.82785,0.1764974437304755
E02000447,900,452.6841,-0.450953259304718
E02000448,923,588.51842,-0.10799481270472172
E02000449,1297,136.39252,-2.6772116217242035
E02000451,838,219.17381,-1.3953239232597956
E02000452,1315,2086.12792,1.2276033420883847
E02000453,1021,677.05584,-0.04521218105238677
E02000454,555,187.61671,-1.0510290361417176
E02000455,4101,5618.5944500000005,1.0882397893830704
E02000456,223,278.15755,0.7681358104596043
E02000457,665,541.17011,0.2227905416061635
E02000459,1253,1001.71086,0.23690121749563292
E02000460,990,910.26237,0.42358324406183473
E02000461,1302,695.3938,-0.3417107643023766
E02000462,1558,2923.71767,1.4805371598714898
E02000463,1089,224.70161,-1.7204933041155377
E02000464,649,369.72477,-0.29188481495152296
E02000465,1450,778.77656,-0.32697334864487604
E02000466,578,772.56604,0.9284458105371113
E02000467,1735,1149.91714,-0.012821180128381056
E02000468,1056,738.3056799999999,0.0330748348746867
E02000469,936,643.66713,0.0017116529363330872
E02000470,1533,694.30592,-0.56904125252559
E02000471,524,231.22118,-0.6719723022847139
E02000472,1004,449.72581,-0.6110333734814106
E02000473,1070,272.65055,-1.4184191890086448
