MSOA11CD,total_flow,linked_flow,shiftwork_linked_share,std_residual,linked_share_quartile,transport_storage_share,shiftwork_heavy
E02000357,871,0.0,0.0,-0.2710699110648256,Q1_low,0.052080451823842626,False
E02000358,1085,0.0,0.0,0.7432838073587016,Q1_low,0.02689140314304344,False
E02000359,650,12.0,0.018461538461538463,-0.9470498045271298,Q2,0.031158347481893275,False
E02000360,1360,114.0,0.0838235294117647,0.3157260059602348,Q3,0.040168152089188724,False
E02000361,4430,68.0,0.015349887133182845,0.386251747829771,Q2,0.02690727863675742,False
E02000362,1308,0.0,0.0,0.9814422918544624,Q1_low,0.04063075912948955,False
E02000363,1811,66.0,0.036443953616786304,0.4651373030744863,Q2,0.042387141875469915,False
E02000364,1207,0.0,0.0,-0.771756502691952,Q1_low,0.023857996819143107,False
E02000365,3141,28.0,0.008914358484559057,1.526204205707155,Q2,0.022470863592971037,False
E02000366,1069,0.0,0.0,-0.2770544891141566,Q1_low,0.03372011444634888,False
E02000367,2155,94.0,0.04361948955916473,0.6029520714830847,Q2,0.02218963853320066,False
E02000368,1017,0.0,0.0,-0.71298445352582,Q1_low,0.0439056444082045,False
E02000369,1014,0.0,0.0,0.6106254284310372,Q1_low,0.035199868098474044,False
E02000370,1076,0.0,0.0,0.7644955159843154,Q1_low,0.03175489454458463,False
E02000371,7236,90.0,0.012437810945273632,0.0001744667269519,Q2,0.019662449862687042,False
E02000372,3119,605.0,0.19397242705995513,1.6102249392641352,Q3,0.04734834318165295,False
E02000373,854,370.0,0.4332552693208431,-2.136765054704503,Q3,0.0689923185365746,True
E02000374,577,105.0,0.18197573656845753,-0.5669464170109956,Q3,0.04398936062906999,False
E02000375,10833,1074.0,0.09914151204652451,0.5308914182888277,Q3,0.04048232207276623,False
E02000376,1541,108.0,0.07008436080467229,0.755393219360408,Q2,0.032917841285492425,False
E02000377,907,47.0,0.05181918412348401,0.3186490820209584,Q2,0.03159596228803804,False
E02000378,924,35.0,0.03787878787878788,-1.1037832701864914,Q2,0.028140569676368802,False
E02000379,411,18.0,0.043795620437956206,0.0817237332082317,Q2,0.03289080461544071,False
E02000380,354,34.0,0.096045197740113,-0.6433705201944184,Q3,0.021521971259848196,False
E02000381,596,22.0,0.03691275167785235,0.0012471034000994,Q2,0.02480096662533128,False
E02000382,846,12.0,0.014184397163120567,0.8601513359542148,Q2,0.02128685109022212,False
E02000383,1246,27.0,0.021669341894060994,0.6403869695659256,Q2,0.02611514636828574,False
E02000384,7846,620.0,0.07902115727759368,1.1178668886850918,Q3,0.035916044032830066,False
E02000385,501,80.0,0.1596806387225549,2.570576040184267,Q3,0.02966673065587231,False
E02000386,497,31.0,0.06237424547283702,0.625000487351762,Q2,0.0550974948168543,False
E02000387,753,14.0,0.01859229747675963,0.1696111668058828,Q2,0.031911949407866375,False
