MSOA11CD,od_destination_total,rail_exit_total,std_residual
E02000717,1496,563.0076169378616,-2.1258203375931775
E02000725,3489,3444.899436245952,-0.5482560984561978
E02000726,16208,30854.59214677509,0.9176699266252993
E02000730,1753,7333.714767780001,1.017657639814441
E02000731,2653,7562.48238902,0.6960179420490824
E02000733,942,675.4199347593127,-1.4905868963788413
E02000734,800,3241.96772635,0.65669973450503
E02000746,3180,3136.392216438,-0.5874475236409796
E02000747,3938,10600.679851324,0.7838798461418917
E02000748,727,1011.643849972012,-0.7489198521291333
E02000749,1766,6762.266891343963,0.9074632565567551
E02000750,2375,5804.2586019684695,0.4540080163126487
E02000751,791,3479.325004079104,0.7569055551021363
E02000756,2254,3272.7143983367414,-0.2332198298477342
E02000757,1296,3101.6681080134804,0.18013075911852652
E02000763,757,3517.433716385542,0.809073925713668
E02000764,1281,1217.3749517530573,-1.0054599008480247
E02000765,799,3827.8240471004183,0.8702241205702801
E02000768,362,1421.178272338,0.29197090990509106
E02000772,1851,3230.1185435660004,-0.0783987257281608
E02000782,1326,7583.156837529,1.3035537529824501
E02000785,2417,1733.476407126868,-1.1066139391376377
E02000791,3808,10369.585456886482,0.7849335815462127
E02000808,5019,27137.229401161465,1.7749127053136786
E02000810,2320,4382.187799040001,0.11497710156809986
E02000813,4048,10660.91082218788,0.7671243464076275
E02000829,2285,3444.791032894,-0.1795869362913545
E02000830,1338,3557.6996081946404,0.3277789933890682
E02000831,3570,6733.0744716074405,0.2888095007257924
E02000865,675,746.0087755687621,-1.073526821877823
E02000871,1185,4016.332827780001,0.5885868898112334
E02000872,1798,1972.63233945032,-0.6836825294474328
E02000874,637,9400.047459096308,2.216471559260522
E02000875,917,4090.335896564048,0.835153768104606
E02000876,1943,7662.82232046,0.9841771206087274
E02000877,1119,6572.036390740001,1.2683094966275612
E02000881,607,1155.10633198,-0.4224630443564388
E02000884,1895,5088.0691170512,0.4822384774351928
E02000888,648,8481.430880763659,2.0700417735195225
E02000890,1512,6929.191106382366,1.0738913772850203
E02000891,2118,5479.143699355712,0.480042529185976
E02000893,1320,2300.5491570926,-0.21791970955483012
E02000896,1312,2265.1319143,-0.2324641053055037
E02000901,2257,2169.8518953148,-0.7598821140376655
E02000907,2058,1641.6038157632331,-1.0361719675525534
E02000908,2688,7272.688162994401,0.6346244653271155
E02000910,1191,523.088080936079,-2.021180865425873
E02000911,5041,10713.285104184117,0.5822548551046803
E02000917,1203,1097.4106944012,-1.083351213231479
E02000918,2952,5790.323539980914,0.261477421380317
E02000920,3250,6580.8598782300005,0.3413775367609537
E02000924,3777,4795.346457736954,-0.19436268649759555
E02000934,5319,16189.700307136744,1.063614249026213
E02000936,917,4694.004866853367,1.0112074080331683
E02000942,897,4087.68808496,0.8535213677980713
E02000949,553,7239.774992461984,2.0055066901569805
E02000951,811,5582.36068166,1.339807174385387
E02000957,3561,8586.25874744,0.6019817842058082
E02000960,460,2746.6226691340003,0.9261126935596282
E02000966,192,4016.761836416766,2.1709750542873234
E02000967,2665,5930.532385787141,0.38117742096898327
E02000968,1190,2227.111918494441,-0.16912293400621478
E02000969,1080,2110.5868679200003,-0.15338558362901414
E02000970,6036,10458.230815165472,0.3944828661504598
E02000971,2411,10211.594386538203,1.1634706654871665
E02000972,26003,33000.43033603282,0.5917536530630153
E02000973,829,1230.14893092,-0.6132537724558508
E02000974,2675,28691.309821090646,2.3943819090617264
E02000975,1762,1598.6157431424867,-0.9348431551316216
E02000976,2195,5577.483842926001,0.4716891332103029
E02000977,34562,36721.1336914005,0.48045237881793573
E02000978,5539,3337.47894154,-0.9914593084624049
E02000979,7356,10931.900182853313,0.27881577257011675
E02000982,7525,31074.14152380176,1.5953196424944305
E02000983,1122,3312.1091447,0.3896107430127994
E02006791,579,1792.233098766512,0.1801451181447738
E02006792,2585,1831.401780834832,-1.094894302326839
E02006794,1881,1006.6921361748,-1.5828853452750984
E02006796,2087,1242.48398199,-1.4044463532313989
E02006798,2939,6729.6184834411215,0.4575943934193116
