K,cluster,day_type,direction,hour_bin,mean_share
4,0,Saturday,boardings,1320,0.03580620834783639
4,0,Saturday,boardings,1380,0.02908444039710811
4,0,Saturday,boardings,1440,0.007635945813321212
4,0,Saturday,boardings,1500,0.0031152377008886074
4,0,Saturday,boardings,1560,0.0024233156039409265
4,0,Saturday,boardings,1620,0.0037637471392501717
4,0,Saturday,boardings,1680,0.007084729395960167
4,0,Saturday,boardings,1740,0.010492769990145558
4,0,Sunday,boardings,1080,0.05801047657563973
4,0,Sunday,boardings,1140,0.049713302523596035
4,0,Sunday,boardings,1200,0.038196079475935195
4,0,Sunday,boardings,1260,0.028969156448781144
4,0,Sunday,boardings,1320,0.022863034910321364
4,0,Sunday,boardings,1380,0.015471861723908973
4,0,Sunday,boardings,1440,0.009739413508215505
4,0,Sunday,boardings,1500,0.004096541764614683
4,0,Sunday,boardings,1560,0.0030063312888156473
4,0,Sunday,boardings,1620,0.003865641555753721
4,0,Sunday,boardings,1680,0.0077710314920214
4,0,Sunday,boardings,1740,0.024470006695044982
4,0,Weekday,alightings,1080,0.10826776358136925
4,0,Weekday,alightings,1140,0.07989569458026893
4,0,Weekday,alightings,1200,0.05467989875615847
4,0,Weekday,alightings,1260,0.040660363731407155
4,0,Weekday,alightings,1320,0.03369715951622677
4,0,Weekday,alightings,1380,0.02463235545048114
4,0,Weekday,alightings,1440,0.01220946835524836
4,0,Weekday,alightings,1500,0.005136610847296994
4,0,Weekday,alightings,1560,0.0033375982539059113
4,0,Weekday,alightings,1620,0.002996150027709362
4,0,Weekday,alightings,1680,0.004241417267171142
4,0,Weekday,alightings,1740,0.0153419062843155
4,0,Saturday,alightings,1080,0.08642796574157993
4,0,Saturday,alightings,1140,0.0724209862156016
4,0,Saturday,alightings,1200,0.05512104488401133
4,0,Saturday,alightings,1260,0.04173938558309152
4,0,Saturday,alightings,1320,0.036274570675052215
4,0,Saturday,alightings,1380,0.03086804293254581
4,0,Saturday,alightings,1440,0.009400278408843749
4,0,Saturday,alightings,1500,0.003959772963325507
4,0,Saturday,alightings,1560,0.0023777804876949265
4,0,Saturday,alightings,1620,0.0022990235636346917
4,0,Saturday,alightings,1680,0.003927149621944711
4,0,Saturday,alightings,1740,0.0067087955478752695
4,0,Sunday,alightings,1080,0.05836916292530762
4,0,Sunday,alightings,1140,0.04993401264766897
4,0,Sunday,alightings,1200,0.03956297305649621
4,0,Sunday,alightings,1260,0.03065557262580685
4,0,Sunday,alightings,1320,0.024299827176868634
4,0,Sunday,alightings,1380,0.017294117255444226
4,0,Sunday,alightings,1440,0.01220946835524836
4,0,Sunday,alightings,1500,0.005136610847296994
4,0,Sunday,alightings,1560,0.0033375982539059113
4,0,Sunday,alightings,1620,0.002996150027709362
4,0,Sunday,alightings,1680,0.004241417267171142
4,0,Sunday,alightings,1740,0.0153419062843155
4,1,Weekday,boardings,1080,0.11084887343375241
4,1,Weekday,boardings,1140,0.07659206267615672
4,1,Weekday,boardings,1200,0.04958126470759346
4,1,Weekday,boardings,1260,0.03250165492891665
4,1,Weekday,boardings,1320,0.022653641438074416
4,1,Weekday,boardings,1380,0.013411868829952413
4,1,Weekday,boardings,1440,0.0052046497760979025
4,1,Weekday,boardings,1500,0.0019343674611827675
4,1,Weekday,boardings,1560,0.0016310142853199169
4,1,Weekday,boardings,1620,0.003230468371791469
4,1,Weekday,boardings,1680,0.01067570633443976
4,1,Weekday,boardings,1740,0.047029685473225176
4,1,Saturday,boardings,1080,0.09938382167335985
4,1,Saturday,boardings,1140,0.0795247742550154
4,1,Saturday,boardings,1200,0.05346013865894413
4,1,Saturday,boardings,1260,0.03590868824853896
4,1,Saturday,boardings,1320,0.028846698786465525
4,1,Saturday,boardings,1380,0.02028364340110608
4,1,Saturday,boardings,1440,0.003951516207757289
4,1,Saturday,boardings,1500,0.0014825300865572422
4,1,Saturday,boardings,1560,0.0014751149419653872
4,1,Saturday,boardings,1620,0.0034736920695026562
4,1,Saturday,boardings,1680,0.007827543263167187
4,1,Saturday,boardings,1740,0.013134608068676576
4,1,Sunday,boardings,1080,0.062415577034154575
4,1,Sunday,boardings,1140,0.05206161679280256
4,1,Sunday,boardings,1200,0.03816820528032315
4,1,Sunday,boardings,1260,0.025860626810777144
4,1,Sunday,boardings,1320,0.01781570615268369
4,1,Sunday,boardings,1380,0.009924348849642566
4,1,Sunday,boardings,1440,0.0052046497760979025
4,1,Sunday,boardings,1500,0.0019343674611827675
4,1,Sunday,boardings,1560,0.0016310142853199169
4,1,Sunday,boardings,1620,0.003230468371791469
4,1,Sunday,boardings,1680,0.01067570633443976
4,1,Sunday,boardings,1740,0.047029685473225176
4,1,Weekday,alightings,1080,0.12122682358590596
4,1,Weekday,alightings,1140,0.08807934819907144
4,1,Weekday,alightings,1200,0.05855127873911828
4,1,Weekday,alightings,1260,0.04415800973952774
4,1,Weekday,alightings,1320,0.03644607356128034
4,1,Weekday,alightings,1380,0.027486352884859625
4,1,Weekday,alightings,1440,0.013372411425701038
4,1,Weekday,alightings,1500,0.003983737324828995
4,1,Weekday,alightings,1560,0.001903700645415003
4,1,Weekday,alightings,1620,0.001468079506359909
4,1,Weekday,alightings,1680,0.0016738218836064589
4,1,Weekday,alightings,1740,0.006039485724290667
4,1,Saturday,alightings,1080,0.08567437949269767
4,1,Saturday,alightings,1140,0.07156110659554266
4,1,Saturday,alightings,1200,0.05546067814203522
4,1,Saturday,alightings,1260,0.04346952738223182
4,1,Saturday,alightings,1320,0.03828501182669316
4,1,Saturday,alightings,1380,0.03314869811059777
4,1,Saturday,alightings,1440,0.008943319584427208
4,1,Saturday,alightings,1500,0.0025860205820230943
4,1,Saturday,alightings,1560,0.001292294386331532
4,1,Saturday,alightings,1620,0.0010262927297410155
4,1,Saturday,alightings,1680,0.0013987741888760723
4,1,Saturday,alightings,1740,0.0026286493718321383
4,1,Sunday,alightings,1080,0.058585378555564845
4,1,Sunday,alightings,1140,0.050206568395825615
4,1,Sunday,alightings,1200,0.03913872744319563
4,1,Sunday,alightings,1260,0.03072610144081015
4,1,Sunday,alightings,1320,0.024754924015411146
4,1,Sunday,alightings,1380,0.0182831880259957
4,1,Sunday,alightings,1440,0.013372411425701038
4,1,Sunday,alightings,1500,0.003983737324828995
4,1,Sunday,alightings,1560,0.001903700645415003
4,1,Sunday,alightings,1620,0.001468079506359909
4,1,Sunday,alightings,1680,0.0016738218836064589
4,1,Sunday,alightings,1740,0.006039485724290667
