K,replicate,base_cluster,matched_jaccard
5,1,2,0.6865979381443299
5,1,3,0.6701030927835051
5,1,4,0.8747044917257684
5,2,0,0.5766016713091922
5,2,1,0.38943894389438943
5,2,2,0.7810509554140127
5,2,3,0.5451263537906137
5,2,4,0.8663558663558664
5,3,0,0.045936395759717315
5,3,1,0.35477178423236516
5,3,2,0.6116442738323736
5,3,3,0.565359477124183
5,3,4,0.7824109173616376
5,4,0,0.008587786259541985
5,4,1,0.301498127340824
5,4,2,0.6166032953105196
5,4,3,0.5576923076923077
5,4,4,0.8076923076923077
5,5,0,0.3996627318718381
5,5,1,0.28888888888888886
5,5,2,0.6807479224376731
5,5,3,0.4929078014184397
5,5,4,0.8653530377668309
5,6,0,0.14363143631436315
5,6,1,0.2988235294117647
5,6,2,0.6079046424090339
5,6,3,0.5324232081911263
5,6,4,0.8507462686567164
5,7,0,0.2532228360957643
5,7,1,0.2635814889336016
5,7,2,0.7176554681915654
5,7,3,0.5949820788530465
5,7,4,0.8013803680981595
5,8,0,0.35847382431233366
5,8,1,0.25597269624573377
5,8,2,0.6841379310344827
5,8,3,0.6379310344827587
5,8,4,0.8824463860206513
5,9,0,0.6230831315577078
5,9,1,0.19655172413793104
5,9,2,0.6825396825396826
5,9,3,0.5197568389057751
5,9,4,0.8843648208469055
5,10,0,0.3473774720550301
5,10,1,0.25693160813308685
5,10,2,0.7898550724637681
5,10,3,0.5888501742160279
5,10,4,0.8539786710418376
5,11,0,0.30305755395683454
5,11,1,0.33121019108280253
5,11,2,0.6803776129467296
5,11,3,0.5478927203065134
5,11,4,0.851031321619557
5,12,0,0.3577586206896552
5,12,1,0.253125
5,12,2,0.6350993377483444
5,12,3,0.4519230769230769
5,12,4,0.8571428571428571
5,13,0,0.2158703071672355
5,13,1,0.2135593220338983
5,13,2,0.6375711574952562
5,13,3,0.5509433962264151
5,13,4,0.8442056792018419
5,14,0,0.002640845070422535
5,14,1,0.39019607843137255
5,14,2,0.602996254681648
5,14,3,0.4882943143812709
5,14,4,0.7108167770419426
5,15,0,0.19598765432098766
5,15,1,0.33406113537117904
5,15,2,0.6386885245901639
5,15,3,0.5421245421245421
5,15,4,0.7225859247135843
5,16,0,0.030881017257039057
5,16,1,0.3258426966292135
5,16,2,0.6146031746031746
5,16,3,0.40808823529411764
5,16,4,0.7890451517394522
5,17,0,0.6688741721854304
5,17,1,0.31313131313131315
5,17,2,0.804006968641115
5,17,3,0.541958041958042
5,17,4,0.8805970149253731
5,18,0,0.0885640584694755
5,18,1,0.3069306930693069
5,18,2,0.6408912188728703
5,18,3,0.6068111455108359
5,18,4,0.7725832012678289
5,19,0,0.25934959349593495
5,19,1,0.4535211267605634
5,19,2,0.5822704081632653
5,19,3,0.37681159420289856
5,19,4,0.799667497921862
5,20,0,0.6762075134168157
5,20,1,0.4368231046931408
5,20,2,0.8391489361702128
5,20,3,0.6373239436619719
5,20,4,0.8784893267651889
6,1,0,0.008620689655172414
6,1,1,0.6496090973702914
6,1,2,0.5875090777051561
6,1,3,0.44039735099337746
6,1,4,0.16076294277929154
6,1,5,0.21541010770505387
6,2,0,0.3070652173913043
6,2,1,0.7396142433234422
6,2,2,0.543918918918919
6,2,3,0.4907749077490775
6,2,4,0.22851153039832284
6,2,5,0.0027726432532347504
6,3,0,0.234375
6,3,1,0.7252906976744186
6,3,2,0.5935436537050623
6,3,3,0.44814814814814813
6,3,4,0.023255813953488372
6,3,5,0.2837489251934652
6,4,0,0.2607361963190184
6,4,1,0.7263249348392702
6,4,2,0.5821325648414986
6,4,3,0.24452554744525548
6,4,4,0.07948717948717948
6,4,5,0.2806158152554234
6,5,0,0.2537688442211055
6,5,1,0.8467336683417085
6,5,2,0.5518672199170125
6,5,3,0.5563380281690141
6,5,4,0.31527093596059114
6,5,5,0.08047945205479452
6,6,0,0.22972972972972974
6,6,1,0.8650793650793651
6,6,2,0.6408882082695253
