run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
12,10054,6,2,0,0.896551724137931,0.9629629629629629,0.9285714285714286
12,10054,6,3,3,0.41304347826086957,0.59375,0.5757575757575758
12,10054,6,4,5,0.8333333333333334,0.8823529411764706,0.9375
12,10054,6,5,2,0.8823529411764706,0.9375,0.9375
12,10054,7,0,5,0.8235294117647058,0.8235294117647058,1.0
12,10054,7,1,3,0.8177339901477833,0.9822485207100592,0.83
12,10054,7,2,2,0.6571428571428571,0.7419354838709677,0.8518518518518519
12,10054,7,3,6,0.3050847457627119,0.47368421052631576,0.46153846153846156
12,10054,7,4,4,0.30434782608695654,0.35,0.7
12,10054,7,5,0,0.9375,0.967741935483871,0.967741935483871
12,10054,7,6,1,0.8181818181818182,0.9375,0.8653846153846154
13,10055,6,0,2,0.5039370078740157,0.5378151260504201,0.8888888888888888
13,10055,6,1,5,0.13178294573643412,0.37777777777777777,0.16831683168316833
13,10055,6,2,4,0.7272727272727273,0.8888888888888888,0.8
13,10055,6,3,3,0.4222222222222222,0.59375,0.59375
13,10055,6,4,1,0.8333333333333334,0.8823529411764706,0.9375
13,10055,6,5,0,0.8502994011976048,0.8875,0.9530201342281879
13,10055,7,0,2,0.9411764705882353,0.9411764705882353,1.0
13,10055,7,1,1,0.9239766081871345,0.9349112426035503,0.9875
13,10055,7,2,4,0.7837837837837838,0.9354838709677419,0.8285714285714286
13,10055,7,3,6,0.8372093023255814,0.9473684210526315,0.8780487804878049
13,10055,7,4,3,0.8571428571428571,0.9,0.9473684210526315
13,10055,7,5,0,0.9375,0.967741935483871,0.967741935483871
13,10055,7,6,5,0.8333333333333334,0.9375,0.8823529411764706
14,10056,6,0,4,0.7666666666666667,0.773109243697479,0.989247311827957
14,10056,6,1,1,0.6984126984126984,0.9777777777777777,0.7096774193548387
14,10056,6,2,0,0.7058823529411765,0.8888888888888888,0.7741935483870968
14,10056,6,3,5,0.7058823529411765,0.75,0.9230769230769231
14,10056,6,4,2,0.8888888888888888,0.9411764705882353,0.9411764705882353
14,10056,6,5,3,0.8118279569892473,0.94375,0.8531073446327684
14,10056,7,0,3,0.8888888888888888,0.9411764705882353,0.9411764705882353
14,10056,7,1,1,0.5508021390374331,0.6094674556213018,0.8512396694214877
14,10056,7,2,2,0.0,0.0,0.0
14,10056,7,3,5,0.5,0.5526315789473685,0.84
14,10056,7,4,0,0.48863636363636365,0.7166666666666667,0.6056338028169014
14,10056,7,5,6,0.7142857142857143,0.8064516129032258,0.8620689655172413
14,10056,7,6,4,0.3958333333333333,0.3958333333333333,1.0
15,10057,6,0,5,0.5862068965517241,0.7142857142857143,0.7657657657657657
15,10057,6,1,2,0.24731182795698925,0.5111111111111111,0.323943661971831
15,10057,6,2,0,0.9629629629629629,0.9629629629629629,1.0
15,10057,6,3,3,0.46987951807228917,0.609375,0.6724137931034483
15,10057,6,4,4,0.8888888888888888,0.9411764705882353,0.9411764705882353
15,10057,6,5,1,0.7657142857142857,0.8375,0.8993288590604027
15,10057,7,0,6,0.55,0.6470588235294118,0.7857142857142857
15,10057,7,1,3,0.6868131868131868,0.7396449704142012,0.9057971014492754
15,10057,7,2,5,0.8823529411764706,0.967741935483871,0.9090909090909091
15,10057,7,3,0,0.4066666666666667,0.8026315789473685,0.45185185185185184
15,10057,7,4,2,0.7368421052631579,0.9333333333333333,0.7777777777777778
