NLC,tot_entry,tot_exit,total_activity
682,1800.6841641700005,2327.7465348289998,4128.430698999
683,1339.7097471890488,4062.504956259999,5402.214703449048
684,845.7943610742901,2886.0971437094754,3731.8915047837654
685,1745.1804733999998,1216.8768555,2962.0573288999994
686,8614.982601466498,14398.626121080002,23013.6087225465
687,794.4003556477641,1901.6154086879994,2696.0157643357634
688,37.30146327447014,181.60273330077607,218.9041965752462
690,1744.6832412532003,2159.4151382,3904.0983794532003
691,706.6585000000002,1438.8715347800003,2145.5300347800003
692,285.70168833093555,1060.3297682497,1346.0314565806357
693,647.27558268,1611.7360724800003,2259.0116551600004
694,7183.068382623751,6925.336519108,14108.404901731752
695,6053.680184999998,3758.343124500001,9812.0233095
696,4272.862824724196,4606.800076105474,8879.66290082967
697,7627.70568426968,3488.7642657030765,11116.469949972758
698,8231.465608213864,17567.67039680091,25799.136005014774
700,15319.464534754467,12194.034680782695,27513.499215537162
702,14159.369952500005,7510.972104100002,21670.342056600006
703,1004.2388958832046,2175.193941367436,3179.4328372506407
704,1303.9517046526007,2889.3732421530003,4193.324946805601
705,2325.62186005419,5444.425479299999,7770.047339354189
706,1986.2571975441992,5366.584665647999,7352.841863192198
707,994.7386357196328,2461.9149851200004,3456.6536208396333
708,30702.060090119212,17352.512104590005,48054.57219470922
709,454.7660556311964,1100.2119571192818,1554.9780127504782
710,676.634498740802,1952.2529005197002,2628.887399260502
711,2826.472874896029,4900.519091282,7726.9919661780295
712,1929.3320616862425,5163.676985306364,7093.009046992607
713,1588.94379794,2441.75773112362,4030.70152906362
714,1585.8045086200004,4620.982749060001,6206.787257680002
715,4080.0391972000007,5442.6361095,9522.6753067
716,6783.540817291055,11376.186044148002,18159.726861439056
717,1220.170990907,2813.2897517110327,4033.460742618033
718,23214.30958477417,13441.877778953283,36656.187363727455
719,55081.954639081,53093.17507058859,108175.12970966959
720,610.4934667829526,2048.225044062131,2658.7185108450835
721,668.4055303564922,2001.03410944,2669.4396397964924
723,4332.17443666681,5485.413574619707,9817.588011286516
724,8121.1201009,3573.2323050000005,11694.352405900001
725,318.17949172252,822.62481125622,1140.80430297874
726,4908.912097591801,9211.455790863203,14120.367888455005
727,10650.256788311995,16731.09970595248,27381.356494264477
728,110571.39165603342,53248.213061714785,163819.6047177482
729,13452.741509034402,15280.917643288602,28733.659152323
730,1023.2180944719759,2845.1677241210004,3868.385818592976
731,13204.3533845373,15974.346467107393,29178.69985164469
733,3049.861742641414,4771.971919039028,7821.833661680442
734,3587.2548739125,6095.5018707069,9682.7567446194
735,4783.0947461549995,12059.669464251001,16842.764210406
736,1835.5446937712009,4843.300236724799,6678.8449304959995
737,194.6140789631764,581.2402134129002,775.8542923760766
738,852.9796700806214,2349.69469093,3202.6743610106214
739,6846.4095673500005,13517.692688400004,20364.102255750004
740,2539.4130210999997,4399.758717,6939.1717381
741,55921.63776009997,58945.53738655534,114867.17514665531
742,7448.425676171456,17289.03036879618,24737.456044967636
743,1044.4751388050304,2474.0690127263506,3518.544151531381
745,14095.556183110994,7440.557947312318,21536.11413042331
746,2565.2698075900003,3502.258679120001,6067.528486710002
747,68673.73260799526,74250.5542134738,142924.28682146908
748,606.6259876000001,1766.9876636,2373.6136512000003
751,3293.7881012833973,5641.706156599999,8935.494257883396
752,14618.9692152163,21825.97717592694,36444.94639114324
753,459.93267844572665,1303.1655651795054,1763.098243625232
754,2960.8690730439994,3852.288104319451,6813.1571773634505
755,5264.5084010400005,5214.2749218300005,10478.78332287
756,586.9440919101894,1719.5642154269997,2306.508307337189
757,2798.29240240245,6321.629066036021,9119.921468438471
758,7081.5959935149085,9100.80166866747,16182.397662182379
759,495.75664537585425,1524.03286203,2019.7895074058542
760,3153.5678493000014,4625.847663100001,7779.415512400003
761,18518.044647639,8555.982498176003,27074.027145815002
762,627.9117785362669,1764.9471002197195,2392.8588787559866
763,16605.779791592802,16504.849053897997,33110.6288454908
764,7088.790298840876,5379.914712033566,12468.70501087444
765,3291.711442002623,7931.886396750377,11223.597838753
766,2992.522241910302,4898.293579093001,7890.815821003303
767,11550.470646883003,24100.22426365,35650.694910533006
768,1044.7988349197356,2001.2163106999994,3046.015145619735
769,1944.349521429622,5901.02181653006,7845.371337959682
770,6019.716412264254,11674.855967564,17694.572379828256
771,1630.4546403654665,3461.3254844139988,5091.780124779465
773,7003.187923574829,8682.803694522001,15685.99161809683
774,1401.4417368050053,5268.984581732299,6670.426318537305
775,2986.0252898136,3473.479311629327,6459.504601442927
776,5108.254648133999,6335.436803423601,11443.691451557599
777,20587.207789500153,25026.381019794426,45613.58880929458
778,23386.802606359994,36732.9006527754,60119.70325913539
779,1643.0330376920003,4598.039382557999,6241.072420249999
780,6343.785051954,3820.150473734,10163.935525688
781,1696.04918606481,1423.874059,3119.92324506481
783,5075.306694784999,1976.9763539400005,7052.283048724999
784,6895.61828077558,6339.297398122527,13234.915678898107
787,6607.100853380799,8948.736288247997,15555.837141628796
788,8502.630767785193,13921.57376332,22424.20453110519
789,38777.7749557,34486.99450136999,73264.76945706998
831,3011.4994721999997,4814.234300037451,7825.7337722374505
832,10972.988513670385,8375.809415645494,19348.79792931588
852,29614.86583727619,26659.383051227785,56274.24888850398
884,8886.605690177004,19992.236978480003,28878.84266865701
