iteration,K,sample_unique_n,model_seed,ARI,converged,n_iter,convergence_warnings
45,6,173,117859389,0.7872678601820392,True,5,0
45,7,173,117859390,0.6288090481074053,True,7,0
45,8,173,117859391,0.5514462850376995,True,10,0
46,3,179,1757713013,0.49033112535414536,True,9,0
46,4,179,1757713014,0.6763313163204203,True,8,0
46,5,179,1757713015,0.65198632650078,True,7,0
46,6,179,1757713016,0.6946596594100735,True,9,0
46,7,179,1757713017,0.5454623811135928,True,7,0
46,8,179,1757713018,0.5752980784558844,True,9,0
47,3,172,824316860,0.5124649379407101,True,4,0
47,4,172,824316861,0.6630010436003522,True,6,0
47,5,172,824316862,0.5522341809156952,True,7,0
47,6,172,824316863,0.5203049274188997,True,6,0
47,7,172,824316864,0.47463395135940945,True,5,0
47,8,172,824316865,0.44339855709874265,True,8,0
48,3,173,1884336427,0.8917215693960099,True,10,0
48,4,173,1884336428,0.6107817208853995,True,10,0
48,5,173,1884336429,0.5597211873287478,True,8,0
48,6,173,1884336430,0.5823130993500693,True,12,0
48,7,173,1884336431,0.5458735264005659,True,9,0
48,8,173,1884336432,0.5352288634657858,True,9,0
49,3,169,116336252,0.4966783227989011,True,6,0
49,4,169,116336253,0.798453509142592,True,12,0
49,5,169,116336254,0.5035003717357289,True,12,0
49,6,169,116336255,0.5861417094281817,True,6,0
49,7,169,116336256,0.5498201750904288,True,7,0
49,8,169,116336257,0.525464485046838,True,14,0
50,3,168,1108937845,0.9750266320764348,True,8,0
50,4,168,1108937846,0.7912664668826502,True,8,0
50,5,168,1108937847,0.5287389471672236,True,11,0
50,6,168,1108937848,0.7178558612779612,True,11,0
50,7,168,1108937849,0.5921752405377276,True,10,0
50,8,168,1108937850,0.43632646622288007,True,8,0
51,3,175,937339320,0.8781189170174396,True,5,0
51,4,175,937339321,0.7460562942099678,True,5,0
51,5,175,937339322,0.6156600274943156,True,4,0
51,6,175,937339323,0.5968391359830508,True,9,0
51,7,175,937339324,0.6843154444435148,True,9,0
51,8,175,937339325,0.5459127695715975,True,16,0
52,3,168,2066620586,0.5234469275965183,True,5,0
52,4,168,2066620587,0.5580600700621372,True,8,0
52,5,168,2066620588,0.6139453985309447,True,9,0
52,6,168,2066620589,0.4192329209757416,True,11,0
52,7,168,2066620590,0.5453477950970602,True,10,0
52,8,168,2066620591,0.4373292879892,True,6,0
53,3,170,1804406467,0.905856247281518,True,8,0
53,4,170,1804406468,0.8586898208014407,True,4,0
53,5,170,1804406469,0.49303291097060004,True,4,0
53,6,170,1804406470,0.6962358395236282,True,8,0
53,7,170,1804406471,0.5743635819019394,True,8,0
53,8,170,1804406472,0.6151388666495389,True,10,0
54,3,171,1866952514,0.507741110927271,True,17,0
54,4,171,1866952515,0.7320903149988409,True,5,0
54,5,171,1866952516,0.6583909344947756,True,7,0
54,6,171,1866952517,0.612736664382103,True,7,0
54,7,171,1866952518,0.549119356312841,True,13,0
54,8,171,1866952519,0.5765729811661146,True,10,0
55,3,168,574975305,0.8723612330514703,True,15,0
55,4,168,574975306,0.6027764610274875,True,17,0
55,5,168,574975307,0.685312523024596,True,17,0
55,6,168,574975308,0.5118165915695737,True,8,0
55,7,168,574975309,0.6927036153558493,True,9,0
55,8,168,574975310,0.5053409642917872,True,11,0
56,3,166,2142525767,0.48867513973739063,True,15,0
56,4,166,2142525768,0.840695922303195,True,8,0
56,5,166,2142525769,0.5964005335360761,True,10,0
56,6,166,2142525770,0.6128193188901424,True,12,0
56,7,166,2142525771,0.5343715738105146,True,6,0
56,8,166,2142525772,0.5243550111084344,True,6,0
57,3,170,1212699248,0.9203581889881529,True,7,0
57,4,170,1212699249,0.884999478363708,True,7,0
57,5,170,1212699250,0.5999457848376534,True,7,0
57,6,170,1212699251,0.5498198894495425,True,8,0
57,7,170,1212699252,0.6349050813200589,True,8,0
57,8,170,1212699253,0.5112802138348742,True,10,0
58,3,167,1807297751,0.4929119278893493,True,4,0
58,4,167,1807297752,0.9144073832109412,True,9,0
58,5,167,1807297753,0.6045075934684327,True,8,0
58,6,167,1807297754,0.6962854467822422,True,8,0
58,7,167,1807297755,0.7914766181544488,True,9,0
58,8,167,1807297756,0.5057876501830826,True,9,0
59,3,175,1124915758,0.4896554969979034,True,4,0
59,4,175,1124915759,0.8708678824594552,True,8,0
59,5,175,1124915760,0.5482474807942144,True,8,0
59,6,175,1124915761,0.6193038248716982,True,8,0
59,7,175,1124915762,0.5214535627673164,True,8,0
59,8,175,1124915763,0.46110173093896045,True,8,0
60,3,171,945150155,0.5330101889858117,True,6,0
60,4,171,945150156,0.8187846732570148,True,13,0
60,5,171,945150157,0.3413398497573508,True,5,0
60,6,171,945150158,0.6406795372326662,True,13,0
60,7,171,945150159,0.61412064789667,True,8,0
60,8,171,945150160,0.7059956381702234,True,9,0
61,3,170,1247522496,1.0,True,10,0
61,4,170,1247522497,0.9822259959253984,True,10,0
61,5,170,1247522498,0.5685246018885762,True,10,0
61,6,170,1247522499,0.6817120285722341,True,11,0
61,7,170,1247522500,0.529303497093848,True,7,0
61,8,170,1247522501,0.4587524837384911,True,7,0
62,3,171,1081877809,0.48927144093441477,True,3,0
62,4,171,1081877810,0.7993054747595549,True,7,0
62,5,171,1081877811,0.5407609255943165,True,10,0
62,6,171,1081877812,0.6227540281180978,True,10,0
62,7,171,1081877813,0.5379416523426563,True,10,0
62,8,171,1081877814,0.40588887463739215,True,18,0
63,3,176,1745437813,0.8586782988987562,True,6,0
63,4,176,1745437814,0.7752776489536943,True,8,0
63,5,176,1745437815,0.5916369665140001,True,6,0
63,6,176,1745437816,0.5704353080573434,True,6,0
63,7,176,1745437817,0.4527691065049734,True,7,0
63,8,176,1745437818,0.4787351434853033,True,6,0
64,3,172,750755802,0.4929119278893493,True,7,0
64,4,172,750755803,0.8511498653946009,True,9,0
64,5,172,750755804,0.48383750856053076,True,15,0
64,6,172,750755805,0.7343738111231206,True,6,0
64,7,172,750755806,0.4904994660078997,True,11,0
64,8,172,750755807,0.5011544526515344,True,16,0
65,3,170,54478458,0.48927144093441477,True,6,0
65,4,170,54478459,0.9735622061413062,True,6,0
65,5,170,54478460,0.5995150819277819,True,9,0
65,6,170,54478461,0.6062465434440567,True,8,0
65,7,170,54478462,0.49860759192292275,True,7,0
65,8,170,54478463,0.5345079990548824,True,11,0
66,3,167,148074979,0.48973511689138416,True,5,0
66,4,167,148074980,0.7675751150377453,True,6,0
66,5,167,148074981,0.5026059291629852,True,9,0
66,6,167,148074982,0.5387929004811806,True,6,0
66,7,167,148074983,0.5822204173682766,True,6,0
66,8,167,148074984,0.49436314768733175,True,9,0
67,3,176,1606892519,0.48894018282803564,True,7,0
67,4,176,1606892520,0.877208586430241,True,8,0
67,5,176,1606892521,0.6565266724669714,True,8,0
67,6,176,1606892522,0.6304202016875086,True,13,0
67,7,176,1606892523,0.520558383549441,True,14,0
67,8,176,1606892524,0.47364083255180883,True,10,0
68,3,171,234493936,0.49529146913824573,True,5,0
68,4,171,234493937,0.6227607958861374,True,8,0
68,5,171,234493938,0.5622671292053109,True,13,0
68,6,171,234493939,0.5172101593407833,True,10,0
68,7,171,234493940,0.5182969814262933,True,7,0
68,8,171,234493941,0.5478890353402648,True,8,0
69,3,171,1577171866,0.991535408954452,True,8,0
69,4,171,1577171867,0.8993186427775175,True,11,0
69,5,171,1577171868,0.6096366209589024,True,10,0
69,6,171,1577171869,0.7084826712025323,True,8,0
69,7,171,1577171870,0.5897127354181309,True,10,0
69,8,171,1577171871,0.5116591475325433,True,10,0
70,3,175,1607587819,0.48874140356088824,True,18,0
70,4,175,1607587820,0.8244569465618031,True,18,0
70,5,175,1607587821,0.5193623697199868,True,10,0
70,6,175,1607587822,0.7747124594408966,True,5,0
70,7,175,1607587823,0.4906129140672472,True,15,0
70,8,175,1607587824,0.6085359603356906,True,11,0
71,3,177,69841860,0.4919196768837773,True,11,0
71,4,177,69841861,0.8244647275348114,True,11,0
71,5,177,69841862,0.5040931938879135,True,8,0
71,6,177,69841863,0.602086253415144,True,14,0
71,7,177,69841864,0.537234445765338,True,9,0
71,8,177,69841865,0.54286667917439,True,8,0
72,3,177,941494579,0.507741110927271,True,7,0
72,4,177,941494580,0.7263281411387955,True,8,0
72,5,177,941494581,0.5857735772260623,True,7,0
72,6,177,941494582,0.681020500829428,True,7,0
72,7,177,941494583,0.6017053729069108,True,7,0
72,8,177,941494584,0.5068884477218144,True,12,0
73,3,179,1617235632,1.0,True,6,0
73,4,179,1617235633,0.5224077557906446,True,8,0
73,5,179,1617235634,0.7674972347674227,True,10,0
73,6,179,1617235635,0.6122057918183578,True,7,0
73,7,179,1617235636,0.6725286249176343,True,9,0
73,8,179,1617235637,0.6889673903801318,True,14,0
74,3,169,1987907227,0.9668720437920552,True,7,0
74,4,169,1987907228,0.9509081733596325,True,7,0
74,5,169,1987907229,0.6120164919497743,True,7,0
74,6,169,1987907230,0.5346001356298493,True,11,0
74,7,169,1987907231,0.6455546104852541,True,7,0
74,8,169,1987907232,0.5425831683880818,True,7,0
75,3,158,761766412,0.536447700871174,True,4,0
75,4,158,761766413,0.6583783284803388,True,14,0
75,5,158,761766414,0.36834201615333545,True,9,0
75,6,158,761766415,0.45363737270862425,True,4,0
75,7,158,761766416,0.4082256738517938,True,6,0
75,8,158,761766417,0.49396454937780054,True,10,0
76,3,170,910564585,0.9511515723878085,True,11,0
76,4,170,910564586,0.9609004436105317,True,9,0
76,5,170,910564587,0.6413180981075481,True,6,0
76,6,170,910564588,0.6091277310203462,True,10,0
76,7,170,910564589,0.4999415348487647,True,13,0
76,8,170,910564590,0.5091804526175306,True,7,0
77,3,173,399724668,0.48927144093441477,True,5,0
77,4,173,399724669,0.5611470172980697,True,8,0
77,5,173,399724670,0.5630202702390112,True,8,0
77,6,173,399724671,0.5982038963517231,True,7,0
77,7,173,399724672,0.5168895122183408,True,9,0
77,8,173,399724673,0.5596603293344588,True,8,0
78,3,179,697246780,0.8781189170174396,True,6,0
78,4,179,697246781,0.6823960482673698,True,6,0
78,5,179,697246782,0.5185635073604132,True,12,0
78,6,179,697246783,0.5267819762974129,True,7,0
78,7,179,697246784,0.5230137216823433,True,8,0
78,8,179,697246785,0.4763957378998324,True,7,0
79,3,163,1556669283,0.4929119278893493,True,5,0
79,4,163,1556669284,0.9383724479841077,True,5,0
79,5,163,1556669285,0.5211030216227389,True,7,0
79,6,163,1556669286,0.6185182115253245,True,7,0
79,7,163,1556669287,0.6788785272947033,True,11,0
79,8,163,1556669288,0.45676357370766046,True,6,0
80,3,180,1556134007,0.48894018282803564,True,5,0
80,4,180,1556134008,0.8532546913604199,True,16,0
80,5,180,1556134009,0.5278455627576306,True,16,0
80,6,180,1556134010,0.43327732754880344,True,11,0
80,7,180,1556134011,0.6007406208536233,True,16,0
80,8,180,1556134012,0.6659965546906768,True,9,0
81,3,166,924519751,0.8917215693960099,True,5,0
81,4,166,924519752,0.8424929680575106,True,9,0
81,5,166,924519753,0.7042162913708111,True,8,0
81,6,166,924519754,0.558274699887715,True,9,0
81,7,166,924519755,0.45597162573882877,True,10,0
81,8,166,924519756,0.5159085438053225,True,9,0
82,3,165,828014176,0.5330101889858117,True,4,0
82,4,165,828014177,0.7671322707088426,True,5,0
82,5,165,828014178,0.555131291517865,True,6,0
82,6,165,828014179,0.6527817374889765,True,10,0
82,7,165,828014180,0.6546798800692936,True,10,0
82,8,165,828014181,0.49851330942042665,True,11,0
83,3,172,2009465443,0.48874140356088824,True,5,0
83,4,172,2009465444,0.7359951285731303,True,7,0
83,5,172,2009465445,0.5708055489133679,True,13,0
83,6,172,2009465446,0.670402728534527,True,8,0
83,7,172,2009465447,0.5947064531947799,True,8,0
83,8,172,2009465448,0.47808195880668003,True,7,0
84,3,171,413324825,0.5035334192228256,True,4,0
84,4,171,413324826,0.594846525312874,True,4,0
84,5,171,413324827,0.6194823332888881,True,6,0
84,6,171,413324828,0.653833449410359,True,8,0
84,7,171,413324829,0.6625819002328599,True,7,0
84,8,171,413324830,0.5368999775572549,True,6,0
85,3,172,1273373303,0.48894018282803564,True,11,0
85,4,172,1273373304,0.8854806664640835,True,11,0
85,5,172,1273373305,0.5248920472421694,True,11,0
85,6,172,1273373306,0.688749143660702,True,13,0
85,7,172,1273373307,0.6139861411903131,True,9,0
85,8,172,1273373308,0.5153817521708247,True,7,0
86,3,168,1208760266,0.48867513973739063,True,7,0
86,4,168,1208760267,0.6219022709149302,True,7,0
86,5,168,1208760268,0.6745236911095325,True,7,0
86,6,168,1208760269,0.6203748303067659,True,7,0
86,7,168,1208760270,0.5312619081971776,True,7,0
86,8,168,1208760271,0.5057711043746469,True,7,0
87,3,162,176733056,0.878574570913564,True,9,0
87,4,162,176733057,0.8434907690190263,True,9,0
87,5,162,176733058,0.6365596078809866,True,9,0
87,6,162,176733059,0.4689717023554464,True,14,0
87,7,162,176733060,0.5135645485143175,True,11,0
87,8,162,176733061,0.4846466297802988,True,8,0
88,3,166,1613758402,0.48563110051509073,True,5,0
88,4,166,1613758403,0.8672461198585171,True,7,0
