K,reference_cluster,replicates,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,recall_mean,recall_sd,recall_median,recall_q025,recall_q975,recall_min,recall_max,precision_mean,precision_sd,precision_median,precision_q025,precision_q975,precision_min,precision_max,share_jaccard_below_0_50,share_jaccard_at_least_0_75
7,2,200,0.3098060119345493,0.2151506467940597,0.3288288288288288,0.0,0.6601582771146861,0.0,0.775,0.4260294117647059,0.3110977535819522,0.38235294117647056,0.0,0.9117647058823529,0.0,1.0,0.48711748519331693,0.281508199651483,0.5526477832512315,0.0,0.8666666666666667,0.0,1.0,0.765,0.005
7,3,200,0.3304037881217806,0.2891425544679968,0.35599078341013823,0.0,0.9032258064516129,0.0,0.9375,0.511774193548387,0.43015469835412584,0.5806451612903226,0.0,1.0,0.0,1.0,0.4264344231348087,0.3520900077983912,0.4382621951219512,0.0,1.0,0.0,1.0,0.71,0.11
7,4,200,0.7575078365239034,0.14843060381628717,0.7843137254901961,0.4117647058823529,0.9615384615384616,0.0,0.9803921568627451,0.8325490196078432,0.16836322207730128,0.8823529411764706,0.4308823529411765,1.0,0.0,1.0,0.8989500110097178,0.13393744566801213,0.9523539421440725,0.7082720588235295,1.0,0.0,1.0,0.06,0.61
7,5,200,0.48692984860325905,0.24765351120703966,0.5477272727272727,0.0,0.862183908045977,0.0,0.9,0.6017857142857143,0.2998671049185704,0.7142857142857143,0.0,0.9642857142857143,0.0,0.9642857142857143,0.7410803988792608,0.23099776207595016,0.8,0.0,1.0,0.0,1.0,0.41,0.125
7,6,200,0.636880293423769,0.17642882048643402,0.6666666666666666,0.0,0.8519841269841271,0.0,0.8888888888888888,0.8808000000000001,0.22086955426223867,0.96,0.0,1.0,0.0,1.0,0.6909497567571918,0.18137017703056116,0.6984848484848485,0.0,1.0,0.0,1.0,0.135,0.275
8,0,200,0.4917961802360486,0.2194394345311529,0.5397368421052632,0.0,0.8239639037433155,0.0,0.8888888888888888,0.6961904761904762,0.3272769531782412,0.7857142857142857,0.0,1.0,0.0,1.0,0.6600670339339783,0.26374086654263246,0.643389423076923,0.0,1.0,0.0,1.0,0.355,0.1
8,1,200,0.44930572895189386,0.181319074104706,0.4486842105263158,0.0,0.7625000000000001,0.0,0.825,0.5367567567567568,0.23071394891406288,0.5135135135135135,0.0,0.9195945945945948,0.0,1.0,0.7348963117686961,0.21967370120081042,0.7916666666666666,0.0,1.0,0.0,1.0,0.63,0.035
8,2,200,0.7287503259849992,0.1377822594829462,0.75,0.428505291005291,0.934137931034483,0.28125,1.0,0.8698214285714286,0.1519388932956877,0.9285714285714286,0.5,1.0,0.32142857142857145,1.0,0.8351023830822685,0.13187212967772383,0.8492424242424242,0.5280943396226415,1.0,0.45714285714285713,1.0,0.055,0.51
8,3,200,0.43982752121038693,0.16459441423590288,0.44776119402985076,0.0,0.7505357142857144,0.0,0.8787878787878788,0.6565151515151516,0.24678423041596853,0.7121212121212122,0.0,0.9696969696969697,0.0,0.9696969696969697,0.5688880557422522,0.17282989248466454,0.5671097770154374,0.0,0.9311961206896552,0.0,1.0,0.66,0.03
8,4,200,0.12219377035717979,0.20374702839626255,0.0,0.0,0.6666666666666666,0.0,1.0,0.3325,0.44237286309175883,0.0,0.0,1.0,0.0,1.0,0.14462035696972778,0.2551214835977822,0.0,0.0,1.0,0.0,1.0,0.925,0.02
8,5,200,0.4305387886836718,0.21547090312404737,0.4736659736659736,0.0,0.7847761194029851,0.0,0.8888888888888888,0.5353174603174602,0.2750154602951633,0.6031746031746031,0.0,0.936904761904762,0.0,1.0,0.6571405336098954,0.27280336327696164,0.715633423180593,0.0,1.0,0.0,1.0,0.56,0.04
8,6,200,0.4463237940816856,0.23253733569570273,0.4638501742160279,0.0,0.8518518518518519,0.0,0.8888888888888888,0.5703846153846155,0.2883104732646437,0.6153846153846154,0.0,0.9615384615384616,0.0,1.0,0.6997162317095729,0.26357654007988435,0.770979020979021,0.0,1.0,0.0,1.0,0.58,0.1
8,7,200,0.69059969535928,0.12799587763313017,0.701063829787234,0.45054773082942096,0.9493750000000001,0.28205128205128205,1.0,0.8925641025641027,0.1340314563645435,0.9487179487179487,0.5384615384615384,1.0,0.28205128205128205,1.0,0.7671881374866019,0.13305342107140272,0.782608695652174,0.5586589113257243,1.0,0.5,1.0,0.06,0.36
