NLC,tot_entry,tot_exit,total_activity,ASC,Station,Fare Zone,mode_label
635,127041.33533627666,107071.77140498198,234113.10674125864,635,London Bridge LU,,LU
636,2139.079681359888,7823.933277885923,9963.01295924581,636,Loughton,,LU
637,4263.104911652434,7703.604318893763,11966.709230546196,637,Maida Vale,,LU
638,7803.819625565152,20293.09549875989,28096.91512432504,638,Manor House,,LU
639,9717.260828280003,3335.628295982146,13052.889124262148,639,Mansion House,,LU
640,24236.505006095995,12464.8915875144,36701.39659361039,640,Marble Arch,,LU
641,13683.19471474027,21371.986086169232,35055.180800909504,641,Marylebone LU,,LU
642,18064.180295909995,29694.63567952501,47758.815975435005,642,Mile End,,LU
643,1110.4053839699147,4352.183246220003,5462.588630189917,643,Mill Hill East,,LU
645,51641.45654079142,19441.871986538594,71083.32852733001,645,Moorgate,,LU
646,556.3450779950892,1637.117849435119,2193.4629274302083,646,Moor Park,,LU
647,8471.570968880003,27685.02448220001,36156.595451080015,647,Morden,,LU
648,7961.459898851605,5951.54855414091,13913.008452992515,648,Mornington Crescent,,LU
649,2588.2311780357163,6852.553725674892,9440.784903710608,649,Neasden,,LU
650,2168.4989757644994,10419.392888553906,12587.891864318406,650,Newbury Park,,LU
653,7525.278690068025,16223.400354665075,23748.6790447331,653,North Acton,,LU
654,528.7408139576887,1393.021658721338,1921.7624726790268,654,North Ealing,,LU
655,2476.542399230311,7781.612828880254,10258.155228110565,655,Northfields,,LU
656,1051.3881399229654,4473.580994666221,5524.969134589186,656,North Harrow,,LU
6562,14724.322726821076,42716.733841494075,57441.05656831515,6562,Woolwich EL,,EZL
657,3266.440495599829,13242.800136349999,16509.240631949826,657,Northolt,,LU
659,1237.5399300418826,3876.292743733472,5113.832673775354,659,North Wembley,,"LO,LU"
660,4309.776147470053,6601.169043491752,10910.945190961804,660,Northwick Park,,LU
661,1872.7165519311034,5312.95867036335,7185.675222294454,661,Northwood,,LU
662,1186.6833692806201,3455.4304074482225,4642.113776728843,662,Northwood Hills,,LU
663,24282.924372860405,21197.76644536831,45480.690818228715,663,Notting Hill Gate,,LU
664,2118.379627283991,7327.72039023327,9446.100017517261,664,Oakwood,,LU
665,41948.51177641799,31573.248248620293,73521.76002503828,665,Old Street,,LU
667,1327.4188559626718,5175.539772351201,6502.958628313872,667,Osterley,,LU
668,9577.951053534602,15342.317509543402,24920.268563078003,668,Oval,,LU
669,155964.3350003712,62769.688671967575,218734.02367233878,669,Oxford Circus,,LU
670,98728.15520177706,114908.10801611135,213636.26321788842,670,Paddington TfL,,"EZL,LU"
671,2820.0325509583135,4154.572704535271,6974.605255493585,671,Park Royal,,LU
672,8191.652944706249,13449.167469122702,21640.82041382895,672,Parsons Green,,LU
673,1594.4729334007427,4678.934237759999,6273.407171160741,673,Perivale,,LU
674,120705.18641041455,52224.22475496996,172929.41116538452,674,Piccadilly Circus,,LU
675,1888.4234539423674,6702.999424748005,8591.422878690373,675,Pinner,,LU
676,4361.464861542025,13620.759968669996,17982.22483021202,676,Plaistow,,LU
677,1962.1067528572053,7069.313509952401,9031.420262809606,677,Preston Road,,LU
678,6695.2133970818195,11586.003991368214,18281.217388450033,678,Putney Bridge,,LU
679,2335.776344804092,9518.402242684997,11854.178587489088,679,Queensbury,,LU
680,6156.322475647653,14252.977987371514,20409.300463019168,680,Queen's Park,,"LO,LU"
681,11048.235545430029,16914.006053269,27962.24159869903,681,Queensway,,LU
6814,1358.377813360441,7333.541341662171,8691.919155022613,6814,Cheshunt,,LO
682,3853.238391685199,5383.262772811088,9236.501164496287,682,Ravenscourt Park,,LU
683,2745.8959300558413,10005.912706198,12751.808636253842,683,Rayners Lane,,LU
684,1722.9052393359934,6663.585160224425,8386.490399560418,684,Redbridge,,LU
685,4059.2499955855596,2377.4646861700003,6436.71468175556,685,Regent's Park,,LU
686,17277.70059551183,36051.12095901764,53328.821554529466,686,Richmond,,"LO,LU"
6867,4256.981867081999,6425.421542083398,10682.403409165396,6867,Hackney Downs,,LO
687,1484.1199445664147,4572.55086933596,6056.670813902374,687,Rickmansworth,,LU
6872,3050.5824043989987,11290.337869505804,14340.920273904801,6872,Brentwood,,EZL
6874,3782.8337758330663,13529.189587785995,17312.02336361906,6874,Chadwell Heath,,EZL
6876,6318.326536095967,17143.56437319132,23461.890909287285,6876,Forest Gate,,EZL
6877,2407.913920483908,11252.534655653399,13660.448576137307,6877,Gidea Park,,EZL
6878,3791.4674200383392,12821.222726547303,16612.690146585643,6878,Goodmayes,,EZL
6879,2579.4938936350445,11441.631583344399,14021.125476979443,6879,Harold Wood,,EZL
688,68.82392440237025,527.862520878233,596.6864452806033,688,Roding Valley,,LU
6881,12712.353722007689,31559.856084699994,44272.20980670768,6881,Ilford,,EZL
6883,3683.850271550534,12818.186391118605,16502.03666266914,6883,Manor Park,,EZL
6886,13454.797562590042,43503.00275982601,56957.80032241606,6886,Romford,,"EZL,LO"
