NLC,mode_label,has_lu,is_lu_only,is_tram_only,is_dlr_only,is_lo_only,is_ezl_only
712,LU,True,True,False,False,False,False
713,LU,True,True,False,False,False,False
714,LU,True,True,False,False,False,False
715,LU,True,True,False,False,False,False
716,LU,True,True,False,False,False,False
717,"LO,LU",True,False,False,False,False,False
718,LU,True,True,False,False,False,False
719,"DLR,EZL,LO,LU",True,False,False,False,False,False
720,LU,True,True,False,False,False,False
721,LU,True,True,False,False,False,False
723,LU,True,True,False,False,False,False
724,LU,True,True,False,False,False,False
725,LU,True,True,False,False,False,False
726,LU,True,True,False,False,False,False
727,LU,True,True,False,False,False,False
728,"EZL,LU",True,False,False,False,False,False
729,LU,True,True,False,False,False,False
730,LU,True,True,False,False,False,False
731,LU,True,True,False,False,False,False
733,LU,True,True,False,False,False,False
734,LU,True,True,False,False,False,False
735,LU,True,True,False,False,False,False
736,"LO,LU",True,False,False,False,False,False
737,LU,True,True,False,False,False,False
738,LU,True,True,False,False,False,False
739,LU,True,True,False,False,False,False
740,LU,True,True,False,False,False,False
7401,LO,False,False,False,False,True,False
7402,LO,False,False,False,False,True,False
7403,LO,False,False,False,False,True,False
7404,LO,False,False,False,False,True,False
7406,LO,False,False,False,False,True,False
7407,LO,False,False,False,False,True,False
7408,LO,False,False,False,False,True,False
741,LU,True,True,False,False,False,False
742,"LO,LU",True,False,False,False,False,False
743,LU,True,True,False,False,False,False
745,LU,True,True,False,False,False,False
746,LU,True,True,False,False,False,False
7467,LO,False,False,False,False,True,False
747,LU,True,True,False,False,False,False
7473,LO,False,False,False,False,True,False
748,LU,True,True,False,False,False,False
749,DLR,False,False,False,True,False,False
750,DLR,False,False,False,True,False,False
751,"LO,LU",True,False,False,False,False,False
752,LU,True,True,False,False,False,False
753,LU,True,True,False,False,False,False
754,LU,True,True,False,False,False,False
755,"LO,LU",True,False,False,False,False,False
756,LU,True,True,False,False,False,False
757,"DLR,LU",True,False,False,False,False,False
758,LU,True,True,False,False,False,False
759,LU,True,True,False,False,False,False
760,LU,True,True,False,False,False,False
761,LU,True,True,False,False,False,False
762,LU,True,True,False,False,False,False
763,"EZL,LO,LU",True,False,False,False,False,False
764,LU,True,True,False,False,False,False
765,LU,True,True,False,False,False,False
766,"LO,LU",True,False,False,False,False,False
767,LU,True,True,False,False,False,False
768,LU,True,True,False,False,False,False
769,LU,True,True,False,False,False,False
770,LU,True,True,False,False,False,False
