lsoa21cd,cluster,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,lnc_grp,imd_score,imd_decile,income_score,employment_score,population_2022,n_source_lsoa11,imd_decile_int,cluster_type,cluster_display
E01003404,3,846.98218,6.742859621420159,-0.0973688017851804,0.0740246860919789,0.0380492184617154,0.1083384783128959,0.7564923673825996,6,6.207,9,0.122,0.048,1871,1,9,Medium activity / continuing,C3: Medium activity / continuing
E01003410,0,444.31272,6.098776776932036,-0.3142726141173721,0.0992859038561849,0.0826419959347551,0.163046596986413,0.7331028258421868,5,22.169,4,0.325,0.145,1644,1,4,Low activity / early-stop,C0: Low activity / early-stop
E01003411,0,222.81573,5.410823079377497,-0.3667276542818588,0.0582316158737985,0.0443480359308564,0.083562861588714,0.6173672853943727,5,18.541,5,0.268,0.12,2065,1,5,Low activity / early-stop,C0: Low activity / early-stop
E01003412,2,277.54974,5.629596643061255,-0.1712789210323165,0.0919341160254735,0.0664412800386698,0.1407110115647961,0.7269874540802113,5,22.821,4,0.317,0.164,1697,1,4,Partial-night transition,C2: Partial-night transition
E01003413,1,1607.6439,7.383146804909467,-0.1942263582127857,0.1647747053934021,0.1089050317672962,0.279614102865489,0.7571977414663621,4,16.382,6,0.248,0.125,2077,1,6,High activity / full-night,C1: High activity / full-night
E01003414,0,427.75625,6.060888575633378,-0.362378130068234,0.1105542233456553,0.0781122192837626,0.1793356894983243,0.7493874366998452,5,15.205,6,0.24,0.122,1747,1,6,Low activity / early-stop,C0: Low activity / early-stop
E01003415,1,1557.48687,7.351470674404498,-0.3345876874069571,0.1397799905690376,0.0800927072983928,0.2345983576611718,0.7692231848570088,4,19.055,5,0.262,0.134,2416,1,5,High activity / full-night,C1: High activity / full-night
E01003416,3,283.31564,5.650085029454772,-0.2205369248234936,0.2050461104088712,0.1570044632904841,0.3553998222535018,0.7222064332049074,5,15.838,6,0.217,0.114,1584,1,6,Medium activity / continuing,C3: Medium activity / continuing
E01003417,3,711.27936,6.568470194009657,0.1373230906067624,0.1494222607556052,0.1167986654357579,0.2362624256718256,0.8642375118010066,5,8.706,8,0.144,0.074,1598,1,8,Medium activity / continuing,C3: Medium activity / continuing
E01003421,2,806.30144,6.693697130122902,-0.4112075503672672,0.0766834547635187,0.0339564567812256,0.1178347541513227,0.664053155685732,6,10.73,8,0.17,0.099,1599,1,8,Partial-night transition,C2: Partial-night transition
E01003422,2,731.80789,6.596883580223355,-0.2112524230915302,0.052336959635677,0.0239855845227358,0.0784216295177829,0.8141159564279905,5,7.799,9,0.105,0.079,1473,1,9,Partial-night transition,C2: Partial-night transition
E01003423,2,1124.9659,7.026396524049231,-0.2309188927415489,0.0477392248067252,0.026643332033442,0.0702640536349771,0.589401600386239,3,6.458,9,0.095,0.06,1664,1,9,Partial-night transition,C2: Partial-night transition
E01003426,3,622.68755,6.4356495218128815,-0.5861085387045236,0.0935672152109031,0.0294250463173705,0.1494474909039067,0.6966897404797555,5,7.241,9,0.124,0.062,1764,1,9,Medium activity / continuing,C3: Medium activity / continuing
E01003427,1,21689.73854,9.98464065303377,0.1971788130185546,0.1292813361870981,0.0788161515569841,0.2170054819632294,0.7610232501804578,4,19.363,5,0.283,0.125,1961,1,5,High activity / full-night,C1: High activity / full-night
E01003428,2,227.68623,5.432350889334106,-0.1778628861306193,0.0448023141320403,0.0310607277392225,0.0625403642162785,0.5609545216730192,5,6.277,9,0.09,0.058,1534,1,9,Partial-night transition,C2: Partial-night transition
E01003430,2,1880.51703,7.539833661281395,-0.3628059832034597,0.0930325688143329,0.0592853657911303,0.1504360792759469,0.7613415274917511,5,34.728,2,0.396,0.21,1630,1,2,Partial-night transition,C2: Partial-night transition
E01003431,2,1362.63856,7.217911817951347,-0.2955543691644832,0.1060617130928688,0.0707915751334675,0.1769271702980104,0.7605496444075833,4,28.478,3,0.383,0.193,1723,1,3,Partial-night transition,C2: Partial-night transition
E01003432,2,142.52883,4.966535920944128,0.3546289547174421,0.2256158982010867,0.2071973087830721,0.3956995103588073,0.792802190117225,5,33.021,3,0.456,0.229,1691,1,3,Partial-night transition,C2: Partial-night transition
E01003433,1,2996.48484,8.005528829340923,-0.2998817507783554,0.1502762817248226,0.0958542276489541,0.2596733139909361,0.736261753612318,4,22.079,4,0.307,0.134,1635,1,4,High activity / full-night,C1: High activity / full-night
E01003435,1,1230.90747,7.116319035753424,-0.2579513551900046,0.2164788958507173,0.1493380489436789,0.3858136356117848,0.7607171264550291,7,17.848,5,0.263,0.11,2177,1,5,High activity / full-night,C1: High activity / full-night
E01003436,2,1064.99488,6.97166380171238,-0.5488176619215297,0.0905159844524323,0.0517649436962551,0.1432501335181535,0.7316657632094647,6,20.929,5,0.263,0.145,1724,1,5,Partial-night transition,C2: Partial-night transition
E01003437,3,743.60055,6.612847900089969,-0.2801778320362995,0.1815425365137236,0.1093439750683347,0.3155791968486199,0.7214588912860668,6,14.306,6,0.187,0.093,2062,1,6,Medium activity / continuing,C3: Medium activity / continuing
E01003438,3,499.08543,6.214778943827285,-0.3697550737956827,0.1457700738729239,0.0920525369774869,0.2283741108295487,0.702321721873258,5,24.908,4,0.327,0.169,1815,1,4,Medium activity / continuing,C3: Medium activity / continuing
E01003439,3,1644.1765,7.40560295227662,0.1250180743977304,0.1159725187654731,0.0582906518856096,0.195313297195527,0.7395066744189336,5,25.298,4,0.319,0.15,1554,1,4,Medium activity / continuing,C3: Medium activity / continuing
E01003440,3,249.9228,5.525145322101401,-0.2416632656164223,0.1072308328811937,0.0726380306238566,0.1559405144109847,0.6951556568552972,5,20.932,5,0.313,0.137,1646,1,5,Medium activity / continuing,C3: Medium activity / continuing
E01003441,3,966.09901,6.8743008790433535,0.1943741873827197,0.1220141090921933,0.0868478169747839,0.1838014683540285,0.6814713622348193,5,24.654,4,0.299,0.142,1911,1,4,Medium activity / continuing,C3: Medium activity / continuing
E01003444,0,179.54985,5.196006916928328,-0.2281986311879403,0.051497787383281,0.0380944901931135,0.0709621068357134,0.7794386939923552,4,5.429,10,0.092,0.04,1628,1,10,Low activity / early-stop,C0: Low activity / early-stop
E01003445,3,818.47323,6.708661731390416,-0.24663774281292,0.0960624210030668,0.053086818734438,0.1479052611967364,0.7008236437804836,5,7.74,9,0.121,0.064,1823,1,9,Medium activity / continuing,C3: Medium activity / continuing
E01003446,1,5785.66427,8.663311285375638,0.0177519616083772,0.0787224471979256,0.0329284592242681,0.1219277969310365,0.7320822611402223,3,14.404,6,0.208,0.1,2011,1,6,High activity / full-night,C1: High activity / full-night
E01003447,3,811.44212,6.700044674743346,-0.1161280609885027,0.1248493238186846,0.0698799687647468,0.1963216263247247,0.7030713763848428,6,26.751,3,0.335,0.174,1610,1,3,Medium activity / continuing,C3: Medium activity / continuing
E01003448,2,436.865,6.081910643689071,-0.1619251256108866,0.120879997253156,0.0953393611298684,0.1828748116648721,0.712363154195032,5,16.404,6,0.251,0.12,2271,1,6,Partial-night transition,C2: Partial-night transition
E01003449,3,741.72525,6.610326191673757,-0.0778440129953779,0.0736760680588937,0.0514635978753588,0.1025782972438894,0.689206245241413,4,17.02,6,0.266,0.115,1891,1,6,Medium activity / continuing,C3: Medium activity / continuing
