,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
balance_11,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,0.08703882797784893,-0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_12,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,0.08006407690254357,-0.9607689228305227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_13,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,0.07412493166611012,-0.9636241116594315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_14,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,0.06900655593423542,-0.9660917830792959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_15,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,0.06454972243679027,-0.9682458365518541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_16,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,0.06063390625908324,-0.9701425001453319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_17,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,0.05716619504750295,-0.9718253158075502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_18,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,0.05407380704358752,-0.9733285267845753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_19,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,0.051298917604257706,-0.9746794344808964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_20,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,0.048795003647426664,-0.9759000729485332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
