lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01002527,True,60.043,retained,1
E01002529,True,891.76189,retained,0
E01002530,True,196.59115,retained,1
E01002533,False,30.07829,at_least_one_direction_below_36,-1
E01002534,False,23.53849,at_least_one_direction_below_36,-1
E01002535,True,1525.10553,retained,0
E01002536,False,25.90032,at_least_one_direction_below_36,-1
E01002537,True,205.08397,retained,3
E01002538,True,119.78998,retained,3
E01002539,True,45.05672,retained,3
E01002540,True,50.60331,retained,2
E01002541,True,307.45254,retained,3
E01002542,True,77.04956,retained,3
E01002543,True,79.80527,retained,3
E01002546,True,138.72323,retained,4
E01002548,True,145.04737,retained,1
E01002549,True,100.90516,retained,3
E01002551,False,7.01761,at_least_one_direction_below_36,-1
E01002552,True,60.99652,retained,1
E01002553,True,212.24764,retained,1
E01002555,True,201.86396,retained,1
E01002557,True,443.2812,retained,1
E01002558,True,556.25541,retained,0
E01002559,True,241.57595,retained,1
E01002560,True,46.7849,retained,1
E01002562,True,236.08001,retained,2
E01002563,True,651.0293,retained,0
E01002564,True,201.94722,retained,3
E01002565,True,1133.36173,retained,0
E01002569,True,171.50342,retained,3
E01002570,True,1122.46837,retained,0
E01002571,True,73.14365000000001,retained,2
E01002572,True,271.75444,retained,3
E01002573,True,570.77586,retained,0
E01002575,True,655.68986,retained,0
E01002576,True,194.52524,retained,3
E01002578,True,309.59446,retained,3
E01002579,False,11.26408,at_least_one_direction_below_36,-1
E01002581,True,294.95925,retained,2
E01002583,True,1234.55812,retained,0
E01002584,True,1445.77067,retained,0
E01002585,True,549.64924,retained,4
E01002587,True,665.01987,retained,0
E01002588,True,630.19056,retained,4
E01002589,True,390.62977,retained,4
E01002590,True,132.55056,retained,1
E01002591,True,55.81474,retained,1
E01002592,True,1503.39956,retained,4
E01002593,True,3333.2644,retained,0
E01002594,True,75.60424,retained,3
E01002595,True,120.5236,retained,3
E01002596,True,132.66172,retained,1
E01002598,False,27.25496,at_least_one_direction_below_36,-1
E01002601,True,78.43884,retained,3
E01002602,True,44.6148,retained,3
E01002603,True,119.71714,retained,1
E01002604,True,64.30921,retained,1
E01002605,True,443.65882,retained,0
E01002606,True,201.77035,retained,1
E01002607,True,916.59206,retained,0
E01002608,True,602.44088,retained,0
E01002609,True,122.55959,retained,3
E01002610,True,51.66689,retained,1
E01002611,True,260.4205,retained,1
E01002612,True,3930.05866,retained,0
E01002613,True,45.19783,retained,1
E01002614,True,920.79567,retained,0
E01002615,True,260.25537,retained,1
E01002616,True,168.38451,retained,3
E01002617,False,24.61168,at_least_one_direction_below_36,-1
E01002618,False,28.80096,at_least_one_direction_below_36,-1
E01002619,True,895.74496,retained,0
E01002620,True,361.79164,retained,1
E01002621,True,122.71924,retained,3
E01002622,True,1206.35718,retained,0
E01002623,True,418.17351,retained,1
E01002624,True,5276.52768,retained,0
E01002626,True,150.27753,retained,3
E01002628,True,919.70059,retained,0
E01002629,True,1045.63869,retained,0
E01002630,True,50.065,retained,3
E01002631,True,267.86801,retained,1
E01002633,True,1099.89495,retained,4
E01002634,True,259.94276,retained,1
E01002635,True,40.97694,retained,3
E01002636,True,161.79512,retained,1
E01002637,True,1280.88264,retained,2
E01002638,True,262.10968,retained,1
E01002639,False,2.49418,at_least_one_direction_below_36,-1
E01002640,True,200.72998,retained,1
E01002641,True,349.84053,retained,3
E01002643,True,493.02244,retained,1
E01002646,True,71.88832,retained,3
E01002649,True,557.25298,retained,0
E01002650,True,434.75363,retained,1
E01002652,True,538.85338,retained,2
E01002653,True,131.05928,retained,3
E01002654,True,71.93988999999999,retained,3
E01002655,True,51.58676,retained,3
E01002657,True,184.9935,retained,1
E01002659,True,58.0291,retained,3
E01002660,False,1.087679999999999,at_least_one_direction_below_36,-1
E01002662,True,1139.15434,retained,0
E01002663,True,433.91079,retained,1
E01002665,True,696.37802,retained,0
E01002666,True,114.15753,retained,4
E01002667,True,271.07115,retained,3
E01002668,True,435.52224,retained,3
E01002669,False,28.83489,at_least_one_direction_below_36,-1
E01002670,True,515.9291,retained,0
E01002671,True,44.2889,retained,3
E01002672,True,229.20204,retained,3
E01002673,False,1.11578,at_least_one_direction_below_36,-1
E01002674,False,27.84031,at_least_one_direction_below_36,-1
E01002675,True,103.11401,retained,3
E01002676,True,207.03374,retained,3
E01002677,True,1382.0973,retained,0
E01002678,True,265.25891,retained,3
E01002679,True,184.35523,retained,3
E01002680,True,122.07012,retained,3
E01002681,True,1099.0976,retained,2
E01002682,True,765.20166,retained,0
E01002686,True,707.33267,retained,0
