lsoa,private_rented_share,social_rented_share
E01000244,0.46006389776357826,0.12619808306709265
E01000245,0.408675799086758,0.3812785388127854
E01000246,0.16485225505443235,0.02177293934681182
E01000247,0.3118131868131868,0.04395604395604396
E01000248,0.2360335195530726,0.07541899441340782
E01000249,0.11147011308562198,0.04038772213247173
E01000250,0.36331877729257644,0.13362445414847163
E01000251,0.391304347826087,0.17296786389413987
E01000252,0.2572877059569075,0.19011406844106463
E01000253,0.11706629055007052,0.015514809590973202
E01000254,0.17851500789889416,0.03317535545023697
E01000255,0.12995245641838352,0.2329635499207607
E01000256,0.23042836041358936,0.07385524372230429
E01000257,0.23574561403508773,0.2905701754385965
E01000258,0.3128205128205128,0.028205128205128206
E01000259,0.30173292558613657,0.06829765545361875
E01000260,0.4064362336114422,0.04410011918951132
E01000261,0.18114874815905743,0.10456553755522828
E01000263,0.07341269841269842,0.003968253968253968
E01000264,0.44677871148459386,0.056022408963585436
E01000265,0.3533246414602347,0.10821382007822686
E01000266,0.10256410256410256,0.0019723865877712033
E01000267,0.21761658031088082,0.025906735751295335
E01000268,0.4667381974248927,0.08369098712446352
E01000269,0.14705882352941177,0.034926470588235295
E01000270,0.26614173228346455,0.048818897637795275
E01000271,0.23127035830618892,0.014657980456026058
E01000272,0.136,0.016
E01000273,0.3535762483130904,0.1417004048582996
E01000274,0.18168812589413447,0.1988555078683834
E01000275,0.362406015037594,0.058646616541353384
E01000276,0.1595959595959596,0.010101010101010102
E01000277,0.4203480589022758,0.2101740294511379
E01000278,0.21272365805168986,0.005964214711729622
E01000279,0.1279527559055118,0.013779527559055118
E01000280,0.11439842209072978,0.011834319526627219
E01000281,0.23047375160051217,0.07554417413572344
E01000282,0.2420749279538905,0.023054755043227664
E01000283,0.10084033613445378,0.012605042016806723
E01000284,0.4145141451414514,0.13776137761377613
E01000285,0.1715686274509804,0.16830065359477125
E01000286,0.18263473053892215,0.3008982035928144
E01000287,0.12438625204582651,0.33878887070376434
E01000288,0.13074204946996468,0.12367491166077739
E01000289,0.13090909090909092,0.5218181818181818
E01000290,0.11578947368421053,0.162406015037594
E01000291,0.08414239482200647,0.4482200647249191
E01000292,0.20916030534351146,0.09312977099236641
E01000293,0.2446958981612447,0.03253182461103253
E01000294,0.2640218878248974,0.16826265389876882
E01000295,0.39814814814814814,0.035493827160493825
E01000296,0.5749674054758801,0.03911342894393742
E01000297,0.3685185185185185,0.06851851851851852
E01000298,0.5068306010928961,0.06284153005464481
E01000299,0.5320088300220751,0.06070640176600441
E01000300,0.31277533039647576,0.0631424375917768
E01000301,0.2641509433962264,0.0018867924528301887
E01000302,0.5387365911799762,0.10727056019070322
E01000303,0.2752808988764045,0.03745318352059925
E01000304,0.42454394693200664,0.04975124378109453
E01000305,0.40735068912710565,0.10719754977029096
E01000306,0.49596122778675283,0.035541195476575124
E01000307,0.32368896925858953,0.1609403254972875
E01000308,0.30552659019812306,0.26903023983315955
E01000309,0.4449152542372881,0.05508474576271186
E01000310,0.5335689045936396,0.12014134275618374
E01000311,0.3179190751445087,0.019267822736030827
E01000312,0.35833333333333334,0.25277777777777777
E01000313,0.5514809590973202,0.09590973201692525
E01000314,0.5761843790012804,0.023047375160051217
E01000315,0.1848341232227488,0.4186413902053712
E01000316,0.40022421524663676,0.1468609865470852
E01000317,0.3516483516483517,0.07535321821036106
E01000318,0.2665615141955836,0.04100946372239748
E01000319,0.19477911646586346,0.05421686746987952
E01000320,0.2908415841584158,0.06311881188118812
E01000321,0.5211097708082026,0.05186972255729795
E01000322,0.45905707196029777,0.07692307692307693
E01000323,0.5992141453831041,0.05697445972495088
E01000324,0.23919753086419754,0.08487654320987655
E01000325,0.05299145299145299,0.020512820512820513
E01000326,0.16574585635359115,0.03867403314917127
E01000327,0.09424920127795527,0.04952076677316294
E01000328,0.08333333333333333,0.06862745098039216
E01000329,0.15933232169954475,0.13960546282245828
E01000330,0.18252933507170796,0.16427640156453716
E01000331,0.08427876823338736,0.2901134521880065
E01000332,0.13866231647634583,0.09135399673735727
E01000333,0.23674475955610358,0.20098643649815043
E01000334,0.15590551181102363,0.05669291338582677
E01000335,0.3952153110047847,0.16555023923444975
E01000336,0.26329113924050634,0.41012658227848103
E01000337,0.2367601246105919,0.14641744548286603
E01000338,0.2952243125904486,0.07091172214182344
