lsoa,dependent_children_share,lone_parent_dependent_share,one_person_share
E01000339,0.34448160535117056,0.08193979933110368,0.2040133779264214
E01000340,0.32643312101910826,0.05573248407643312,0.25
E01000341,0.2848,0.048,0.2368
E01000342,0.304552590266876,0.04866562009419152,0.29199372056514916
E01000343,0.3709677419354839,0.05913978494623656,0.2222222222222222
E01000344,0.3322884012539185,0.06426332288401254,0.2507836990595611
E01000345,0.32515337423312884,0.04703476482617587,0.1574642126789366
E01000346,0.33818770226537215,0.0372168284789644,0.22815533980582525
E01000347,0.3094098883572568,0.06539074960127592,0.30462519936204147
E01000348,0.34285714285714286,0.02666666666666667,0.14095238095238094
E01000349,0.3439878234398782,0.045662100456621,0.2161339421613394
E01000350,0.34990439770554493,0.040152963671128104,0.16634799235181644
E01000351,0.32532051282051283,0.04006410256410257,0.20032051282051283
E01000352,0.33383458646616543,0.0962406015037594,0.3037593984962406
E01000353,0.2545731707317073,0.021341463414634148,0.22713414634146342
E01000354,0.32172470978441126,0.07960199004975124,0.26865671641791045
E01000355,0.235,0.03166666666666667,0.24333333333333335
E01000356,0.3052464228934817,0.02384737678855326,0.2702702702702703
E01000357,0.373469387755102,0.03469387755102041,0.17346938775510204
E01000358,0.3066465256797583,0.054380664652567974,0.24622356495468278
E01000359,0.2762096774193548,0.03024193548387097,0.2056451612903226
E01000360,0.33246753246753247,0.08051948051948052,0.274025974025974
E01000361,0.34557595993322204,0.05843071786310518,0.19699499165275458
E01000362,0.28865979381443296,0.07474226804123711,0.2963917525773196
E01000363,0.3350970017636684,0.05291005291005291,0.20282186948853614
E01000364,0.3552833078101072,0.05053598774885146,0.2557427258805513
E01000365,0.32581100141043723,0.08321579689703808,0.3215796897038082
E01000366,0.3378995433789954,0.0471841704718417,0.2572298325722983
E01000367,0.44291091593475534,0.16311166875784192,0.23588456712672523
E01000368,0.421474358974359,0.14903846153846154,0.22275641025641027
E01000369,0.3184713375796178,0.05732484076433121,0.2085987261146497
E01000370,0.27129337539432175,0.02365930599369085,0.277602523659306
E01000371,0.35714285714285715,0.06825396825396825,0.21587301587301588
E01000372,0.37457627118644066,0.10338983050847457,0.21016949152542372
E01000373,0.5152173913043478,0.15217391304347827,0.2391304347826087
E01000374,0.4608030592734226,0.13001912045889102,0.18738049713193117
E01000375,0.39668367346938777,0.09183673469387756,0.2181122448979592
E01000376,0.3741830065359477,0.07679738562091504,0.23529411764705882
E01000377,0.29141104294478526,0.06441717791411043,0.3113496932515337
E01000379,0.33482810164424515,0.0687593423019432,0.2436472346786248
E01000380,0.19933554817275748,0.07419712070874862,0.46511627906976744
E01000381,0.330804248861912,0.11532625189681335,0.27617602427921095
E01000382,0.3321976149914821,0.03747870528109029,0.20272572402044292
E01000383,0.2763578274760383,0.04153354632587859,0.23482428115015974
E01000384,0.31390728476821195,0.07019867549668875,0.343046357615894
E01000385,0.4023136246786632,0.16838046272493573,0.2750642673521851
E01000386,0.30495356037151705,0.12848297213622292,0.3606811145510836
E01000387,0.2861736334405145,0.03697749196141479,0.25562700964630225
E01000388,0.287375415282392,0.03156146179401993,0.24750830564784054
E01000389,0.29014084507042254,0.059154929577464786,0.31690140845070425
E01000390,0.32815533980582523,0.04466019417475728,0.24660194174757283
