NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
561,0.7290628677429541,0.7332067102174126,0.691189207268599,4,Ealing Common,7314.526526185192,8.897754289836548
562,0.9655753231799572,0.9923582813236053,0.9105669707739432,4,Earl's Court,70999.69496298899,11.170444944186661
563,0.7685827330679543,0.801647856538724,0.7664129283239438,4,East Acton,13792.35253197136,9.531942054508514
564,0.6356936924107709,0.6409662034027218,0.6342497340977351,0,Eastcote,7595.216539242865,8.935405578535189
565,0.6929426474529822,0.7170134877083476,0.7081037402408495,4,East Finchley,21695.4179606673,9.984902454965853
566,0.8003262284197267,0.8050094263670721,0.7871332021819484,4,East Ham,44681.4237408,10.707335498372538
567,0.714233645577542,0.7171034998606095,0.707331821354155,4,East Putney,24259.95488002399,10.096623541988244
568,0.8250841582347538,0.8691787691568094,0.8557109094214843,4,Edgware,14952.379218758932,9.612692587976433
569,0.8277353829939386,0.8295314434747226,0.7994547933647327,2,Edgware Road (DIS),22092.722980753628,10.003048819142048
570,0.9931446578696926,0.9943966822754406,0.899900594960284,4,Elephant & Castle LU,64606.222333483965,11.076081484349372
571,0.63038618736029,0.6302530178590592,0.6357001694463978,0,Elm Park,8844.349167079594,9.087647082024963
572,0.9391900071243686,0.9547319301070245,0.9057244993903408,0,Epping,11854.947344342305,9.380584906259331
573,0.7908215013225653,0.7956718986435588,0.7788628151835563,3,Woolwich Arsenal,28539.50551276572,10.259079603304437
574,0.9856185278950369,0.9916892543868514,0.9267030228676275,2,Euston LU,183434.26864818635,12.119617124832097
575,0.6562920564647743,0.6567862509008039,0.6597651459083511,2,Euston Square,37237.470997756456,10.525097672485705
576,0.5745858607614912,0.6030143899355935,0.5856461695837152,0,Fairlop,3517.6339655845068,8.165828115311458
577,0.49402329804696765,0.4944210467755402,0.4997512958187373,2,Farringdon,128582.01011248946,11.764329967846992
578,0.7201578231756958,0.7470012350816229,0.7470648420450671,4,Finchley Central,20716.95751184911,9.93875611583156
579,0.756020867030536,0.7807122036417433,0.7505734914618674,4,Finchley Road,29612.932551995447,10.296000223894497
