lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01003886,True,589.32624,retained,2
E01003887,True,359.02341,retained,2
E01003888,True,1633.2461,retained,2
E01003889,False,15.27037,at_least_one_direction_below_36,-1
E01003890,True,126.43743,retained,-1
E01003891,True,486.46667,retained,6
E01003893,True,917.99098,retained,2
E01003894,True,384.72797,retained,0
E01003895,True,334.4932,retained,6
E01003896,True,1302.72874,retained,2
E01003897,True,1209.46605,retained,2
E01003898,True,183.79291,retained,0
E01003899,True,175.79377,retained,6
E01003900,True,591.72043,retained,6
E01003903,True,219.30904,retained,6
E01003904,True,143.28333,retained,-1
E01003905,True,590.77163,retained,6
E01003906,True,58.50038,retained,-1
E01003907,False,8.376249999999999,at_least_one_direction_below_36,-1
E01003908,False,6.714639999999999,at_least_one_direction_below_36,-1
E01003909,True,137.36306,retained,-1
E01003911,True,2272.0811,retained,2
E01003912,True,452.50961,retained,1
E01003916,True,1002.13456,retained,1
E01003919,True,2372.12546,retained,2
E01003920,True,2594.24555,retained,1
E01003921,True,5383.85033,retained,2
E01003922,True,7871.66622,retained,2
E01003924,True,1127.68323,retained,2
E01003926,True,147.95318,retained,1
E01003929,True,530.43106,retained,4
E01003930,True,1294.40286,retained,2
E01003932,True,19742.34348,retained,2
E01003933,True,9605.59654,retained,2
E01003934,True,933.8268,retained,4
E01003936,True,152.76225,retained,-1
E01003938,True,138.88829,retained,0
E01003939,True,3261.60522,retained,4
E01003941,True,1685.17446,retained,2
E01003942,True,1107.46919,retained,2
E01003945,True,134.64624,retained,6
E01003946,True,702.03588,retained,1
E01003947,True,86.93918,retained,-1
E01003948,True,354.20796,retained,5
E01003949,True,913.21753,retained,2
E01003950,True,980.07619,retained,2
E01003951,True,378.71027,retained,6
E01003952,True,1210.5036,retained,6
E01003953,True,1567.84838,retained,2
E01003954,True,87.00536,retained,-1
E01003955,True,191.58346,retained,6
E01003957,True,197.31979,retained,1
E01003958,True,731.41185,retained,6
E01003960,True,1379.23956,retained,2
E01003961,True,3902.3833,retained,2
E01003966,True,4746.28548,retained,2
E01003969,True,3778.05572,retained,2
E01003975,True,125.43613,retained,-1
E01003976,True,591.3379199999999,retained,2
E01003977,True,234.66343,retained,1
E01003979,True,575.08026,retained,2
E01003980,True,58.23945,retained,-1
E01003981,True,2782.5377200000003,retained,2
E01003983,True,174.89592,retained,1
E01003984,True,2566.88032,retained,2
E01003986,True,379.75876,retained,1
E01003987,True,37.363,retained,-1
E01003988,False,0.0,at_least_one_direction_below_36,-1
E01003989,True,1956.16673,retained,2
E01003990,True,370.24899,retained,1
E01003991,False,10.65411,at_least_one_direction_below_36,-1
E01003993,True,388.77906,retained,1
E01003994,True,2590.56104,retained,2
E01003997,False,21.28067,at_least_one_direction_below_36,-1
E01003999,True,45.48591,retained,-1
E01004000,True,182.84574,retained,0
E01004001,True,317.39129,retained,0
E01004002,True,75.25502,retained,-1
E01004003,True,49.68326,retained,-1
E01004004,True,756.05391,retained,1
E01004005,True,1762.53599,retained,2
E01004008,True,1195.97572,retained,2
E01004010,True,6289.4169,retained,2
E01004012,True,259.65424,retained,1
E01004013,True,1371.84138,retained,2
E01004014,True,721.7707399999999,retained,1
E01004015,True,1123.99452,retained,6
E01004016,True,294.96466,retained,6
E01004017,True,400.72414,retained,6
E01004018,True,116.44484,retained,-1
E01004019,True,92.455,retained,-1
E01004020,True,484.37766,retained,6
E01004021,True,177.74474,retained,0
E01004023,True,1693.77894,retained,2
E01004024,True,150.66929,retained,0
E01004028,True,959.65075,retained,2
E01004031,True,6449.72141,retained,2
E01004033,True,353.82888,retained,6
E01004034,True,323.59523,retained,1
E01004035,True,259.94453,retained,6
E01004036,True,132.67283,retained,3
E01004037,True,542.30327,retained,1
E01004038,True,128.20354,retained,-1
E01004040,True,286.75469,retained,0
E01004042,True,1068.5106,retained,2
E01004044,True,84.81348,retained,-1
E01004045,False,28.3132,at_least_one_direction_below_36,-1
E01004046,True,184.09249,retained,-1
E01004047,True,633.8551,retained,1
E01004048,True,1152.93199,retained,2
E01004049,True,316.44424,retained,1
E01004050,True,103.67859,retained,-1
E01004051,True,1763.61605,retained,6
E01004052,True,438.41699,retained,1
E01004053,True,259.50754,retained,6
E01004054,True,47.84107,retained,-1
E01004055,True,59.70373,retained,-1
E01004056,True,292.68377,retained,6
E01004057,True,181.10292,retained,6
E01004059,True,418.88319,retained,5
E01004060,True,1092.38435,retained,5
E01004061,False,18.18716,at_least_one_direction_below_36,-1
E01004062,True,3418.85317,retained,2
E01004063,True,2847.47033,retained,2
E01004064,True,1537.54703,retained,2
E01004067,True,8019.76973,retained,2
E01004069,True,282.52205,retained,6
E01004070,True,468.15268,retained,6
E01004071,True,208.07351,retained,6
E01004072,True,389.56134,retained,6
E01004073,True,157.67992999999998,retained,-1
E01004074,True,1069.23328,retained,2
E01004075,True,62.38404,retained,-1
E01004076,True,414.90214,retained,0
E01004077,True,338.81924,retained,0
E01004078,False,19.80227,at_least_one_direction_below_36,-1
E01004080,True,64.79406,retained,-1
E01004081,False,8.79508,at_least_one_direction_below_36,-1
E01004083,True,189.29592,retained,0
E01004084,True,38.3008,retained,-1
E01004085,False,0.10834,at_least_one_direction_below_36,-1
E01004086,True,577.27753,retained,6
E01004087,True,88.26298,retained,-1
E01004088,True,262.50979,retained,0
E01004090,True,431.42017,retained,0
E01004091,True,96.98611,retained,-1
E01004092,False,1.05337,at_least_one_direction_below_36,-1
E01004094,True,200.84701,retained,0
E01004095,False,24.60613,at_least_one_direction_below_36,-1
E01004096,False,1.42976,at_least_one_direction_below_36,-1
E01004097,True,76.72036,retained,-1
E01004098,True,185.67465,retained,0
E01004099,True,1644.98016,retained,2
E01004100,True,76.68884,retained,-1
E01004101,True,132.39408,retained,-1
E01004103,True,138.68541,retained,0
E01004105,True,115.46689,retained,-1
