unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,catchment_area_m2,station_in_loac_extent,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share,covered_area_m2,loac_coverage_ratio,analysis_eligible,dominant_loac_supergroup
516,4,1.0,3.519342816402856e-48,Barons Court,LU,True,524045.7583,178327.6646,-0.2146840501234848,51.49029837209941,Barons Court,underground_stations_csv,20384.78428750208,844102.373359655,True,0.19047619047619047,0.25396825396825395,0.0,0.4444444444444444,0.09523809523809523,0.015873015873015872,0.0,844102.3733596625,1.0000000000000089,True,D
517,2,0.9999998623075138,2.3129938375330883e-06,Bayswater,LU,True,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448,Bayswater,underground_stations_csv,16717.59432058,430477.21646151354,True,0.19607843137254902,0.058823529411764705,0.0,0.6666666666666666,0.0784313725490196,0.0,0.0,430477.2164615088,0.999999999999989,True,D
518,0,1.0,5.984793811844099e-22,Becontree,LU,True,547627.5438,184527.341,0.1273417848283317,51.54034470776378,Becontree,underground_stations_csv,10009.01991756841,1958219.6117049828,True,0.0,0.0,0.01639344262295082,0.0,0.03278688524590164,0.9508196721311476,0.0,1958219.611704993,1.0000000000000053,True,F
519,4,1.0,4.446538536891205e-36,Belsize Park,LU,True,527353.7983,185088.897399999,-0.1646209868164118,51.55032570077621,Belsize Park,underground_stations_csv,18062.861970411308,872100.2273330617,True,0.4492753623188406,0.08695652173913043,0.0,0.2898550724637681,0.15942028985507248,0.014492753623188406,0.0,872100.2273330692,1.0000000000000084,True,A
520,4,1.0,4.616330342607626e-16,Bethnal Green LU,"LO,LU",True,535043.5417,182718.410700001,-0.0546903019258305,51.527237667207054,Bethnal Green,underground_stations_csv,53180.23618422369,878428.8796823147,True,0.013888888888888888,0.1111111111111111,0.0,0.19444444444444442,0.6805555555555555,0.0,0.0,878428.8796823428,1.000000000000032,True,E
521,2,1.0,1.614384627326933e-40,Blackfriars LU,LU,True,531693.8776,180893.0855,-0.103629638137254,51.51162476747557,Blackfriars,underground_stations_csv,35737.95363923861,526642.6124917677,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,347070.748147902,0.659025190737537,True,D
522,4,1.0,9.308624854835271e-42,Blackhorse Road,"LO,LU",True,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,Blackhorse Road,underground_stations_csv,40149.85087683648,1565022.7332747476,True,0.06976744186046512,0.37209302325581395,0.09302325581395349,0.13953488372093023,0.11627906976744186,0.20930232558139533,0.0,1565022.7332747472,0.9999999999999997,True,B
523,3,0.98080731341128,0.0948803444759231,King George V,DLR,False,543247.0,180125.0,0.06243,51.501915,King George V.,naptan_rse_tmu,5855.107481398567,1118450.869910721,True,0.0,0.1111111111111111,0.0,0.0,0.5,0.38888888888888884,0.0,782172.2504739524,0.6993353677988452,True,E
524,1,0.999999864794072,2.2736884563368938e-06,Bond Street,"EZL,LU",True,528490.674,181117.635,-0.1496811425789451,51.51437958002913,Bond Street,underground_stations_csv,153076.62950538774,569193.8607293953,True,0.29166666666666663,0.0,0.0,0.6666666666666666,0.041666666666666664,0.0,0.0,569193.8607294312,1.000000000000063,True,D
525,2,1.0,1.3427630956386694e-27,Borough,LU,True,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,Borough,underground_stations_csv,17856.609618220005,833716.7040598297,True,0.015384615384615385,0.1076923076923077,0.0,0.38461538461538464,0.47692307692307695,0.015384615384615385,0.0,833716.7040598263,0.999999999999996,True,E
526,4,1.0,1.7880817714987344e-38,Boston Manor,LU,True,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,Boston Manor,underground_stations_csv,4990.382503890155,1750049.5930790636,True,0.30434782608695654,0.08695652173913043,0.08695652173913043,0.0,0.0,0.043478260869565216,0.4782608695652174,1750049.593079065,1.0000000000000009,True,G
527,4,1.0,1.2438359341970448e-29,Bounds Green,LU,True,529984.4864,191469.272600001,-0.124341977871115,51.60706378685743,Bounds Green,underground_stations_csv,17652.05632646356,1837281.0780255897,True,0.06944444444444445,0.4861111111111111,0.041666666666666664,0.0,0.16666666666666666,0.1388888888888889,0.09722222222222221,1837281.078025581,0.9999999999999953,True,B
528,4,1.0,1.235156395148604e-26,Bow Road,LU,True,537089.8973,182735.951300001,-0.0252032121690731,51.526902665586434,Bow Road,underground_stations_csv,18998.70603240848,577113.1952672513,True,0.04081632653061224,0.24489795918367346,0.0,0.14285714285714285,0.5102040816326531,0.061224489795918366,0.0,577113.1952672227,0.9999999999999504,True,E
529,4,1.0,1.9118205572875908e-19,Brent Cross,LU,True,523873.7006,187934.037,-0.2137847584215133,51.57666898367216,Brent Cross,underground_stations_csv,6647.912770347756,1793474.5471181367,True,0.0,0.2,0.22222222222222224,0.0,0.06666666666666667,0.11111111111111112,0.4,1793474.5471181213,0.9999999999999915,True,G
530,4,1.0,7.869529431236648e-47,Bromley-by-Bow,LU,True,538049.5634,182523.513599999,-0.0114614594625467,51.52476012571751,Bromley-by-Bow,underground_stations_csv,15791.65384053436,783554.2121903172,True,0.0,0.0,0.0,0.25,0.5625,0.1875,0.0,728692.0983867227,0.9299830018777705,True,E
5301,2,1.0,8.305485251327713e-21,Clapham High Street,LO,False,529858.0,175666.0,-0.13199,51.46508,Clapham High Street,naptan_rse_tmu,6695.503285024164,314000.8794430431,True,0.25806451612903225,0.3870967741935484,0.0,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.0,314000.879443032,0.9999999999999648,True,B
531,0,1.0,5.150938342402646e-15,Buckhurst Hill,LU,True,541777.5666,193891.179,0.0468240751565627,51.625982897027,Buckhurst Hill,underground_stations_csv,8184.041335866071,1755887.3278828822,False,,,,,,,,,,False,
532,0,1.0,1.6498970064919864e-12,Burnt Oak,LU,True,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,Burnt Oak,underground_stations_csv,11079.60218075326,1853481.6077304112,True,0.0,0.0,0.328125,0.015625,0.109375,0.546875,0.0,1853481.607730415,1.000000000000002,True,F
533,2,1.0,7.667250636019541e-19,London City Airport,DLR,False,542325.0,180248.3333333333,0.04921,51.503256666666665,London City Airport,naptan_rse_tmu,10490.789808579248,956538.0429549342,True,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,656378.5445815286,0.6862022367179942,True,F
534,4,1.0,1.0360787387256915e-40,Caledonian Road,LU,True,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,Caledonian Road,underground_stations_csv,17030.47117498809,947829.0526123658,True,0.029850746268656716,0.3582089552238806,0.0,0.13432835820895522,0.43283582089552236,0.04477611940298507,0.0,947829.0526123517,0.9999999999999851,True,E
5345,4,1.0,1.596851306368885e-28,New Cross Gate,LO,False,536189.0,176946.0,-0.04041,51.47509,New Cross Gate Station,naptan_rse_tmu,24782.55247365713,1180639.8701463053,True,0.0,0.5454545454545454,0.0,0.03636363636363636,0.21818181818181817,0.19999999999999998,0.0,1180639.8701463162,1.0000000000000093,True,B
