NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit,easting,northing,lon,lat,coord_source,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
531,8184.041335866072,9.010063539989924,-0.5276630535929537,0.133686914103308,0.0386319872284676,0.0402474127016841,0.0201872179988708,0.0563178473383104,0.7563627752523807,low,0,Buckhurst Hill,LU,1932.812546926012,6251.228788940059,541777.5666,193891.179,0.0468240751565627,51.625982897027,underground_stations_csv,1755887.3278828822,False,,,,,,,,,,False,,,no LNWC-covered catchment area
532,11079.602180753254,9.312951307267886,-0.5737657118538597,0.1331604218270414,0.0400215580075503,0.0530685901595862,0.0242438113911074,0.0580050158154733,0.6955221696539434,medium,0,Burnt Oak,LU,2361.2531742278943,8718.349006525365,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,underground_stations_csv,1853481.6077304112,True,0.0,0.07245769835928366,0.09995487306628968,0.5515637730488486,0.27602365552557806,0.0,0.0,1853481.6077304245,1.000000000000007,True,4,0.5672816316702711,
533,10490.78980857925,9.258348307291929,-0.1712988653406169,0.0803560281099513,0.028460959330188,0.0043643684951953,0.0024990950491574,0.0408577895778117,0.6490830363354395,medium,2,London City Airport,DLR,4346.864708921357,6143.925099657891,542325.0,180248.3333333333,0.04921,51.503256666666665,naptan_rse_tmu,956538.0429549342,True,0.0,0.0,0.5484358261814735,0.056886372896820664,0.39467780092170596,0.0,0.0,736351.4942611562,0.7698088954062104,True,3,0.4416645632494851,
534,17030.471174988088,9.74281815718265,-0.2542732856456445,0.1521823976641457,0.0392486695975309,0.0632732031593431,0.0297138147375323,0.0625644888144811,0.7897634269784524,medium,4,Caledonian Road,LU,6350.038656615217,10680.432518372874,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,underground_stations_csv,947829.0526123658,True,0.0,0.996903273727453,0.0030967262725470073,0.0,0.0,0.0,0.0,947829.0526123494,0.9999999999999827,True,2,0.010783120217718007,
535,87890.99312374103,11.383863988781831,0.2017742593917245,0.1855416303751487,0.0383046184667978,0.0944151391049392,0.0544350226949009,0.06158843753649,1.4045596788438537,high,3,Camden Town,LU,52812.566584243534,35078.42653949754,528910.2525,183893.5725,-0.1426229702612466,51.53923059833878,underground_stations_csv,581691.3732109546,True,0.6205643346425591,0.3446888995249908,0.011630531897845315,0.0002527148264393424,0.0,0.022863519108165253,0.0,581691.3732109369,0.9999999999999696,True,1,0.41291749761459234,
536,13879.225486608,9.538220479361692,0.1531125058406525,0.0889506715161611,0.0227447852133994,0.0008173009856948,0.0005684430434257,0.0312200345392108,0.3488564116147304,medium,1,Cannon Street LU,LU,8002.154239995004,5877.071246613001,532611.4757,180900.064999999,-0.0904119205678546,51.511473069259,underground_stations_csv,244434.7825794189,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201900.48643292257,0.8259891833001443,True,1,-0.0,
537,8646.437054414157,9.06501826173472,-0.5658621081117423,0.1474115889760925,0.0434173531443122,0.0633608764288101,0.0301243160009107,0.0639794085781108,0.7305764873183377,medium,4,Canons Park,LU,1876.8729775739384,6769.564076840213,518186.8967,191252.07,-0.2946941062058866,51.60770907048488,underground_stations_csv,1966085.0343725425,True,0.0,0.0,0.0,0.2296598755022666,0.6056462740673472,0.16469385043038626,0.0,1966085.0343725423,0.9999999999999999,True,5,0.4823579398914824,
538,12189.223321612755,9.40838954237418,-0.3543130431711687,0.1491817297939343,0.0555655435491313,0.0092383263815757,0.0055119621981623,0.0881981318458158,0.7876915875732416,medium,4,Pontoon Dock,DLR,3935.21125631958,8254.012065293178,541229.0,180131.0,0.03338,51.50248,naptan_rse_tmu,1034929.6903462627,True,0.0,0.0,0.34812785566457366,0.4484488067583521,0.0,0.20342333757707431,0.0,743002.6672238654,0.717925743318152,True,4,0.5400673591705574,
539,5219.506636796215,8.560349733024484,-0.5458300166034612,0.1397009458007177,0.0480616990016056,0.0164974520749036,0.009498821198488,0.075439324768385,0.6804428592251364,low,0,Chalfont & Latimer,LU,1185.2716212859305,4034.235015510285,499633.5338,197564.355,-0.5607234520464773,51.66803142622906,underground_stations_csv,2007391.033949385,False,,,,,,,,,,False,,,no LNWC-covered catchment area
540,23358.99228246096,10.058780106568006,0.000548775495054,0.1573155015286391,0.0334515025629622,0.0358982695406826,0.0173031219388876,0.0560993262544855,0.8612796254755544,high,1,Chalk Farm,LU,11685.905562507362,11673.086719953588,528202.4569,184390.607000001,-0.1526421476691667,51.54385835909765,underground_stations_csv,1019027.9327281736,True,0.1607194429604522,0.5096090993831375,0.025256728211307814,0.1442546094073498,0.14156270774793772,0.018597412289814937,0.0,1019027.9327282018,1.0000000000000278,True,2,0.6991173109995856,
