lsoa,direction,TV_alpha0_alpha5
E01000713,boardings,0.0502837102972943
E01000714,boardings,0.00021043367778956996
E01000715,boardings,0.004415949221179082
E01000716,boardings,0.022676959918693472
E01000717,boardings,0.008797080999945937
E01000718,boardings,0.012110150038654661
E01000719,boardings,0.02098904114996184
E01000721,boardings,0.06846119651463906
E01000722,boardings,0.0013598295261093689
E01000724,boardings,0.05278134949769261
E01000727,boardings,0.002193193267849188
E01000728,boardings,0.013988937511864946
E01000730,boardings,0.0007039434068637209
E01000731,boardings,0.03865540858741349
E01000732,boardings,0.03518369219063897
E01000734,boardings,0.08682456620530318
E01000735,boardings,0.006618262081543506
E01000736,boardings,0.0218319420381925
E01000737,boardings,0.009030200589361779
E01000738,boardings,0.0035837679396075552
E01000739,boardings,0.04716129847647002
E01000741,boardings,0.0005539981249342496
E01000742,boardings,0.02995214946041829
E01000743,boardings,0.000580817273624043
E01000744,boardings,0.002822506405466242
E01000745,boardings,0.0017788153316341646
E01000747,boardings,0.013881034731252073
E01000749,boardings,0.10311960504469622
E01000751,boardings,0.002853555445277043
E01000752,boardings,0.006866196035512886
E01000753,boardings,0.02784995882438031
E01000754,boardings,0.0014338707880772097
E01000755,boardings,0.0132205913281262
E01000756,boardings,0.0008019911621176437
E01000757,boardings,0.011475538319423021
E01000760,boardings,0.0029017904473730284
E01000761,boardings,0.029790470350281425
E01000762,boardings,0.010297249922113325
E01000763,boardings,0.0066476239099614275
E01000765,boardings,0.0010608100323556851
E01000766,boardings,0.02669214138104659
E01000767,boardings,0.001910374079538296
E01000768,boardings,0.057896472893508424
E01000769,boardings,0.009132235485758769
E01000770,boardings,0.004432426853226776
E01000771,boardings,0.0027957651256302557
E01000772,boardings,0.01823925972982656
E01000773,boardings,0.027851576425109024
E01000774,boardings,0.019810570625795287
E01000775,boardings,0.001684520310399877
E01000777,boardings,0.00810245214918664
E01000778,boardings,0.0029672881493882954
E01000779,boardings,0.0034957227084355174
E01000780,boardings,0.008086008136096317
E01000781,boardings,0.00207172724258888
E01000782,boardings,0.01290128916569415
E01000784,boardings,0.019529155890705852
E01000785,boardings,0.026366046477169655
E01000787,boardings,0.020856262114148448
E01000788,boardings,0.0012000930080555464
E01000789,boardings,0.010437424455241637
E01000790,boardings,0.00011375256698735638
E01000791,boardings,0.016510329217459385
E01000792,boardings,0.07385578270291368
E01000794,boardings,0.016833486008958277
E01000795,boardings,0.02597398406201163
E01000797,boardings,0.006193663766372479
E01000798,boardings,0.003977380774086893
E01000799,boardings,0.00010947592781823169
E01000801,boardings,0.0019622567127790904
E01000802,boardings,0.002311561792469582
E01000803,boardings,0.026261694794280477
E01000805,boardings,0.002803552006716616
E01000806,boardings,0.0002709348797588732
