K,replicate,base_cluster,matched_jaccard
6,18,4,0.7704706640876854
6,18,5,0.4127144298688194
6,19,0,0.827046918123275
6,19,1,0.3140096618357488
6,19,2,0.5127118644067796
6,19,3,0.010169491525423728
6,19,4,0.8962203715566944
6,19,5,0.47362514029180697
6,20,0,0.7787828947368421
6,20,1,0.44534412955465585
6,20,2,0.5657370517928287
6,20,3,0.2755102040816326
6,20,4,0.8286399041342121
6,20,5,0.3637640449438202
7,1,0,0.24796747967479674
7,1,1,0.0010384215991692627
7,1,2,0.6507692307692308
7,1,3,0.2737306843267108
7,1,4,0.40454545454545454
7,1,5,0.46184738955823296
7,1,6,0.7159400544959128
7,2,0,0.3165829145728643
7,2,1,0.03792415169660679
7,2,2,0.7129551227773073
7,2,3,0.27380952380952384
7,2,4,0.29559748427672955
7,2,5,0.4393939393939394
7,2,6,0.6641269841269841
7,3,0,0.0
7,3,1,0.3409549428379287
7,3,2,0.47842401500938087
7,3,3,0.2721311475409836
7,3,4,0.06276150627615062
7,3,5,0.40476190476190477
7,3,6,0.6462540716612378
7,4,0,0.3
7,4,1,0.4848746758859118
7,4,2,0.7919340054995417
7,4,3,0.3055555555555556
7,4,4,0.25142857142857145
7,4,5,0.4869109947643979
7,4,6,0.7640871525169046
7,5,0,0.20754716981132076
7,5,1,0.0
7,5,2,0.7053497942386832
7,5,3,0.36674816625916873
7,5,4,0.21839080459770116
7,5,5,0.36693548387096775
7,5,6,0.6400499064254522
7,6,0,0.1382636655948553
7,6,1,0.09246575342465753
7,6,2,0.6325503355704698
7,6,3,0.40226628895184136
7,6,4,0.16019417475728157
7,6,5,0.4864864864864865
7,6,6,0.6598596043395022
7,7,0,0.22760290556900725
7,7,1,0.09980430528375733
7,7,2,0.7834960070984915
7,7,3,0.41721854304635764
7,7,4,0.033783783783783786
7,7,5,0.41517857142857145
7,7,6,0.6319358816276203
7,8,0,0.23037974683544304
7,8,1,0.0
7,8,2,0.7880851063829787
7,8,3,0.25483870967741934
7,8,4,0.14432989690721648
7,8,5,0.3413654618473896
7,8,6,0.6007067137809188
7,9,0,0.16923076923076924
7,9,1,0.2980072463768116
7,9,2,0.8178438661710037
7,9,3,0.34459459459459457
7,9,4,0.2634146341463415
7,9,5,0.40772532188841204
7,9,6,0.6427209154481882
7,10,0,0.3815261044176707
7,10,1,0.5262711864406779
7,10,2,0.7850045167118338
7,10,3,0.0
7,10,4,0.07373271889400922
7,10,5,0.3886792452830189
7,10,6,0.7372549019607844
7,11,0,0.22797927461139897
7,11,1,0.6173604960141719
7,11,2,0.8037661050545094
7,11,3,0.4740932642487047
7,11,4,0.3583815028901734
7,11,5,0.5
7,11,6,0.8394342762063228
7,12,0,0.2
7,12,1,0.29770992366412213
7,12,2,0.7736013986013986
7,12,3,0.4717607973421927
7,12,4,0.22302158273381295
7,12,5,0.44398340248962653
7,12,6,0.6683804627249358
7,13,0,0.25
7,13,1,0.0
7,13,2,0.7470784641068448
7,13,3,0.33638443935926776
7,13,4,0.2645739910313901
7,13,5,0.28761061946902655
7,13,6,0.6277915632754343
7,14,0,0.17407407407407408
7,14,1,0.4152847873107426
7,14,2,0.4526710402999063
7,14,3,0.30641330166270786
7,14,4,0.0374331550802139
7,14,5,0.4845360824742268
7,14,6,0.7959814528593508
7,15,0,0.20987654320987653
7,15,1,0.4356955380577428
7,15,2,0.7095238095238096
7,15,3,0.030136986301369864
7,15,4,0.08881578947368421
7,15,5,0.4055299539170507
7,15,6,0.7126839523475823
7,16,0,0.0
7,16,1,0.017311608961303463
7,16,2,0.73960983884648
7,16,3,0.2730318257956449
7,16,4,0.23170731707317074
7,16,5,0.49356223175965663
7,16,6,0.6404907975460122
7,17,0,0.23616236162361623
7,17,1,0.007944389275074478
7,17,2,0.5540448674371176
7,17,3,0.3882978723404255
7,17,4,0.1956521739130435
7,17,5,0.37433155080213903
7,17,6,0.7074966532797858
7,18,0,0.23383084577114427
7,18,1,0.2746543778801843
7,18,2,0.7391304347826086
7,18,3,0.5154061624649859
7,18,4,0.10144927536231885
7,18,5,0.44654088050314467
7,18,6,0.7256574271499645
7,19,0,0.3107569721115538
7,19,1,0.3512476007677543
7,19,2,0.3185328185328185
7,19,3,0.456359102244389
7,19,4,0.310126582278481
7,19,5,0.3905325443786982
7,19,6,0.7839272175890827
7,20,0,0.23076923076923078
7,20,1,0.23748939779474132
7,20,2,0.793418647166362
7,20,3,0.0
7,20,4,0.10674157303370786
7,20,5,0.305019305019305
7,20,6,0.6066084788029925
8,1,0,0.17557251908396945
8,1,1,0.6335282651072125
8,1,2,0.42105263157894735
8,1,3,0.22922636103151864
8,1,4,0.2893481717011129
8,1,5,0.45559105431309904
8,1,6,0.0
8,1,7,0.3053097345132743
8,2,0,0.22727272727272727
8,2,1,0.6275659824046921
8,2,2,0.40331491712707185
8,2,3,0.3428246013667426
8,2,4,0.08229426433915212
8,2,5,0.4653401797175867
8,2,6,0.007194244604316547
8,2,7,0.31125827814569534
8,3,0,0.15517241379310345
8,3,1,0.6751863684771033
8,3,2,0.44
8,3,3,0.47559591373439275
8,3,4,0.24782608695652175
8,3,5,0.005291005291005291
8,3,6,0.4392782789729355
8,3,7,0.08333333333333333
8,4,0,0.3076923076923077
8,4,1,0.6907829534192269
8,4,2,0.43842364532019706
8,4,3,0.3054263565891473
8,4,4,0.19727891156462585
8,4,5,0.49037823490378235
