lsoa,cluster,max_posterior,entropy
E01000407,3,1.0,1.670975704593389e-27
E01000408,3,1.0,8.171478332062737e-29
E01000409,3,1.0,3.1191317270098904e-22
E01000410,3,1.0,1.9268391967247405e-22
E01000412,3,1.0,1.9427342704137806e-37
E01000413,3,1.0,1.1020225600952017e-24
E01000414,1,1.0,2.0868725134891472e-14
E01000416,1,0.9997063853233534,0.002681610867966512
E01000417,3,1.0,2.913574568962817e-24
E01000418,2,1.0,2.388476594221412e-107
E01000420,3,1.0,5.718990959803189e-26
E01000421,3,1.0,8.217092679957375e-24
E01000422,1,0.9998504139863821,0.0014670744307733396
E01000423,2,1.0,8.061010028426154e-131
E01000426,2,1.0,7.140909838225186e-128
E01000427,2,1.0,8.848965735345138e-151
E01000428,2,1.0,2.5572727957230762e-58
E01000429,2,1.0,1.2803076224349714e-76
E01000430,2,0.9993532802435213,0.005395760175218578
E01000431,0,1.0,2.4937938561212158e-25
E01000433,2,1.0,1.3484064506147514e-15
E01000434,1,0.9999993343271156,1.0133183633641988e-05
E01000436,3,1.0,8.344890890878691e-26
E01000439,2,1.0,3.321838533590924e-83
E01000441,2,1.0,8.605344618740278e-166
E01000442,3,1.0,6.468834182247786e-25
E01000443,0,1.0,9.625162616500762e-19
E01000444,0,1.0,1.5990330555159063e-23
E01000445,0,1.0,3.217932398317704e-19
E01000447,1,0.9999254882280224,0.0007827101139780509
E01000448,2,1.0,8.143148191395634e-82
E01000450,3,1.0,1.2078133902279003e-24
E01000451,3,1.0,3.9908294096224123e-25
E01000454,0,0.9999999997957048,4.762396320375545e-09
E01000455,0,1.0,3.5404992118787795e-14
E01000457,2,1.0,2.172250337513737e-27
E01000459,2,1.0,1.6337910722463743e-75
E01000461,0,1.0,2.467505103341167e-14
E01000462,3,1.0,1.9291430684096035e-25
E01000463,0,1.0,4.894382792752029e-16
E01000465,3,1.0,1.7621435215693112e-24
E01000466,3,1.0,4.046377620096553e-25
E01000467,1,0.9999999529358388,8.411192000087935e-07
