lsoa,rep_stop,n_stops
E01000758,HAIL & RIDE ASHBOURNE RISE,3
E01000759,ADDINGTON ROAD / PUMPING STATION,6
E01000760,ADDINGTON ROAD / GLEBE WAY,9
E01000761,HAIL & RIDE SYLVAN WAY,11
E01000762,HAYES LANE / NORMAN PARK,8
E01000763,HAYES LANE / NORMAN PARK,7
E01000764,EASTWAY,2
E01000765,HAYES STATION,10
E01000766,CREST ROAD,5
E01000767,HAYES / STATION APPROACH,6
E01000768,HOLLAND WAY,2
E01000769,THE BETHLEM ROYAL HOSPITAL,4
E01000770,THE CHINESE GARAGE,11
E01000771,ST EDMUND'S HALL,7
E01000772,CHANCERY LANE,4
E01000773,CREASE PARK,8
E01000774,ELMERS END GREEN,7
E01000775,EDEN PARK STATION,10
E01000777,ALTYRE WAY,4
E01000778,ALTYRE WAY,3
E01000779,,5
E01000780,MOTTINGHAM / PRINCE OF WALES,2
E01000781,BEACONSFIELD ROAD,7
E01000782,COURT FARM ROAD,3
E01000784,MOTTINGHAM ROAD,2
E01000785,ST KEVERNE ROAD,2
E01000786,CHELSFIELD LANE / ALMA ROAD,6
