lsoa,tier,total_activity
E01000571,3_reliable_core,1490.76398
E01000572,2_below_reliable_threshold,79.81179
E01000573,2_below_reliable_threshold,10.22015
E01000574,2_below_reliable_threshold,291.29634
E01000575,3_reliable_core,1551.6681
E01000576,3_reliable_core,669.11856
E01000577,3_reliable_core,703.97656
E01000578,3_reliable_core,1776.7242
E01000579,0_no_recorded_activity,
E01000580,3_reliable_core,522.97258
E01000581,3_reliable_core,2259.0632
E01000582,0_no_recorded_activity,
E01000583,3_reliable_core,2910.06276
E01000584,2_below_reliable_threshold,31.09554
E01000585,0_no_recorded_activity,
E01000586,3_reliable_core,8878.48403
E01000587,2_below_reliable_threshold,194.10969
E01000589,3_reliable_core,670.9105
E01000590,2_below_reliable_threshold,371.34537
E01000591,3_reliable_core,2135.49387
E01000592,3_reliable_core,1914.50946
E01000593,0_no_recorded_activity,
E01000594,3_reliable_core,3944.35866
E01000595,3_reliable_core,982.88058
E01000596,3_reliable_core,777.17368
E01000599,3_reliable_core,578.54522
E01000601,3_reliable_core,3505.64161
E01000602,3_reliable_core,946.14942
E01000603,2_below_reliable_threshold,195.19092
E01000604,2_below_reliable_threshold,344.8084
E01000605,3_reliable_core,776.80753
E01000606,2_below_reliable_threshold,386.45548
E01000607,0_no_recorded_activity,
E01000608,3_reliable_core,7678.85817
E01000609,2_below_reliable_threshold,151.62149
E01000610,0_no_recorded_activity,
E01000611,2_below_reliable_threshold,259.19577
E01000612,3_reliable_core,2498.09346
E01000613,0_no_recorded_activity,
E01000615,3_reliable_core,635.42036
E01000616,3_reliable_core,1628.87228
E01000617,1_matched_stop_no_activity,
E01000618,0_no_recorded_activity,
E01000619,0_no_recorded_activity,
E01000620,3_reliable_core,3657.83793
E01000621,3_reliable_core,3640.54271
E01000622,2_below_reliable_threshold,9.88
E01000623,3_reliable_core,1240.34372
E01000624,0_no_recorded_activity,
E01000625,3_reliable_core,1908.71017
E01000626,3_reliable_core,2397.31847
E01000627,3_reliable_core,1008.14011
E01000628,3_reliable_core,2296.22747
E01000629,0_no_recorded_activity,
E01000630,0_no_recorded_activity,
E01000631,2_below_reliable_threshold,279.65859
E01000632,0_no_recorded_activity,
