run,seed,K,ARI,minimum_matched_cluster_jaccard,BIC,converged,n_iter,convergence_warnings
17,10059,8,0.7900907946344868,0.05263157894736842,59436.8277887967,True,16,0
18,10060,3,1.0,1.0,76238.15141468919,True,6,0
18,10060,4,1.0,1.0,67853.19921911579,True,11,0
18,10060,5,0.5187615428191854,0.0,63499.71723398325,True,11,0
18,10060,6,0.7097857405321696,0.5405405405405406,59124.548128540715,True,11,0
18,10060,7,0.8580926253116229,0.7692307692307693,59006.86862532219,True,13,0
18,10060,8,0.5904931063996369,0.0,58660.09175515712,True,14,0
19,10061,3,1.0,1.0,76238.15141468882,True,14,0
19,10061,4,1.0,1.0,67853.19921911579,True,11,0
19,10061,5,0.5187615428191854,0.0,63499.71723398322,True,11,0
19,10061,6,0.7133991552961859,0.5540540540540541,59120.55501147086,True,11,0
19,10061,7,0.6945701071642462,0.0,59638.42261734403,True,26,0
19,10061,8,0.7707362362906721,0.0,58911.256017557505,True,9,0
20,10062,3,1.0,1.0,76238.15141469284,True,11,0
20,10062,4,1.0,1.0,67853.19921911579,True,11,0
20,10062,5,0.5120698051405385,0.0,62940.214981002595,True,11,0
20,10062,6,0.8699005829739521,0.7419354838709677,59076.25326818347,True,10,0
20,10062,7,0.8644688062884375,0.717948717948718,59094.154392482684,True,13,0
20,10062,8,0.7358926505649334,0.0,57430.441880955696,True,16,0
