lsoa,retained_for_fit,min_direction_activity,cluster
E01000694,True,48.35371,0
E01000696,True,382.0926600000001,1
E01000697,True,248.43189,0
E01000698,True,40.88067000000001,0
E01000699,True,156.72517000000002,0
E01000700,True,39.72807000000001,0
E01000702,True,256.14648,1
E01000703,True,924.65119,1
E01000704,True,70.61764,0
E01000705,True,311.1378,1
E01000706,True,470.72908,1
E01000707,True,126.17576000000004,0
E01000708,True,286.9621,1
E01000709,False,23.756229999999995,-1
E01000710,True,96.47859000000004,0
E01000711,False,30.985479999999995,-1
E01000712,True,160.75361,0
E01000713,False,33.28164,-1
E01000714,True,2110.10041,1
E01000715,True,185.63852999999995,0
E01000716,True,62.41227000000001,0
E01000717,True,136.05841,0
E01000718,True,95.09148,0
E01000719,True,56.40028,0
E01000721,False,20.74469,-1
E01000722,True,556.6976800000001,1
E01000724,False,33.01577,-1
E01000727,True,409.3571199999999,1
E01000728,True,81.93977000000002,2
E01000730,True,924.38274,1
E01000731,False,26.60833,-1
E01000732,True,37.51367,0
E01000734,False,12.556849999999995,-1
E01000735,True,156.97509999999997,0
E01000736,True,51.10570000000001,0
E01000737,True,118.2298,0
E01000738,True,244.77013,1
E01000739,False,28.01633,-1
E01000741,True,948.97074,1
E01000742,True,38.60213,0
E01000743,True,922.32327,1
E01000744,True,286.30444,1
E01000745,True,431.94225,0
E01000747,True,64.13622999999998,0
E01000749,False,14.398839999999996,-1
E01000751,True,352.3074099999999,0
E01000752,True,138.57345,0
E01000753,True,53.4656,0
E01000754,True,757.6432599999999,1
E01000755,True,97.99636000000002,0
E01000756,True,815.3106900000002,0
E01000757,True,99.41204,0
E01000760,True,264.70845,0
E01000761,True,53.997329999999984,0
E01000762,True,112.40640999999998,0
E01000763,True,160.06121,0
E01000765,True,556.9828599999998,1
E01000766,True,45.59159999999999,0
E01000767,True,380.86769,0
E01000768,False,21.03645,-1
E01000769,True,120.81162,0
E01000770,True,234.53418,0
E01000771,True,225.78124,0
E01000772,True,55.18738999999999,2
E01000773,True,42.91184999999999,0
E01000774,True,61.36273000000001,0
E01000775,True,359.98998,1
E01000777,True,97.63204,0
E01000778,True,292.69646,1
E01000779,True,217.91152,0
E01000780,True,115.12913000000002,0
E01000781,True,372.12319,1
E01000782,True,86.07743,0
E01000784,True,55.82143000000001,0
E01000785,True,56.97477999999999,0
E01000787,True,56.36094,0
E01000788,True,456.0965300000001,0
E01000789,True,100.96613999999998,0
E01000790,True,3594.9164099999985,1
E01000791,True,68.95700000000001,0
E01000792,False,23.89171,-1
E01000794,True,63.02842,0
E01000795,True,40.79129,0
E01000797,True,158.11252,0
E01000798,True,195.2825,2
E01000799,True,2643.0272200000004,1
E01000801,True,373.00124,1
E01000802,True,259.29040000000003,1
E01000803,False,33.90369,-1
E01000805,True,128.31434000000002,0
E01000806,True,1196.0576299999998,1
E01000807,True,570.44334,1
E01000808,False,19.69995,-1
E01000809,True,73.81528999999999,0
E01000813,True,118.24076000000004,2
E01000816,False,35.421890000000005,-1
E01000819,True,444.39943000000005,1
E01000820,True,89.47360000000002,0
E01000824,True,347.35711000000003,1
E01000826,False,24.61166,-1
E01000827,True,210.23366,0
E01000828,True,150.66961,0
E01000831,False,23.710970000000003,-1
E01000832,True,185.18882,0
E01000834,True,42.710040000000006,0
E01000835,True,606.1388099999999,1
E01000838,True,99.20905999999997,0
E01000840,False,34.97544,-1
E01000841,True,47.19466,2
E01000843,True,55.44265000000001,0
E01000846,True,246.08292,0
E01000847,True,39.83586,0
E01000848,True,116.07941,0
E01000849,True,404.9463099999999,1
E01000850,True,1625.9461299999998,2
E01000855,True,10431.143799999998,1
E01000856,True,2007.3466800000003,1
E01000858,True,759.12966,1
E01000861,True,2483.52384,1
E01000862,True,143.93612000000002,0
E01000863,True,9121.3078,1
E01000867,True,722.06696,1
E01000868,True,84.20177999999999,2
E01000869,True,620.40696,1
E01000871,True,362.62889,1
E01000872,True,1134.6050699999998,1
E01000873,True,50.53061,0
E01000874,True,149.18791000000002,0
E01000875,True,506.8201199999999,1
E01000876,True,2073.2718,1
E01000877,True,356.03608999999994,1
E01000879,True,70.22959999999999,0
E01000880,True,224.0836,0
E01000881,True,646.4366099999999,1
E01000882,False,25.10024,-1
E01000883,True,850.8979899999999,1
E01000884,True,375.31038000000007,1
E01000886,True,203.4878,0
E01000887,True,593.8972600000001,1
E01000888,True,307.76835000000005,1
E01000890,True,199.89559000000003,1
E01000895,True,377.6198500000001,1
E01000896,True,60.53522,2
E01000898,True,1289.1271400000005,1
E01000899,True,234.43496,0
E01000900,True,326.37515,1
E01000902,True,45.87332,0
E01000903,False,25.37769,-1
E01000904,True,803.6312599999999,1
E01000905,True,271.48210000000006,1
E01000906,True,530.5344299999998,1
E01000908,True,60.733790000000006,0
E01000909,True,589.25631,0
E01000911,False,28.552460000000007,-1
E01000912,True,668.8873399999998,1
E01000913,True,88.03696999999998,0
E01000914,True,12141.14954,1
E01000916,True,403.768,1
E01000917,True,177.68344999999997,1
E01000918,True,1567.4091900000003,2
E01000919,True,2671.9343000000003,2
E01000920,True,349.31303,0
E01000921,True,238.46176000000008,2
E01000922,True,637.0488300000001,1
E01000924,True,126.36053,1
E01000926,True,880.8916499999998,1
E01000927,True,958.0425499999996,1
E01000928,True,833.8992200000001,1
E01000929,True,579.93075,1
E01000930,True,2057.63467,1
E01000931,True,2445.6309,1
E01000932,True,169.29138999999998,1
E01000933,True,2025.2677200000005,1
E01000934,True,188.27008,2
E01000935,True,278.86983000000004,2
E01000938,True,414.16503,2
E01000939,True,4515.76333,1
E01000942,True,996.10907,1
E01000946,True,3750.907629999999,1
E01000947,True,2643.86308,1
E01000948,True,56.47938,0
E01000954,True,224.93656000000007,2
E01000956,True,2801.60591,1
E01000958,True,68.78717999999999,0
E01000959,True,90.67678,2
E01000960,True,514.45135,1
E01000963,True,2003.0478299999995,1
E01000965,False,14.043289999999995,-1
E01000969,True,1015.0495499999998,1
E01000972,True,1761.2109199999995,1
E01000973,True,1813.54113,1
E01000974,True,1389.5158599999995,1
E01000975,True,597.5361399999999,1
E01000976,True,627.9972899999999,1
E01000977,True,221.31144,0
E01000978,True,281.8383,0
E01000979,True,175.55935000000002,0
E01000980,True,99.23031999999998,0
E01000981,True,87.68656000000003,0
E01000982,True,48.53648000000001,2
E01000983,True,193.97092999999992,0
E01000984,True,129.30080999999998,0
E01000985,True,81.71354000000001,0
E01000989,False,17.191,-1
