lsoa,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
E01000091,1,0.21954025274297773,16.43761991556656,35,1.889042727122726,2.7636914284304233,8,19,29,1.726946523522138,2.6893374646452957,7,17,3.58351893845611,159.42406717084148,3.4011973816621555,132.09422708441153
E01000093,2,0.306636281266013,16.079919720117438,80,1.9700934606989284,2.839305822309799,9,27,71,1.8235301203938468,2.6572688761140455,8,23,4.394449154672439,260.8954154730256,4.276666119016055,231.54468123231024
E01000094,1,0.6793080572130258,16.889553107508945,71,1.459702976244387,1.8823221314248286,7,17,55,1.1955160870370998,1.6730668775554272,6,15,4.276666119016055,104.51811846791469,4.02535169073515,80.96473965824377
E01000095,0,2.2005600140835355,18.262561337986668,238,1.7701542991748718,2.655564262365031,9,31,191,1.5865835859009823,2.3887472425931677,8,26,5.476463551931511,108.15428730723328,5.2574953720277815,86.79608771294771
E01000096,0,0.6624867478273369,17.08327008094153,107,1.813360536984394,2.901011792545846,9,30,96,1.651991318245839,2.7592576787056426,8,27,4.68213122712422,161.51266474523848,4.574710978503383,144.90855902376535
E01000097,0,0.13114899984126271,18.76721225168499,16,1.5481155268740174,1.6674619334292948,6,7,12,1.3143738430069454,1.4735023850806486,5,6,2.833213344056216,121.99864291276131,2.5649493574615367,91.49898218457099
E01000098,2,0.16281626672487617,18.58304183799808,56,1.6515817342654164,2.6911615752269165,8,20,53,1.5243432211690897,2.586738100206062,7,18,4.04305126783455,343.94597742882615,3.9889840465642745,325.5203000665676
E01000099,1,0.3270723055036122,19.048275381505366,73,1.6189629228685636,2.8035249970578824,8,22,68,1.469918642348799,2.741580869052039,7,21,4.30406509320417,223.1922384489193,4.23410650459726,207.9050988291303
E01000101,1,0.2005348620955821,19.622543071302196,44,1.6610971495955063,2.469952302195383,7,15,43,1.5887333875493481,2.416399125093408,6,14,3.8066624897703196,219.41322092429007,3.784189633918261,214.4265568123744
E01000104,0,0.23223470492555515,20.726705365650925,48,1.7684308594853113,2.5444840509674767,9,16,35,1.6242444723098752,2.369585081511653,8,13,3.8918202981106265,206.68745446718145,3.58351893845611,150.70960221565315
E01000105,0,0.24191858723537135,19.752825196600643,81,1.805869668611792,2.80991345365104,9,24,76,1.6777366454344644,2.6853181440135825,8,21,4.406719247264253,334.82338387332004,4.343805421853684,314.155273757683
E01000106,0,0.20193516314625823,20.18095551754761,67,1.840455516066954,2.5614096976812935,8,20,61,1.6903274853644512,2.4140167818366,7,18,4.219507705176107,331.78966434623885,4.127134385045092,302.0771570913518
E01000110,2,0.14664747371329181,20.218925761750324,74,1.4140867984477146,3.08150796456618,7,27,71,1.2970100609008455,3.0079906776315775,6,25,4.31748811353631,504.61148853253513,4.276666119016055,484.1542660244594
E01000111,0,0.3339439590925335,19.986495178081974,74,1.7329748353840928,2.5407752329510176,6,17,67,1.5682850367745707,2.417634517251191,5,15,4.31748811353631,221.59406686406064,4.219507705176107,200.63246594448734
E01000112,1,0.25571229640640275,19.544610958096047,95,1.7595491820325948,2.70911955553681,7,23,90,1.6396547498104384,2.5891862252185973,6,20,4.564348191467836,371.5112700290986,4.51085950651685,351.958045290725
