NLC,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
530,4,0.7835542131890599,8.200919614287164,157,1.9153506378211116,3.041542917752209,9,30,118,1.8025351574935153,2.82759560235661,8,25,5.062595033026967,200.36903300029635,4.77912349311153,150.59583371996797
532,0,1.8534816101572713,14.281803423265792,549,1.9338775011534133,3.0226489790722453,9,41,475,1.778164321174852,2.865340631284948,8,36,6.309918278226516,296.1993240134799,6.16541785423142,256.2744606674006
533,2,0.9565380441674038,12.191700241466641,141,1.9515198253182113,3.2360469890622334,9,35,115,1.8066683093641593,3.014223910683502,8,29,4.955827057601261,147.406578190761,4.7535901911063645,120.22522334707456
534,4,0.9478290538364564,4.610350369363863,427,1.9758206826410774,3.248984882727391,9,40,386,1.8358506144751778,3.1636110193020546,8,36,6.059123195581797,450.5031769934296,5.958424693029782,407.24643166150776
535,3,0.5816913739617208,3.7215289601872916,782,1.8553225271711993,3.052093014967582,9,44,738,1.7364589371124617,2.9190309082220045,8,39,6.663132695990803,1344.355503630798,6.6052979209482015,1268.7140174930037
536,1,0.24443478289342724,2.5316782138169245,709,1.554901480799043,2.8129237990747153,9,40,679,1.440632177669311,2.691564893131878,8,35,6.565264970035361,2900.5691890794515,6.522092798170152,2777.837065423057
537,4,1.9660850369536131,16.154161336503094,350,1.7519438209683618,3.3459737432333294,9,42,328,1.6189485694926766,3.2266302204187727,8,37,5.860786223465865,178.01874965810939,5.796057750765372,166.82899967959966
538,4,1.0349296916597408,11.097771352843777,86,1.9473150439110756,2.945433361694816,9,26,68,1.8139476748920158,2.7193075716041517,8,21,4.465908118654584,83.09743231163829,4.23410650459726,65.70494647896982
540,1,1.0190279340445079,4.452398170605897,523,1.9490687517838357,3.099789727006954,9,42,486,1.8224345791367644,2.9878194176481387,8,38,6.261491684321042,513.2342132410641,6.18826412308259,476.9251006408359
541,1,0.5466866354400647,1.583932134137988,1467,1.5873723843287377,2.972233200277921,9,44,1440,1.5236503951093665,2.9204273960794347,8,41,7.291656209174461,2683.438564067171,7.273092595999522,2634.0501242377136
542,1,0.3414538023943951,0.28582377092036587,437,1.9470685999229889,3.0138447011414913,9,37,399,1.8089274469128604,2.8263319584647273,8,32,6.082218910376446,1279.8217414350086,5.991464547107982,1168.5328943537033
545,0,0.6727832087487164,9.978970477485733,404,1.8222222867116096,3.1812503879581517,9,41,371,1.6762854660133095,3.0521433251256407,8,37,6.003887067106539,600.4906108631694,5.918893854273146,551.4406352233561
547,3,1.1419511560252091,5.079866945153083,560,1.9049434897333015,2.993098304749422,9,42,529,1.7900382592710389,2.9113403018098403,8,39,6.329720905522696,490.3887500312997,6.272877006546167,463.24222994028133
548,3,0.5527329254721915,4.63652254798804,250,1.8442670534784917,3.032341674145986,9,34,235,1.7205314159339227,2.921366912965925,8,30,5.5254529391317835,452.2980059247035,5.4638318050256105,425.1601255692213
549,4,1.6920612741144516,6.1942387117328845,365,1.9147747552528027,2.9712847432556537,9,35,334,1.7748651095895844,2.885442134698439,8,32,5.902633333401366,215.71322834690162,5.814130531825066,197.39237881606888
550,4,1.923513972832981,16.114981001315833,269,1.8984978314281242,3.0721358586208027,9,35,241,1.7462918788274866,2.9214441476453987,8,31,5.598421958998375,139.848217272793,5.488937726156687,125.29152551205618
