unit,cluster
E01001813,0
E01001814,0
E01001815,3
E01001816,3
E01001819,6
E01001820,6
E01001821,5
E01001822,7
E01001824,4
E01001826,4
E01001827,4
E01001828,3
E01001829,2
E01001830,0
E01001831,0
E01001832,0
E01001834,0
E01001836,4
E01001837,3
E01001839,0
E01001840,0
E01001841,8
E01001844,4
E01001845,2
E01001846,0
E01001847,8
E01001848,0
E01001849,0
E01001850,4
E01001856,4
E01001857,0
E01001858,2
E01001860,0
E01001861,0
E01001866,0
E01001867,8
E01001869,2
E01001871,4
E01001875,0
E01001876,4
E01001877,4
E01001879,4
E01001882,4
E01001883,4
E01001884,4
E01001886,0
E01001887,0
E01001891,0
E01001894,2
E01001898,0
E01001899,8
E01001902,4
E01001903,4
E01001905,8
E01001909,0
E01001911,4
E01001912,0
E01001914,0
E01001915,0
E01001916,2
E01001918,4
E01001920,0
E01001921,0
E01001922,8
E01001924,2
E01001925,2
E01001928,2
E01001929,2
E01001930,0
E01001932,4
E01001933,4
E01001937,4
E01001938,4
E01001940,0
E01001941,0
E01001942,0
E01001943,0
E01001948,2
E01001950,8
E01001951,4
E01001952,2
E01001953,0
E01001954,4
E01001955,3
E01001956,2
E01001959,4
E01001962,2
E01001963,2
E01001964,10
E01001966,10
E01001968,8
E01001969,4
E01001970,4
E01001971,8
E01001972,8
E01001973,0
E01001975,0
E01001976,3
E01001977,4
E01001978,0
E01001979,0
E01001980,3
E01001981,4
E01001983,0
E01001984,4
E01001986,3
E01001989,10
E01001990,0
E01001991,4
E01001992,8
E01001994,8
E01001995,3
E01001997,8
E01001999,0
E01002002,0
E01002003,0
E01002005,4
E01002008,8
E01002009,2
E01002010,8
E01002011,0
E01002013,9
E01002014,4
E01002015,11
E01002017,0
E01002019,10
E01002020,10
E01002021,10
E01002022,0
E01002028,0
E01002029,0
E01002030,4
E01002031,0
E01002033,4
E01002034,0
E01002036,3
E01002037,0
E01002038,0
E01002042,4
E01002043,4
E01002046,4
E01002047,0
E01002048,4
E01002049,4
E01002051,4
E01002052,7
E01002053,0
E01002055,4
E01002056,0
E01002058,3
E01002060,3
E01002061,3
E01002062,10
E01002064,9
E01002066,0
E01002067,0
E01002068,8
E01002069,0
E01002070,4
E01002071,4
E01002072,0
E01002074,4
E01002075,4
E01002076,3
E01002077,0
E01002078,7
E01002081,0
E01002082,0
E01002083,8
E01002084,4
E01002085,4
E01002086,3
E01002088,0
E01002089,3
E01002090,9
E01002091,9
E01002092,10
E01002096,9
E01002098,0
E01002099,3
E01002100,10
E01002102,3
E01002103,0
E01002104,9
E01002105,0
E01002106,3
E01002108,3
E01002109,8
E01002110,8
E01002111,3
E01002112,2
E01002113,1
E01002114,4
E01002118,8
E01002119,2
E01002121,3
E01002122,2
E01002123,4
E01002125,10
E01002129,0
E01002130,0
E01002132,3
E01002133,0
E01002135,3
E01002136,0
E01002137,7
E01002139,3
E01002141,3
E01002142,0
E01002144,3
E01002145,3
E01002148,9
E01002150,3
E01002151,3
E01002152,3
E01002153,11
E01002155,3
E01002157,10
E01002159,3
E01002160,10
E01002161,10
E01002163,10
E01002166,10
E01002172,10
E01002174,10
E01002175,10
E01002176,10
E01002177,3
E01002179,0
E01002181,10
E01002184,3
E01002185,3
E01002186,3
E01002187,3
E01002189,3
E01002191,3
E01002192,3
E01002193,3
E01002195,3
E01002198,3
E01002199,10
E01002200,3
E01002201,3
E01002202,0
E01002203,8
E01002204,10
E01002207,9
