LSOA21CD,n_oas,loac_dominant_supergroup,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share
E01000351,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000352,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000353,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000354,5,F,0.0,0.0,0.0,0.0,0.0,0.6,0.4
E01000355,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000356,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000357,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000358,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000359,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000360,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000361,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000362,6,G,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666
E01000363,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000364,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000365,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000366,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000367,6,F,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
E01000368,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000369,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000370,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000371,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000372,5,F,0.0,0.0,0.0,0.0,0.0,0.6,0.4
E01000373,5,F,0.0,0.2,0.0,0.0,0.0,0.8,0.0
E01000374,4,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000375,7,F,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285
E01000376,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000377,5,G,0.0,0.4,0.0,0.0,0.0,0.0,0.6
E01000379,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000380,7,F,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
E01000381,6,F,0.0,0.0,0.0,0.0,0.0,0.5,0.5
E01000382,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000383,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000384,6,G,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
E01000385,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000386,5,F,0.0,0.0,0.0,0.0,0.4,0.6,0.0
E01000387,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000388,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000389,5,G,0.0,0.2,0.0,0.0,0.2,0.0,0.6
E01000390,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000391,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000392,5,G,0.0,0.2,0.0,0.0,0.2,0.2,0.4
E01000393,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000394,5,G,0.2,0.0,0.0,0.0,0.0,0.0,0.8
E01000395,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000396,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000398,5,G,0.0,0.0,0.0,0.0,0.0,0.4,0.6
E01000399,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000400,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000401,5,F,0.0,0.0,0.0,0.0,0.0,0.8,0.2
