unit,cluster,max_posterior,normalized_entropy
E01002513,1,0.7967103563912314,0.7284587919190972
E01002514,0,0.9999999910823476,2.513303334170888e-07
E01002516,0,1.0,5.198791085167507e-49
E01002518,1,1.0,3.841318562123697e-48
E01002519,0,0.9968300748728047,0.030880591237347644
E01002521,0,1.0,7.071117422783593e-20
E01002523,0,1.0,8.062012824358013e-22
E01002525,0,0.9999999789393998,5.674477460146763e-07
E01002526,0,1.0,4.204568413705565e-26
E01002527,0,1.0,9.901658039259754e-78
E01002529,0,1.0,5.3558719519154e-17
E01002530,0,1.0,1.4070143878172363e-50
E01002533,1,1.0,1.142129496093792e-105
E01002534,1,1.0,8.166351635601784e-110
E01002535,0,0.999582312306547,0.0052911346432148905
E01002536,1,1.0,4.8318959654009274e-58
E01002537,0,0.9999775720354263,0.0003787415008053494
E01002538,1,1.0,9.546767976046955e-19
E01002539,1,1.0,6.163918980508357e-28
E01002540,1,1.0,4.904936128077905e-30
E01002541,1,0.999999513143455,1.0911767379755271e-05
E01002542,1,1.0,5.865487511625227e-13
E01002543,1,1.0,3.141519841334948e-15
E01002546,0,1.0,3.568757953765237e-89
E01002548,0,1.0,2.2702536082003793e-25
E01002549,1,0.9999999981293399,5.693593888964199e-08
E01002552,0,0.999999928994728,1.7886370925668736e-06
E01002553,0,0.9999999808325131,5.190452676833734e-07
E01002555,0,1.0,2.1363610603073242e-30
E01002557,0,0.9999999960684249,1.1545090248251725e-07
E01002558,0,0.9985690645321816,0.015583585569676955
E01002559,0,1.0,3.659472265213767e-23
E01002560,0,0.9999998160364099,4.381419045303014e-06
E01002562,1,0.9999999999996021,1.7128771817605546e-11
E01002563,0,0.9999996700747691,7.579720069337662e-06
E01002564,1,0.7694143849096844,0.7790307661469733
E01002565,0,0.8567874744735309,0.5925906859541069
E01002569,1,0.9999841210346793,0.0002760591016779641
E01002570,0,0.999999985024033,4.1087210817948045e-07
E01002571,1,0.9999616923597261,0.0006173152004661003
E01002572,1,0.9999946888798446,0.00010072668763855705
E01002573,1,0.9999376360916977,0.0009611263114215549
E01002575,0,0.9999999999809575,7.05011311199992e-10
E01002576,1,0.9951729818646436,0.04408930547579434
E01002578,1,0.9999992772559718,1.5786685915113093e-05
E01002581,1,0.9999999999997726,9.340827786752781e-12
E01002583,0,1.0,5.0708683961108374e-65
E01002584,0,1.0,5.325310683588716e-40
E01002585,0,1.0,5.312658311686655e-88
E01002587,0,1.0,3.600261206643088e-53
E01002588,0,1.0,2.3258243851810523e-305
E01002589,0,1.0,2.2570779016352197e-88
E01002590,1,0.9298653066481148,0.36642609916610264
E01002591,1,1.0,7.228374511083468e-21
E01002592,0,1.0,4.936681941156907e-62
E01002593,0,1.0,1.0931292943162677e-20
E01002594,1,0.9999998823994429,2.8767802173562488e-06
E01002595,1,0.9999999999751026,9.137686145804973e-10
E01002596,0,1.0,2.6401398906042893e-19
E01002598,1,1.0,8.147449945741808e-29
E01002601,1,0.9999999970642648,8.744481683183736e-08
E01002602,1,1.0,1.9351366212873864e-14
E01002603,0,1.0,1.7387547471119507e-21
E01002604,1,0.9991412187044815,0.009985476932304303
E01002605,0,1.0,1.4495007398772576e-18
E01002606,0,0.9999994703601639,1.1806296930795346e-05
E01002607,0,1.0,1.613191953218168e-22
E01002608,0,1.0,9.90188296603611e-31
E01002609,1,0.999598582409441,0.005108044452182363
E01002610,1,0.9999999999991473,3.562160056047712e-11
E01002611,0,1.0,2.9914248839655665e-38
E01002612,0,0.999999999965496,1.2495050144481822e-09
E01002613,0,0.9999999999999432,3.4341418229360147e-12
E01002614,0,0.9998938323524721,0.0015547176112742653
